id,prompt,prompt_category,graph,domain,cntbl_cond,task,content_category
1,"In abstract reasoning studies, researchers examine relationships between symbolic variables PtY@gj'mU-, h#Bel31iEl, and )2h+pC==-h. Here are some variables: Interest rates are the rates banks charge to loan money. Some economies have low interest rates. Others have normal interest rates. Some systems have high PtY@gj'mU-. Others have low PtY@gj'mU-. A country's trade deficit is the difference between the value of the goods that a country imports and the value of the goods that a country exports. Some economies have small trade deficits. Others have normal trade deficits. Some systems have strong h#Bel31iEl. Others have weak h#Bel31iEl. Retirement savings is the money people save for their retirement. Some economies have high retirement savings. Others have normal retirement savings. Some systems have powerful )2h+pC==-h. Others have weak )2h+pC==-h.  Here are the causal relationships: High PtY@gj'mU- causes powerful )2h+pC==-h. Strong h#Bel31iEl causes powerful )2h+pC==-h. Both high PtY@gj'mU- and strong h#Bel31iEl can each cause powerful )2h+pC==-h on their own. That is, it's not the case that both of these have to be present in order for powerful )2h+pC==-h to be present. Rather, high PtY@gj'mU- can independently cause powerful )2h+pC==-h on their own, and strong h#Bel31iEl can independently cause powerful )2h+pC==-h on their own as well. You are currently observing: powerful )2h+pC==-h and strong h#Bel31iEl. Your task is to estimate how likely it is that high PtY@gj'mU- is present on a scale from 0 to 100, given the observations and causal relationships described. 0 means completely unlikely and 100 means completely likely. Provide your likelihood estimate and confidence level about your likelihood estimate (how certain you are about your likelihood estimate between 0 and 100 with 0 being very uncertain and 100 being very certain about your likelihood estimate). Return your response as raw text in one single line using this exact XML format: <response><likelihood>YOUR_NUMERIC_RESPONSE_HERE</likelihood><confidence>YOUR_CONFIDENCE_SCORE_HERE</confidence></response> Replace YOUR_CONFIDENCE_SCORE_HERE with a number between 0 (very uncertain about your likelihood estimate) and 100 (very certain about your likelihood estimate).DO NOT include any other information, explanation, or formatting in your response. DO NOT use Markdown, code blocks, quotation marks, or special characters.",numeric-conf,collider,abs_all_10_overloaded_de,ppp,a,unspecified
2,"In abstract reasoning studies, researchers examine relationships between symbolic variables PtY@gj'mU-, h#Bel31iEl, and )2h+pC==-h. Here are some variables: Interest rates are the rates banks charge to loan money. Some economies have low interest rates. Others have normal interest rates. Some systems have high PtY@gj'mU-. Others have low PtY@gj'mU-. A country's trade deficit is the difference between the value of the goods that a country imports and the value of the goods that a country exports. Some economies have small trade deficits. Others have normal trade deficits. Some systems have strong h#Bel31iEl. Others have weak h#Bel31iEl. Retirement savings is the money people save for their retirement. Some economies have high retirement savings. Others have normal retirement savings. Some systems have powerful )2h+pC==-h. Others have weak )2h+pC==-h.  Here are the causal relationships: High PtY@gj'mU- causes powerful )2h+pC==-h. Strong h#Bel31iEl causes powerful )2h+pC==-h. Both high PtY@gj'mU- and strong h#Bel31iEl can each cause powerful )2h+pC==-h on their own. That is, it's not the case that both of these have to be present in order for powerful )2h+pC==-h to be present. Rather, high PtY@gj'mU- can independently cause powerful )2h+pC==-h on their own, and strong h#Bel31iEl can independently cause powerful )2h+pC==-h on their own as well. You are currently observing: powerful )2h+pC==-h and high PtY@gj'mU-. Your task is to estimate how likely it is that strong h#Bel31iEl is present on a scale from 0 to 100, given the observations and causal relationships described. 0 means completely unlikely and 100 means completely likely. Provide your likelihood estimate and confidence level about your likelihood estimate (how certain you are about your likelihood estimate between 0 and 100 with 0 being very uncertain and 100 being very certain about your likelihood estimate). Return your response as raw text in one single line using this exact XML format: <response><likelihood>YOUR_NUMERIC_RESPONSE_HERE</likelihood><confidence>YOUR_CONFIDENCE_SCORE_HERE</confidence></response> Replace YOUR_CONFIDENCE_SCORE_HERE with a number between 0 (very uncertain about your likelihood estimate) and 100 (very certain about your likelihood estimate).DO NOT include any other information, explanation, or formatting in your response. DO NOT use Markdown, code blocks, quotation marks, or special characters.",numeric-conf,collider,abs_all_10_overloaded_de,ppp,a,unspecified
3,"In abstract reasoning studies, researchers examine relationships between symbolic variables PtY@gj'mU-, h#Bel31iEl, and )2h+pC==-h. Here are some variables: Interest rates are the rates banks charge to loan money. Some economies have low interest rates. Others have normal interest rates. Some systems have high PtY@gj'mU-. Others have low PtY@gj'mU-. A country's trade deficit is the difference between the value of the goods that a country imports and the value of the goods that a country exports. Some economies have small trade deficits. Others have normal trade deficits. Some systems have strong h#Bel31iEl. Others have weak h#Bel31iEl. Retirement savings is the money people save for their retirement. Some economies have high retirement savings. Others have normal retirement savings. Some systems have powerful )2h+pC==-h. Others have weak )2h+pC==-h.  Here are the causal relationships: High PtY@gj'mU- causes powerful )2h+pC==-h. Strong h#Bel31iEl causes powerful )2h+pC==-h. Both high PtY@gj'mU- and strong h#Bel31iEl can each cause powerful )2h+pC==-h on their own. That is, it's not the case that both of these have to be present in order for powerful )2h+pC==-h to be present. Rather, high PtY@gj'mU- can independently cause powerful )2h+pC==-h on their own, and strong h#Bel31iEl can independently cause powerful )2h+pC==-h on their own as well. You are currently observing: powerful )2h+pC==-h. Your task is to estimate how likely it is that high PtY@gj'mU- is present on a scale from 0 to 100, given the observations and causal relationships described. 0 means completely unlikely and 100 means completely likely. Provide your likelihood estimate and confidence level about your likelihood estimate (how certain you are about your likelihood estimate between 0 and 100 with 0 being very uncertain and 100 being very certain about your likelihood estimate). Return your response as raw text in one single line using this exact XML format: <response><likelihood>YOUR_NUMERIC_RESPONSE_HERE</likelihood><confidence>YOUR_CONFIDENCE_SCORE_HERE</confidence></response> Replace YOUR_CONFIDENCE_SCORE_HERE with a number between 0 (very uncertain about your likelihood estimate) and 100 (very certain about your likelihood estimate).DO NOT include any other information, explanation, or formatting in your response. DO NOT use Markdown, code blocks, quotation marks, or special characters.",numeric-conf,collider,abs_all_10_overloaded_de,ppp,b,unspecified
4,"In abstract reasoning studies, researchers examine relationships between symbolic variables PtY@gj'mU-, h#Bel31iEl, and )2h+pC==-h. Here are some variables: Interest rates are the rates banks charge to loan money. Some economies have low interest rates. Others have normal interest rates. Some systems have high PtY@gj'mU-. Others have low PtY@gj'mU-. A country's trade deficit is the difference between the value of the goods that a country imports and the value of the goods that a country exports. Some economies have small trade deficits. Others have normal trade deficits. Some systems have strong h#Bel31iEl. Others have weak h#Bel31iEl. Retirement savings is the money people save for their retirement. Some economies have high retirement savings. Others have normal retirement savings. Some systems have powerful )2h+pC==-h. Others have weak )2h+pC==-h.  Here are the causal relationships: High PtY@gj'mU- causes powerful )2h+pC==-h. Strong h#Bel31iEl causes powerful )2h+pC==-h. Both high PtY@gj'mU- and strong h#Bel31iEl can each cause powerful )2h+pC==-h on their own. That is, it's not the case that both of these have to be present in order for powerful )2h+pC==-h to be present. Rather, high PtY@gj'mU- can independently cause powerful )2h+pC==-h on their own, and strong h#Bel31iEl can independently cause powerful )2h+pC==-h on their own as well. You are currently observing: powerful )2h+pC==-h. Your task is to estimate how likely it is that strong h#Bel31iEl is present on a scale from 0 to 100, given the observations and causal relationships described. 0 means completely unlikely and 100 means completely likely. Provide your likelihood estimate and confidence level about your likelihood estimate (how certain you are about your likelihood estimate between 0 and 100 with 0 being very uncertain and 100 being very certain about your likelihood estimate). Return your response as raw text in one single line using this exact XML format: <response><likelihood>YOUR_NUMERIC_RESPONSE_HERE</likelihood><confidence>YOUR_CONFIDENCE_SCORE_HERE</confidence></response> Replace YOUR_CONFIDENCE_SCORE_HERE with a number between 0 (very uncertain about your likelihood estimate) and 100 (very certain about your likelihood estimate).DO NOT include any other information, explanation, or formatting in your response. DO NOT use Markdown, code blocks, quotation marks, or special characters.",numeric-conf,collider,abs_all_10_overloaded_de,ppp,b,unspecified
5,"In abstract reasoning studies, researchers examine relationships between symbolic variables PtY@gj'mU-, h#Bel31iEl, and )2h+pC==-h. Here are some variables: Interest rates are the rates banks charge to loan money. Some economies have low interest rates. Others have normal interest rates. Some systems have high PtY@gj'mU-. Others have low PtY@gj'mU-. A country's trade deficit is the difference between the value of the goods that a country imports and the value of the goods that a country exports. Some economies have small trade deficits. Others have normal trade deficits. Some systems have strong h#Bel31iEl. Others have weak h#Bel31iEl. Retirement savings is the money people save for their retirement. Some economies have high retirement savings. Others have normal retirement savings. Some systems have powerful )2h+pC==-h. Others have weak )2h+pC==-h.  Here are the causal relationships: High PtY@gj'mU- causes powerful )2h+pC==-h. Strong h#Bel31iEl causes powerful )2h+pC==-h. Both high PtY@gj'mU- and strong h#Bel31iEl can each cause powerful )2h+pC==-h on their own. That is, it's not the case that both of these have to be present in order for powerful )2h+pC==-h to be present. Rather, high PtY@gj'mU- can independently cause powerful )2h+pC==-h on their own, and strong h#Bel31iEl can independently cause powerful )2h+pC==-h on their own as well. You are currently observing: powerful )2h+pC==-h and weak h#Bel31iEl. Your task is to estimate how likely it is that high PtY@gj'mU- is present on a scale from 0 to 100, given the observations and causal relationships described. 0 means completely unlikely and 100 means completely likely. Provide your likelihood estimate and confidence level about your likelihood estimate (how certain you are about your likelihood estimate between 0 and 100 with 0 being very uncertain and 100 being very certain about your likelihood estimate). Return your response as raw text in one single line using this exact XML format: <response><likelihood>YOUR_NUMERIC_RESPONSE_HERE</likelihood><confidence>YOUR_CONFIDENCE_SCORE_HERE</confidence></response> Replace YOUR_CONFIDENCE_SCORE_HERE with a number between 0 (very uncertain about your likelihood estimate) and 100 (very certain about your likelihood estimate).DO NOT include any other information, explanation, or formatting in your response. DO NOT use Markdown, code blocks, quotation marks, or special characters.",numeric-conf,collider,abs_all_10_overloaded_de,ppp,c,unspecified
6,"In abstract reasoning studies, researchers examine relationships between symbolic variables PtY@gj'mU-, h#Bel31iEl, and )2h+pC==-h. Here are some variables: Interest rates are the rates banks charge to loan money. Some economies have low interest rates. Others have normal interest rates. Some systems have high PtY@gj'mU-. Others have low PtY@gj'mU-. A country's trade deficit is the difference between the value of the goods that a country imports and the value of the goods that a country exports. Some economies have small trade deficits. Others have normal trade deficits. Some systems have strong h#Bel31iEl. Others have weak h#Bel31iEl. Retirement savings is the money people save for their retirement. Some economies have high retirement savings. Others have normal retirement savings. Some systems have powerful )2h+pC==-h. Others have weak )2h+pC==-h.  Here are the causal relationships: High PtY@gj'mU- causes powerful )2h+pC==-h. Strong h#Bel31iEl causes powerful )2h+pC==-h. Both high PtY@gj'mU- and strong h#Bel31iEl can each cause powerful )2h+pC==-h on their own. That is, it's not the case that both of these have to be present in order for powerful )2h+pC==-h to be present. Rather, high PtY@gj'mU- can independently cause powerful )2h+pC==-h on their own, and strong h#Bel31iEl can independently cause powerful )2h+pC==-h on their own as well. You are currently observing: powerful )2h+pC==-h and low PtY@gj'mU-. Your task is to estimate how likely it is that strong h#Bel31iEl is present on a scale from 0 to 100, given the observations and causal relationships described. 0 means completely unlikely and 100 means completely likely. Provide your likelihood estimate and confidence level about your likelihood estimate (how certain you are about your likelihood estimate between 0 and 100 with 0 being very uncertain and 100 being very certain about your likelihood estimate). Return your response as raw text in one single line using this exact XML format: <response><likelihood>YOUR_NUMERIC_RESPONSE_HERE</likelihood><confidence>YOUR_CONFIDENCE_SCORE_HERE</confidence></response> Replace YOUR_CONFIDENCE_SCORE_HERE with a number between 0 (very uncertain about your likelihood estimate) and 100 (very certain about your likelihood estimate).DO NOT include any other information, explanation, or formatting in your response. DO NOT use Markdown, code blocks, quotation marks, or special characters.",numeric-conf,collider,abs_all_10_overloaded_de,ppp,c,unspecified
7,"In abstract reasoning studies, researchers examine relationships between symbolic variables PtY@gj'mU-, h#Bel31iEl, and )2h+pC==-h. Here are some variables: Interest rates are the rates banks charge to loan money. Some economies have low interest rates. Others have normal interest rates. Some systems have high PtY@gj'mU-. Others have low PtY@gj'mU-. A country's trade deficit is the difference between the value of the goods that a country imports and the value of the goods that a country exports. Some economies have small trade deficits. Others have normal trade deficits. Some systems have strong h#Bel31iEl. Others have weak h#Bel31iEl. Retirement savings is the money people save for their retirement. Some economies have high retirement savings. Others have normal retirement savings. Some systems have powerful )2h+pC==-h. Others have weak )2h+pC==-h.  Here are the causal relationships: High PtY@gj'mU- causes powerful )2h+pC==-h. Strong h#Bel31iEl causes powerful )2h+pC==-h. Both high PtY@gj'mU- and strong h#Bel31iEl can each cause powerful )2h+pC==-h on their own. That is, it's not the case that both of these have to be present in order for powerful )2h+pC==-h to be present. Rather, high PtY@gj'mU- can independently cause powerful )2h+pC==-h on their own, and strong h#Bel31iEl can independently cause powerful )2h+pC==-h on their own as well. You are currently observing: strong h#Bel31iEl. Your task is to estimate how likely it is that high PtY@gj'mU- is present on a scale from 0 to 100, given the observations and causal relationships described. 0 means completely unlikely and 100 means completely likely. Provide your likelihood estimate and confidence level about your likelihood estimate (how certain you are about your likelihood estimate between 0 and 100 with 0 being very uncertain and 100 being very certain about your likelihood estimate). Return your response as raw text in one single line using this exact XML format: <response><likelihood>YOUR_NUMERIC_RESPONSE_HERE</likelihood><confidence>YOUR_CONFIDENCE_SCORE_HERE</confidence></response> Replace YOUR_CONFIDENCE_SCORE_HERE with a number between 0 (very uncertain about your likelihood estimate) and 100 (very certain about your likelihood estimate).DO NOT include any other information, explanation, or formatting in your response. DO NOT use Markdown, code blocks, quotation marks, or special characters.",numeric-conf,collider,abs_all_10_overloaded_de,ppp,d,unspecified
8,"In abstract reasoning studies, researchers examine relationships between symbolic variables PtY@gj'mU-, h#Bel31iEl, and )2h+pC==-h. Here are some variables: Interest rates are the rates banks charge to loan money. Some economies have low interest rates. Others have normal interest rates. Some systems have high PtY@gj'mU-. Others have low PtY@gj'mU-. A country's trade deficit is the difference between the value of the goods that a country imports and the value of the goods that a country exports. Some economies have small trade deficits. Others have normal trade deficits. Some systems have strong h#Bel31iEl. Others have weak h#Bel31iEl. Retirement savings is the money people save for their retirement. Some economies have high retirement savings. Others have normal retirement savings. Some systems have powerful )2h+pC==-h. Others have weak )2h+pC==-h.  Here are the causal relationships: High PtY@gj'mU- causes powerful )2h+pC==-h. Strong h#Bel31iEl causes powerful )2h+pC==-h. Both high PtY@gj'mU- and strong h#Bel31iEl can each cause powerful )2h+pC==-h on their own. That is, it's not the case that both of these have to be present in order for powerful )2h+pC==-h to be present. Rather, high PtY@gj'mU- can independently cause powerful )2h+pC==-h on their own, and strong h#Bel31iEl can independently cause powerful )2h+pC==-h on their own as well. You are currently observing: high PtY@gj'mU-. Your task is to estimate how likely it is that strong h#Bel31iEl is present on a scale from 0 to 100, given the observations and causal relationships described. 0 means completely unlikely and 100 means completely likely. Provide your likelihood estimate and confidence level about your likelihood estimate (how certain you are about your likelihood estimate between 0 and 100 with 0 being very uncertain and 100 being very certain about your likelihood estimate). Return your response as raw text in one single line using this exact XML format: <response><likelihood>YOUR_NUMERIC_RESPONSE_HERE</likelihood><confidence>YOUR_CONFIDENCE_SCORE_HERE</confidence></response> Replace YOUR_CONFIDENCE_SCORE_HERE with a number between 0 (very uncertain about your likelihood estimate) and 100 (very certain about your likelihood estimate).DO NOT include any other information, explanation, or formatting in your response. DO NOT use Markdown, code blocks, quotation marks, or special characters.",numeric-conf,collider,abs_all_10_overloaded_de,ppp,d,unspecified
9,"In abstract reasoning studies, researchers examine relationships between symbolic variables PtY@gj'mU-, h#Bel31iEl, and )2h+pC==-h. Here are some variables: Interest rates are the rates banks charge to loan money. Some economies have low interest rates. Others have normal interest rates. Some systems have high PtY@gj'mU-. Others have low PtY@gj'mU-. A country's trade deficit is the difference between the value of the goods that a country imports and the value of the goods that a country exports. Some economies have small trade deficits. Others have normal trade deficits. Some systems have strong h#Bel31iEl. Others have weak h#Bel31iEl. Retirement savings is the money people save for their retirement. Some economies have high retirement savings. Others have normal retirement savings. Some systems have powerful )2h+pC==-h. Others have weak )2h+pC==-h.  Here are the causal relationships: High PtY@gj'mU- causes powerful )2h+pC==-h. Strong h#Bel31iEl causes powerful )2h+pC==-h. Both high PtY@gj'mU- and strong h#Bel31iEl can each cause powerful )2h+pC==-h on their own. That is, it's not the case that both of these have to be present in order for powerful )2h+pC==-h to be present. Rather, high PtY@gj'mU- can independently cause powerful )2h+pC==-h on their own, and strong h#Bel31iEl can independently cause powerful )2h+pC==-h on their own as well. You are currently observing: weak h#Bel31iEl. Your task is to estimate how likely it is that high PtY@gj'mU- is present on a scale from 0 to 100, given the observations and causal relationships described. 0 means completely unlikely and 100 means completely likely. Provide your likelihood estimate and confidence level about your likelihood estimate (how certain you are about your likelihood estimate between 0 and 100 with 0 being very uncertain and 100 being very certain about your likelihood estimate). Return your response as raw text in one single line using this exact XML format: <response><likelihood>YOUR_NUMERIC_RESPONSE_HERE</likelihood><confidence>YOUR_CONFIDENCE_SCORE_HERE</confidence></response> Replace YOUR_CONFIDENCE_SCORE_HERE with a number between 0 (very uncertain about your likelihood estimate) and 100 (very certain about your likelihood estimate).DO NOT include any other information, explanation, or formatting in your response. DO NOT use Markdown, code blocks, quotation marks, or special characters.",numeric-conf,collider,abs_all_10_overloaded_de,ppp,e,unspecified
10,"In abstract reasoning studies, researchers examine relationships between symbolic variables PtY@gj'mU-, h#Bel31iEl, and )2h+pC==-h. Here are some variables: Interest rates are the rates banks charge to loan money. Some economies have low interest rates. Others have normal interest rates. Some systems have high PtY@gj'mU-. Others have low PtY@gj'mU-. A country's trade deficit is the difference between the value of the goods that a country imports and the value of the goods that a country exports. Some economies have small trade deficits. Others have normal trade deficits. Some systems have strong h#Bel31iEl. Others have weak h#Bel31iEl. Retirement savings is the money people save for their retirement. Some economies have high retirement savings. Others have normal retirement savings. Some systems have powerful )2h+pC==-h. Others have weak )2h+pC==-h.  Here are the causal relationships: High PtY@gj'mU- causes powerful )2h+pC==-h. Strong h#Bel31iEl causes powerful )2h+pC==-h. Both high PtY@gj'mU- and strong h#Bel31iEl can each cause powerful )2h+pC==-h on their own. That is, it's not the case that both of these have to be present in order for powerful )2h+pC==-h to be present. Rather, high PtY@gj'mU- can independently cause powerful )2h+pC==-h on their own, and strong h#Bel31iEl can independently cause powerful )2h+pC==-h on their own as well. You are currently observing: low PtY@gj'mU-. Your task is to estimate how likely it is that strong h#Bel31iEl is present on a scale from 0 to 100, given the observations and causal relationships described. 0 means completely unlikely and 100 means completely likely. Provide your likelihood estimate and confidence level about your likelihood estimate (how certain you are about your likelihood estimate between 0 and 100 with 0 being very uncertain and 100 being very certain about your likelihood estimate). Return your response as raw text in one single line using this exact XML format: <response><likelihood>YOUR_NUMERIC_RESPONSE_HERE</likelihood><confidence>YOUR_CONFIDENCE_SCORE_HERE</confidence></response> Replace YOUR_CONFIDENCE_SCORE_HERE with a number between 0 (very uncertain about your likelihood estimate) and 100 (very certain about your likelihood estimate).DO NOT include any other information, explanation, or formatting in your response. DO NOT use Markdown, code blocks, quotation marks, or special characters.",numeric-conf,collider,abs_all_10_overloaded_de,ppp,e,unspecified
