id,prompt,prompt_category,graph,domain,cntbl_cond,task
1,"In abstract reasoning studies, researchers examine relationships between symbolic variables A, B, and C. Here are some variables: Some systems have high A. Others have low A. Some systems have strong B. Others have weak B. Some systems have powerful C. Others have weak C.  Here are the causal relationships: High A causes powerful C. Strong B causes powerful C. Both high A and strong B can each cause powerful C on their own. That is, it's not the case that both of these have to be present in order for powerful C to be present. Rather, high A can independently cause powerful C on their own, and strong B can independently cause powerful C on their own as well. You are currently observing: powerful C and strong B. Your task is to estimate how likely it is that high A is present on a scale from 0 to 100, given the observations and causal relationships described. 0 means completely unlikely and 100 means completely likely. Provide your likelihood estimate and confidence level about your likelihood estimate (how certain you are about your likelihood estimate between 0 and 100 with 0 being very uncertain and 100 being very certain about your likelihood estimate). Return your response as raw text in one single line using this exact XML format: <response><likelihood>YOUR_NUMERIC_RESPONSE_HERE</likelihood><confidence>YOUR_CONFIDENCE_SCORE_HERE</confidence></response> Replace YOUR_CONFIDENCE_SCORE_HERE with a number between 0 (very uncertain about your likelihood estimate) and 100 (very certain about your likelihood estimate).DO NOT include any other information, explanation, or formatting in your response. DO NOT use Markdown, code blocks, quotation marks, or special characters.",numeric-conf,collider,abstract_abc,ppp,a
2,"In abstract reasoning studies, researchers examine relationships between symbolic variables A, B, and C. Here are some variables: Some systems have high A. Others have low A. Some systems have strong B. Others have weak B. Some systems have powerful C. Others have weak C.  Here are the causal relationships: High A causes powerful C. Strong B causes powerful C. Both high A and strong B can each cause powerful C on their own. That is, it's not the case that both of these have to be present in order for powerful C to be present. Rather, high A can independently cause powerful C on their own, and strong B can independently cause powerful C on their own as well. You are currently observing: powerful C and high A. Your task is to estimate how likely it is that strong B is present on a scale from 0 to 100, given the observations and causal relationships described. 0 means completely unlikely and 100 means completely likely. Provide your likelihood estimate and confidence level about your likelihood estimate (how certain you are about your likelihood estimate between 0 and 100 with 0 being very uncertain and 100 being very certain about your likelihood estimate). Return your response as raw text in one single line using this exact XML format: <response><likelihood>YOUR_NUMERIC_RESPONSE_HERE</likelihood><confidence>YOUR_CONFIDENCE_SCORE_HERE</confidence></response> Replace YOUR_CONFIDENCE_SCORE_HERE with a number between 0 (very uncertain about your likelihood estimate) and 100 (very certain about your likelihood estimate).DO NOT include any other information, explanation, or formatting in your response. DO NOT use Markdown, code blocks, quotation marks, or special characters.",numeric-conf,collider,abstract_abc,ppp,a
3,"In abstract reasoning studies, researchers examine relationships between symbolic variables A, B, and C. Here are some variables: Some systems have high A. Others have low A. Some systems have strong B. Others have weak B. Some systems have powerful C. Others have weak C.  Here are the causal relationships: High A causes powerful C. Strong B causes powerful C. Both high A and strong B can each cause powerful C on their own. That is, it's not the case that both of these have to be present in order for powerful C to be present. Rather, high A can independently cause powerful C on their own, and strong B can independently cause powerful C on their own as well. You are currently observing: powerful C. Your task is to estimate how likely it is that high A is present on a scale from 0 to 100, given the observations and causal relationships described. 0 means completely unlikely and 100 means completely likely. Provide your likelihood estimate and confidence level about your likelihood estimate (how certain you are about your likelihood estimate between 0 and 100 with 0 being very uncertain and 100 being very certain about your likelihood estimate). Return your response as raw text in one single line using this exact XML format: <response><likelihood>YOUR_NUMERIC_RESPONSE_HERE</likelihood><confidence>YOUR_CONFIDENCE_SCORE_HERE</confidence></response> Replace YOUR_CONFIDENCE_SCORE_HERE with a number between 0 (very uncertain about your likelihood estimate) and 100 (very certain about your likelihood estimate).DO NOT include any other information, explanation, or formatting in your response. DO NOT use Markdown, code blocks, quotation marks, or special characters.",numeric-conf,collider,abstract_abc,ppp,b
4,"In abstract reasoning studies, researchers examine relationships between symbolic variables A, B, and C. Here are some variables: Some systems have high A. Others have low A. Some systems have strong B. Others have weak B. Some systems have powerful C. Others have weak C.  Here are the causal relationships: High A causes powerful C. Strong B causes powerful C. Both high A and strong B can each cause powerful C on their own. That is, it's not the case that both of these have to be present in order for powerful C to be present. Rather, high A can independently cause powerful C on their own, and strong B can independently cause powerful C on their own as well. You are currently observing: powerful C. Your task is to estimate how likely it is that strong B is present on a scale from 0 to 100, given the observations and causal relationships described. 0 means completely unlikely and 100 means completely likely. Provide your likelihood estimate and confidence level about your likelihood estimate (how certain you are about your likelihood estimate between 0 and 100 with 0 being very uncertain and 100 being very certain about your likelihood estimate). Return your response as raw text in one single line using this exact XML format: <response><likelihood>YOUR_NUMERIC_RESPONSE_HERE</likelihood><confidence>YOUR_CONFIDENCE_SCORE_HERE</confidence></response> Replace YOUR_CONFIDENCE_SCORE_HERE with a number between 0 (very uncertain about your likelihood estimate) and 100 (very certain about your likelihood estimate).DO NOT include any other information, explanation, or formatting in your response. DO NOT use Markdown, code blocks, quotation marks, or special characters.",numeric-conf,collider,abstract_abc,ppp,b
5,"In abstract reasoning studies, researchers examine relationships between symbolic variables A, B, and C. Here are some variables: Some systems have high A. Others have low A. Some systems have strong B. Others have weak B. Some systems have powerful C. Others have weak C.  Here are the causal relationships: High A causes powerful C. Strong B causes powerful C. Both high A and strong B can each cause powerful C on their own. That is, it's not the case that both of these have to be present in order for powerful C to be present. Rather, high A can independently cause powerful C on their own, and strong B can independently cause powerful C on their own as well. You are currently observing: powerful C and weak B. Your task is to estimate how likely it is that high A is present on a scale from 0 to 100, given the observations and causal relationships described. 0 means completely unlikely and 100 means completely likely. Provide your likelihood estimate and confidence level about your likelihood estimate (how certain you are about your likelihood estimate between 0 and 100 with 0 being very uncertain and 100 being very certain about your likelihood estimate). Return your response as raw text in one single line using this exact XML format: <response><likelihood>YOUR_NUMERIC_RESPONSE_HERE</likelihood><confidence>YOUR_CONFIDENCE_SCORE_HERE</confidence></response> Replace YOUR_CONFIDENCE_SCORE_HERE with a number between 0 (very uncertain about your likelihood estimate) and 100 (very certain about your likelihood estimate).DO NOT include any other information, explanation, or formatting in your response. DO NOT use Markdown, code blocks, quotation marks, or special characters.",numeric-conf,collider,abstract_abc,ppp,c
6,"In abstract reasoning studies, researchers examine relationships between symbolic variables A, B, and C. Here are some variables: Some systems have high A. Others have low A. Some systems have strong B. Others have weak B. Some systems have powerful C. Others have weak C.  Here are the causal relationships: High A causes powerful C. Strong B causes powerful C. Both high A and strong B can each cause powerful C on their own. That is, it's not the case that both of these have to be present in order for powerful C to be present. Rather, high A can independently cause powerful C on their own, and strong B can independently cause powerful C on their own as well. You are currently observing: powerful C and low A. Your task is to estimate how likely it is that strong B is present on a scale from 0 to 100, given the observations and causal relationships described. 0 means completely unlikely and 100 means completely likely. Provide your likelihood estimate and confidence level about your likelihood estimate (how certain you are about your likelihood estimate between 0 and 100 with 0 being very uncertain and 100 being very certain about your likelihood estimate). Return your response as raw text in one single line using this exact XML format: <response><likelihood>YOUR_NUMERIC_RESPONSE_HERE</likelihood><confidence>YOUR_CONFIDENCE_SCORE_HERE</confidence></response> Replace YOUR_CONFIDENCE_SCORE_HERE with a number between 0 (very uncertain about your likelihood estimate) and 100 (very certain about your likelihood estimate).DO NOT include any other information, explanation, or formatting in your response. DO NOT use Markdown, code blocks, quotation marks, or special characters.",numeric-conf,collider,abstract_abc,ppp,c
7,"In abstract reasoning studies, researchers examine relationships between symbolic variables A, B, and C. Here are some variables: Some systems have high A. Others have low A. Some systems have strong B. Others have weak B. Some systems have powerful C. Others have weak C.  Here are the causal relationships: High A causes powerful C. Strong B causes powerful C. Both high A and strong B can each cause powerful C on their own. That is, it's not the case that both of these have to be present in order for powerful C to be present. Rather, high A can independently cause powerful C on their own, and strong B can independently cause powerful C on their own as well. You are currently observing: strong B. Your task is to estimate how likely it is that high A is present on a scale from 0 to 100, given the observations and causal relationships described. 0 means completely unlikely and 100 means completely likely. Provide your likelihood estimate and confidence level about your likelihood estimate (how certain you are about your likelihood estimate between 0 and 100 with 0 being very uncertain and 100 being very certain about your likelihood estimate). Return your response as raw text in one single line using this exact XML format: <response><likelihood>YOUR_NUMERIC_RESPONSE_HERE</likelihood><confidence>YOUR_CONFIDENCE_SCORE_HERE</confidence></response> Replace YOUR_CONFIDENCE_SCORE_HERE with a number between 0 (very uncertain about your likelihood estimate) and 100 (very certain about your likelihood estimate).DO NOT include any other information, explanation, or formatting in your response. DO NOT use Markdown, code blocks, quotation marks, or special characters.",numeric-conf,collider,abstract_abc,ppp,d
8,"In abstract reasoning studies, researchers examine relationships between symbolic variables A, B, and C. Here are some variables: Some systems have high A. Others have low A. Some systems have strong B. Others have weak B. Some systems have powerful C. Others have weak C.  Here are the causal relationships: High A causes powerful C. Strong B causes powerful C. Both high A and strong B can each cause powerful C on their own. That is, it's not the case that both of these have to be present in order for powerful C to be present. Rather, high A can independently cause powerful C on their own, and strong B can independently cause powerful C on their own as well. You are currently observing: high A. Your task is to estimate how likely it is that strong B is present on a scale from 0 to 100, given the observations and causal relationships described. 0 means completely unlikely and 100 means completely likely. Provide your likelihood estimate and confidence level about your likelihood estimate (how certain you are about your likelihood estimate between 0 and 100 with 0 being very uncertain and 100 being very certain about your likelihood estimate). Return your response as raw text in one single line using this exact XML format: <response><likelihood>YOUR_NUMERIC_RESPONSE_HERE</likelihood><confidence>YOUR_CONFIDENCE_SCORE_HERE</confidence></response> Replace YOUR_CONFIDENCE_SCORE_HERE with a number between 0 (very uncertain about your likelihood estimate) and 100 (very certain about your likelihood estimate).DO NOT include any other information, explanation, or formatting in your response. DO NOT use Markdown, code blocks, quotation marks, or special characters.",numeric-conf,collider,abstract_abc,ppp,d
9,"In abstract reasoning studies, researchers examine relationships between symbolic variables A, B, and C. Here are some variables: Some systems have high A. Others have low A. Some systems have strong B. Others have weak B. Some systems have powerful C. Others have weak C.  Here are the causal relationships: High A causes powerful C. Strong B causes powerful C. Both high A and strong B can each cause powerful C on their own. That is, it's not the case that both of these have to be present in order for powerful C to be present. Rather, high A can independently cause powerful C on their own, and strong B can independently cause powerful C on their own as well. You are currently observing: weak B. Your task is to estimate how likely it is that high A is present on a scale from 0 to 100, given the observations and causal relationships described. 0 means completely unlikely and 100 means completely likely. Provide your likelihood estimate and confidence level about your likelihood estimate (how certain you are about your likelihood estimate between 0 and 100 with 0 being very uncertain and 100 being very certain about your likelihood estimate). Return your response as raw text in one single line using this exact XML format: <response><likelihood>YOUR_NUMERIC_RESPONSE_HERE</likelihood><confidence>YOUR_CONFIDENCE_SCORE_HERE</confidence></response> Replace YOUR_CONFIDENCE_SCORE_HERE with a number between 0 (very uncertain about your likelihood estimate) and 100 (very certain about your likelihood estimate).DO NOT include any other information, explanation, or formatting in your response. DO NOT use Markdown, code blocks, quotation marks, or special characters.",numeric-conf,collider,abstract_abc,ppp,e
10,"In abstract reasoning studies, researchers examine relationships between symbolic variables A, B, and C. Here are some variables: Some systems have high A. Others have low A. Some systems have strong B. Others have weak B. Some systems have powerful C. Others have weak C.  Here are the causal relationships: High A causes powerful C. Strong B causes powerful C. Both high A and strong B can each cause powerful C on their own. That is, it's not the case that both of these have to be present in order for powerful C to be present. Rather, high A can independently cause powerful C on their own, and strong B can independently cause powerful C on their own as well. You are currently observing: low A. Your task is to estimate how likely it is that strong B is present on a scale from 0 to 100, given the observations and causal relationships described. 0 means completely unlikely and 100 means completely likely. Provide your likelihood estimate and confidence level about your likelihood estimate (how certain you are about your likelihood estimate between 0 and 100 with 0 being very uncertain and 100 being very certain about your likelihood estimate). Return your response as raw text in one single line using this exact XML format: <response><likelihood>YOUR_NUMERIC_RESPONSE_HERE</likelihood><confidence>YOUR_CONFIDENCE_SCORE_HERE</confidence></response> Replace YOUR_CONFIDENCE_SCORE_HERE with a number between 0 (very uncertain about your likelihood estimate) and 100 (very certain about your likelihood estimate).DO NOT include any other information, explanation, or formatting in your response. DO NOT use Markdown, code blocks, quotation marks, or special characters.",numeric-conf,collider,abstract_abc,ppp,e
