id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;75;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;a;ppp;claude-3-opus-20240229;0.0
2;50;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;a;ppp;claude-3-opus-20240229;0.0
3;50;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;b;ppp;claude-3-opus-20240229;0.0
4;50;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;b;ppp;claude-3-opus-20240229;0.0
5;100;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;c;ppp;claude-3-opus-20240229;0.0
6;100;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;c;ppp;claude-3-opus-20240229;0.0
7;50;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;d;ppp;claude-3-opus-20240229;0.0
8;50;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;d;ppp;claude-3-opus-20240229;0.0
9;50;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;e;ppp;claude-3-opus-20240229;0.0
10;50;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;e;ppp;claude-3-opus-20240229;0.0
11;25;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;f;ppp;claude-3-opus-20240229;0.0
12;10;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;f;ppp;claude-3-opus-20240229;0.0
13;25;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;g;ppp;claude-3-opus-20240229;0.0
14;25;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;g;ppp;claude-3-opus-20240229;0.0
15;50;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;h;ppp;claude-3-opus-20240229;0.0
16;0;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;h;ppp;claude-3-opus-20240229;0.0
17;5;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;i;ppp;claude-3-opus-20240229;0.0
18;50;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;j;ppp;claude-3-opus-20240229;0.0
