id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;Message(id='msg_01Kr4v2uk81c2tWNLUTAdK2k', content=[], model='claude-opus-4-1-20250805', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=989, output_tokens=4, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;a;ppp;claude-opus-4-1-20250805;0.0
2;Message(id='msg_01BSQeXRHUaFN4ehDHafq6zQ', content=[], model='claude-opus-4-1-20250805', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=989, output_tokens=4, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;a;ppp;claude-opus-4-1-20250805;0.0
3;Message(id='msg_01563Zi8JYrY2eSHmb3XmHQi', content=[], model='claude-opus-4-1-20250805', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=979, output_tokens=4, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;b;ppp;claude-opus-4-1-20250805;0.0
4;Message(id='msg_01EjtJh2SL6ZJaQhR5jUeNRM', content=[], model='claude-opus-4-1-20250805', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=977, output_tokens=4, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;b;ppp;claude-opus-4-1-20250805;0.0
5;<response><likelihoo;N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;c;ppp;claude-opus-4-1-20250805;0.0
6;Message(id='msg_015Cu2oakZqYzCsUp2yCzu1B', content=[], model='claude-opus-4-1-20250805', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=989, output_tokens=4, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;c;ppp;claude-opus-4-1-20250805;0.0
7;<response><likelihoo;N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;d;ppp;claude-opus-4-1-20250805;0.0
8;Message(id='msg_01EcskhNdvff8Nb5id1niYmY', content=[], model='claude-opus-4-1-20250805', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=978, output_tokens=4, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;d;ppp;claude-opus-4-1-20250805;0.0
9;Message(id='msg_01Q5W99yVQPehNXzMR2SQ42v', content=[], model='claude-opus-4-1-20250805', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=978, output_tokens=4, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;e;ppp;claude-opus-4-1-20250805;0.0
10;Message(id='msg_01MmtNBAQ9oUrBZFAZ2mtCt1', content=[], model='claude-opus-4-1-20250805', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=978, output_tokens=4, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;e;ppp;claude-opus-4-1-20250805;0.0
11;Message(id='msg_01NBnTNB7K3KkDiVMZ1vVFaD', content=[], model='claude-opus-4-1-20250805', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=989, output_tokens=4, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;f;ppp;claude-opus-4-1-20250805;0.0
