id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;50;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;a;ppp;claude-sonnet-4-20250514;0.0
2;50;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;a;ppp;claude-sonnet-4-20250514;0.0
3;50;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;b;ppp;claude-sonnet-4-20250514;0.0
4;50;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;b;ppp;claude-sonnet-4-20250514;0.0
5;85;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;c;ppp;claude-sonnet-4-20250514;0.0
6;85;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;c;ppp;claude-sonnet-4-20250514;0.0
7;50;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;d;ppp;claude-sonnet-4-20250514;0.0
8;50;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;d;ppp;claude-sonnet-4-20250514;0.0
9;50;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;e;ppp;claude-sonnet-4-20250514;0.0
10;50;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;e;ppp;claude-sonnet-4-20250514;0.0
11;0;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;f;ppp;claude-sonnet-4-20250514;0.0
12;0;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;f;ppp;claude-sonnet-4-20250514;0.0
13;25;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;g;ppp;claude-sonnet-4-20250514;0.0
14;25;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;g;ppp;claude-sonnet-4-20250514;0.0
15;0;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;h;ppp;claude-sonnet-4-20250514;0.0
16;0;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;h;ppp;claude-sonnet-4-20250514;0.0
17;10;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;i;ppp;claude-sonnet-4-20250514;0.0
18;75;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;j;ppp;claude-sonnet-4-20250514;0.0
19;75;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;j;ppp;claude-sonnet-4-20250514;0.0
20;100;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;k;ppp;claude-sonnet-4-20250514;0.0
61;0;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;a;pmm;claude-sonnet-4-20250514;0.0
62;50;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;a;pmm;claude-sonnet-4-20250514;0.0
63;50;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;b;pmm;claude-sonnet-4-20250514;0.0
64;50;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;b;pmm;claude-sonnet-4-20250514;0.0
65;75;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;c;pmm;claude-sonnet-4-20250514;0.0
66;50;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;c;pmm;claude-sonnet-4-20250514;0.0
