id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;50;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;a;ppp;gemini-2.5-flash;0.0
2;50;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;a;ppp;gemini-2.5-flash;0.0
3;67;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;b;ppp;gemini-2.5-flash;0.0
4;67;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;b;ppp;gemini-2.5-flash;0.0
5;100;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;c;ppp;gemini-2.5-flash;0.0
6;100;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;c;ppp;gemini-2.5-flash;0.0
7;50;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;d;ppp;gemini-2.5-flash;0.0
8;50;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;d;ppp;gemini-2.5-flash;0.0
9;50;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;e;ppp;gemini-2.5-flash;0.0
10;50;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;e;ppp;gemini-2.5-flash;0.0
11;0;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;f;ppp;gemini-2.5-flash;0.0
12;5;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;f;ppp;gemini-2.5-flash;0.0
13;0;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;g;ppp;gemini-2.5-flash;0.0
14;0;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;g;ppp;gemini-2.5-flash;0.0
15;0;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;h;ppp;gemini-2.5-flash;0.0
16;0;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;h;ppp;gemini-2.5-flash;0.0
17;5;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;i;ppp;gemini-2.5-flash;0.0
18;100;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;j;ppp;gemini-2.5-flash;0.0
19;95;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;j;ppp;gemini-2.5-flash;0.0
20;100;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;k;ppp;gemini-2.5-flash;0.0
61;40;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;a;pmm;gemini-2.5-flash;0.0
62;50;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;a;pmm;gemini-2.5-flash;0.0
63;65;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;b;pmm;gemini-2.5-flash;0.0
64;67;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;b;pmm;gemini-2.5-flash;0.0
65;100;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;c;pmm;gemini-2.5-flash;0.0
66;100;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;c;pmm;gemini-2.5-flash;0.0
67;50;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;d;pmm;gemini-2.5-flash;0.0
