id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;50;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;a;ppp;gemini-2.5-pro;0.0
2;50;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;a;ppp;gemini-2.5-pro;0.0
3;67;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;b;ppp;gemini-2.5-pro;0.0
4;67;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;b;ppp;gemini-2.5-pro;0.0
5;100;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;c;ppp;gemini-2.5-pro;0.0
6;100;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;c;ppp;gemini-2.5-pro;0.0
7;50;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;d;ppp;gemini-2.5-pro;0.0
8;50;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;d;ppp;gemini-2.5-pro;0.0
9;50;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;e;ppp;gemini-2.5-pro;0.0
10;50;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;e;ppp;gemini-2.5-pro;0.0
11;0;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;f;ppp;gemini-2.5-pro;0.0
12;0;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;f;ppp;gemini-2.5-pro;0.0
13;0;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;g;ppp;gemini-2.5-pro;0.0
14;0;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;g;ppp;gemini-2.5-pro;0.0
15;0;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;h;ppp;gemini-2.5-pro;0.0
16;0;N/A;N/A;numeric;unspecified;collider;abs_all_10_overloaded_de;h;ppp;gemini-2.5-pro;0.0
