id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;0;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;a;ppp;gpt-5-nano;0.0
2;85;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;a;ppp;gpt-5-nano;0.0
3;75;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;b;ppp;gpt-5-nano;0.0
4;85;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;b;ppp;gpt-5-nano;0.0
5;0;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;c;ppp;gpt-5-nano;0.0
6;60;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;c;ppp;gpt-5-nano;0.0
7;0;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;d;ppp;gpt-5-nano;0.0
8;75;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;d;ppp;gpt-5-nano;0.0
9;0;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;e;ppp;gpt-5-nano;0.0
10;40;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;e;ppp;gpt-5-nano;0.0
11;70;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;f;ppp;gpt-5-nano;0.0
12;70;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;f;ppp;gpt-5-nano;0.0
13;35;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;g;ppp;gpt-5-nano;0.0
14;40;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;g;ppp;gpt-5-nano;0.0
15;25;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;h;ppp;gpt-5-nano;0.0
16;0;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;h;ppp;gpt-5-nano;0.0
17;0;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;i;ppp;gpt-5-nano;0.0
18;70;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;j;ppp;gpt-5-nano;0.0
19;60;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;j;ppp;gpt-5-nano;0.0
