id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;<response><likelihood>30</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;a;ppp;gpt-5;0.0
2;<response><likelihood>40</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;a;ppp;gpt-5;0.0
3;<response><likelihood>50</likelihood><confidence>30</confidence></response>;low;low;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;b;ppp;gpt-5;0.0
4;<response><likelihood>50</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;b;ppp;gpt-5;0.0
5;<response><likelihood>100</likelihood><confidence>90</confidence></response>;low;low;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;c;ppp;gpt-5;0.0
6;<response><likelihood>98</likelihood><confidence>90</confidence></response>;low;low;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;c;ppp;gpt-5;0.0
7;<response><likelihood>50</likelihood><confidence>20</confidence></response>;low;low;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;d;ppp;gpt-5;0.0
8;<response><likelihood>50</likelihood><confidence>20</confidence></response>;low;low;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;d;ppp;gpt-5;0.0
9;<response><likelihood>50</likelihood><confidence>30</confidence></response>;low;low;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;e;ppp;gpt-5;0.0
10;<response><likelihood>50</likelihood><confidence>30</confidence></response>;low;low;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;e;ppp;gpt-5;0.0
11;<response><likelihood>5</likelihood><confidence>70</confidence></response>;low;low;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;f;ppp;gpt-5;0.0
12;<response><likelihood>0</likelihood><confidence>95</confidence></response>;low;low;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;f;ppp;gpt-5;0.0
13;<response><likelihood>0</likelihood><confidence>95</confidence></response>;low;low;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;g;ppp;gpt-5;0.0
14;<response><likelihood>0</likelihood><confidence>95</confidence></response>;low;low;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;g;ppp;gpt-5;0.0
15;<response><likelihood>0</likelihood><confidence>95</confidence></response>;low;low;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;h;ppp;gpt-5;0.0
16;<response><likelihood>2</likelihood><confidence>90</confidence></response>;low;low;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;h;ppp;gpt-5;0.0
17;<response><likelihood>10</likelihood><confidence>70</confidence></response>;low;low;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;i;ppp;gpt-5;0.0
18;<response><likelihood>80</likelihood><confidence>65</confidence></response>;low;low;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;j;ppp;gpt-5;0.0
19;<response><likelihood>95</likelihood><confidence>85</confidence></response>;low;low;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;j;ppp;gpt-5;0.0
20;<response><likelihood>100</likelihood><confidence>98</confidence></response>;low;low;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;k;ppp;gpt-5;0.0
61;<response><likelihood>30</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;a;pmm;gpt-5;0.0
62;<response><likelihood>35</likelihood><confidence>35</confidence></response>;low;low;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;a;pmm;gpt-5;0.0
63;<response><likelihood>50</likelihood><confidence>30</confidence></response>;low;low;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;b;pmm;gpt-5;0.0
64;<response><likelihood>50</likelihood><confidence>30</confidence></response>;low;low;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;b;pmm;gpt-5;0.0
65;<response><likelihood>85</likelihood><confidence>65</confidence></response>;low;low;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;c;pmm;gpt-5;0.0
66;<response><likelihood>100</likelihood><confidence>95</confidence></response>;low;low;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;c;pmm;gpt-5;0.0
67;<response><likelihood>50</likelihood><confidence>25</confidence></response>;low;low;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;d;pmm;gpt-5;0.0
68;<response><likelihood>50</likelihood><confidence>15</confidence></response>;low;low;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;d;pmm;gpt-5;0.0
69;<response><likelihood>50</likelihood><confidence>30</confidence></response>;low;low;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;e;pmm;gpt-5;0.0
70;<response><likelihood>50</likelihood><confidence>25</confidence></response>;low;low;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;e;pmm;gpt-5;0.0
