id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;50;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;a;ppp;gpt-5;0.0
2;50;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;a;ppp;gpt-5;0.0
3;50;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;b;ppp;gpt-5;0.0
4;50;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;b;ppp;gpt-5;0.0
5;100;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;c;ppp;gpt-5;0.0
6;100;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;c;ppp;gpt-5;0.0
7;50;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;d;ppp;gpt-5;0.0
8;50;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;d;ppp;gpt-5;0.0
9;50;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;e;ppp;gpt-5;0.0
10;50;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;e;ppp;gpt-5;0.0
11;0;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;f;ppp;gpt-5;0.0
12;0;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;f;ppp;gpt-5;0.0
13;0;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;g;ppp;gpt-5;0.0
14;0;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;g;ppp;gpt-5;0.0
15;0;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;h;ppp;gpt-5;0.0
16;0;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;h;ppp;gpt-5;0.0
17;0;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;i;ppp;gpt-5;0.0
18;75;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;j;ppp;gpt-5;0.0
19;100;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;j;ppp;gpt-5;0.0
20;100;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;k;ppp;gpt-5;0.0
61;50;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;a;pmm;gpt-5;0.0
62;50;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;a;pmm;gpt-5;0.0
63;50;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;b;pmm;gpt-5;0.0
64;50;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;b;pmm;gpt-5;0.0
65;50;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;c;pmm;gpt-5;0.0
66;50;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;c;pmm;gpt-5;0.0
67;50;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;d;pmm;gpt-5;0.0
68;50;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;d;pmm;gpt-5;0.0
69;50;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;e;pmm;gpt-5;0.0
70;50;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;e;pmm;gpt-5;0.0
71;0;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;f;pmm;gpt-5;0.0
72;0;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;f;pmm;gpt-5;0.0
73;0;minimal;low;numeric;unspecified;collider;abs_all_10_overloaded_de;g;pmm;gpt-5;0.0
