Experiment,prompt_category,version,LLM-agent,temperature,verbosity,reasoning_effort,API-error
random_abstract,numeric,1,claude-3-opus-20240229,0.0,,,
random_abstract,CoT,1,claude-3-opus-20240229,0.0,,,
random_abstract,numeric-conf,1,claude-3-opus-20240229,0.0,,,
random_abstract,numeric-conf,1,claude-opus-4-1-20250805,0.0,,,
random_abstract,numeric,1,claude-opus-4-1-20250805,0.0,,,TRUE
random_abstract,CoT,1,claude-opus-4-1-20250805,0.0,,,TRUE
random_abstract,numeric,1,gemini-2.5-pro,0.0,,,
random_abstract,numeric-conf,1,gemini-2.5-pro,0.0,,,
random_abstract,CoT,1,gemini-2.5-pro,0.0,,,
random_abstract,numeric-conf,1,gpt-4.1,0.0,,,
random_abstract,CoT,1,gpt-4.1,0.0,,,
random_abstract,numeric,1,gpt-4.1,0.0,,,
random_abstract,numeric-conf,1,gpt-4o,0.0,,,
random_abstract,CoT,1,gpt-4o,0.0,,,
random_abstract,numeric,1,gpt-4o,0.0,,,
random_abstract,numeric-conf,1,o3-mini,0.0,,,
random_abstract,CoT,1,o3-mini,0.0,,,
random_abstract,numeric,1,o3-mini,0.0,,,
random_abstract,numeric,1,o3,0.0,,,
random_abstract,numeric-conf,1,o3,0.0,,,
random_abstract,CoT,1,o3,0.0,,,
random_abstract,numeric-conf,1,gpt-4.1-mini,0.0,,,
random_abstract,CoT,1,gpt-4.1-mini,0.0,,,
random_abstract,numeric,1,gpt-4.1-mini,0.0,,,
random_abstract,CoT,1,gemini-2.5-flash-lite,0.0,,,
random_abstract,numeric-conf,1,gemini-2.5-flash-lite,0.0,,,
random_abstract,numeric,1,gemini-2.5-flash-lite,0.0,,,
random_abstract,numeric-conf,1,claude-3-5-haiku-20241022,0.0,,,
random_abstract,CoT,1,claude-3-5-haiku-20241022,0.0,,,
random_abstract,numeric,1,claude-3-5-haiku-20241022,0.0,,,
random_abstract,numeric,1,claude-3-7-sonnet-20250219,0.0,,,
random_abstract,numeric-conf,1,claude-3-7-sonnet-20250219,0.0,,,
random_abstract,CoT,1,claude-3-7-sonnet-20250219,0.0,,,
random_abstract,numeric,1,gemini-1.5-pro,0.0,,,
random_abstract,CoT,1,gemini-1.5-pro,0.0,,,
random_abstract,numeric-conf,1,gemini-1.5-pro,0.0,,,
random_abstract,numeric,1,claude-sonnet-4-20250514,0.0,,,
random_abstract,CoT,1,claude-sonnet-4-20250514,0.0,,,
random_abstract,numeric-conf,1,claude-sonnet-4-20250514,0.0,,,
random_abstract,CoT,1,gemini-2.5-flash,0.0,,,
random_abstract,numeric-conf,1,gemini-2.5-flash,0.0,,,
random_abstract,numeric,1,gemini-2.5-flash,0.0,,,
random_abstract,CoT,1,claude-3-haiku-20240307,0.0,,,
random_abstract,numeric-conf,1,claude-3-haiku-20240307,0.0,,,
random_abstract,numeric,1,claude-3-haiku-20240307,0.0,,,
random_abstract,CoT,1,o1-mini,0.0,,,
random_abstract,numeric-conf,1,o1-mini,0.0,,,
random_abstract,numeric,1,o1-mini,0.0,,,
random_abstract,numeric-conf,1,gpt-5-mini,,low,medium,
random_abstract,numeric,1,gpt-5-mini,,low,medium,
random_abstract,numeric,1,gpt-5-mini,,low,low,
random_abstract,CoT,1,gpt-5-mini,,low,minimal,
random_abstract,numeric,1,gpt-5-mini,,low,minimal,
random_abstract,numeric-conf,1,gpt-5-mini,,low,minimal,
random_abstract,CoT,1,gpt-5-mini,,low,medium,
random_abstract,CoT,1,gpt-5-mini,,low,high,TRUE
random_abstract,numeric,1,gpt-5-mini,,low,high,
random_abstract,CoT,1,gpt-5-mini,,low,low,
random_abstract,numeric-conf,1,gpt-5-mini,,low,high,
random_abstract,numeric-conf,1,gpt-5-nano,,low,high,TRUE
random_abstract,numeric,1,gpt-5-nano,,low,medium,
random_abstract,CoT,1,gpt-5-nano,,low,low,
random_abstract,numeric-conf,1,gpt-5-nano,,low,medium,
random_abstract,CoT,1,gpt-5-nano,,low,medium,TRUE
random_abstract,numeric,1,gpt-5-nano,,low,low,
random_abstract,CoT,1,gpt-5-nano,,low,minimal,
random_abstract,numeric,1,gpt-5-nano,,low,high,TRUE
random_abstract,numeric-conf,1,gpt-5-nano,,low,minimal,
random_abstract,numeric,1,gpt-5-nano,,low,minimal,
random_abstract,numeric,1,gpt-5,,low,high,TRUE
random_abstract,numeric-conf,1,gpt-5,,low,high,TRUE
random_abstract,CoT,1,gpt-5,,low,medium,TRUE
random_abstract,numeric,1,gpt-5,,low,low,
random_abstract,CoT,1,gpt-5,,low,low,
random_abstract,numeric-conf,1,gpt-5,,low,minimal,
random_abstract,CoT,1,gpt-5,,low,high,TRUE
random_abstract,numeric-conf,1,gpt-5,,low,medium,
random_abstract,numeric,1,gpt-5,,low,minimal,
random_abstract,CoT,1,gpt-5,,low,minimal,
random_abstract,numeric,1,gpt-5,,low,medium,
random_abstract,CoT,1,o1,0.0,,,
random_abstract,numeric-conf,1,o1,0.0,,,
random_abstract,numeric,1,o1,0.0,,,
random_abstract,numeric-conf,1,gpt-4,0.0,,,
random_abstract,CoT,1,gpt-4,0.0,,,
random_abstract,numeric,1,gpt-4,0.0,,,
random_abstract,numeric,1,claude-opus-4-20250514,0.0,,,
random_abstract,numeric-conf,1,claude-opus-4-20250514,0.0,,,
random_abstract,CoT,1,claude-opus-4-20250514,0.0,,,TRUE
random_abstract,CoT,1,gpt-3.5-turbo,0.0,,,
random_abstract,numeric,1,gpt-3.5-turbo,0.0,,,
random_abstract,numeric-conf,1,gpt-3.5-turbo,0.0,,,
