id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;ppp;claude-3-5-haiku-20241022;0.0
2;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;ppp;claude-3-5-haiku-20241022;0.0
3;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;ppp;claude-3-5-haiku-20241022;0.0
4;80;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;ppp;claude-3-5-haiku-20241022;0.0
5;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;c;ppp;claude-3-5-haiku-20241022;0.0
6;80;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;c;ppp;claude-3-5-haiku-20241022;0.0
7;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;d;ppp;claude-3-5-haiku-20241022;0.0
8;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;d;ppp;claude-3-5-haiku-20241022;0.0
9;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;e;ppp;claude-3-5-haiku-20241022;0.0
10;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;e;ppp;claude-3-5-haiku-20241022;0.0
11;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;f;ppp;claude-3-5-haiku-20241022;0.0
12;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;f;ppp;claude-3-5-haiku-20241022;0.0
13;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;g;ppp;claude-3-5-haiku-20241022;0.0
14;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;g;ppp;claude-3-5-haiku-20241022;0.0
15;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;h;ppp;claude-3-5-haiku-20241022;0.0
16;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;h;ppp;claude-3-5-haiku-20241022;0.0
17;10;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;i;ppp;claude-3-5-haiku-20241022;0.0
18;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;j;ppp;claude-3-5-haiku-20241022;0.0
19;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;j;ppp;claude-3-5-haiku-20241022;0.0
20;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;k;ppp;claude-3-5-haiku-20241022;0.0
61;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;pmm;claude-3-5-haiku-20241022;0.0
62;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;pmm;claude-3-5-haiku-20241022;0.0
63;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;pmm;claude-3-5-haiku-20241022;0.0
64;80;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;pmm;claude-3-5-haiku-20241022;0.0
65;20;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;c;pmm;claude-3-5-haiku-20241022;0.0
66;80;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;c;pmm;claude-3-5-haiku-20241022;0.0
67;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;d;pmm;claude-3-5-haiku-20241022;0.0
68;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;d;pmm;claude-3-5-haiku-20241022;0.0
69;20;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;e;pmm;claude-3-5-haiku-20241022;0.0
70;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;e;pmm;claude-3-5-haiku-20241022;0.0
71;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;f;pmm;claude-3-5-haiku-20241022;0.0
72;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;f;pmm;claude-3-5-haiku-20241022;0.0
73;20;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;g;pmm;claude-3-5-haiku-20241022;0.0
74;80;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;g;pmm;claude-3-5-haiku-20241022;0.0
75;20;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;h;pmm;claude-3-5-haiku-20241022;0.0
76;80;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;h;pmm;claude-3-5-haiku-20241022;0.0
77;25;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;i;pmm;claude-3-5-haiku-20241022;0.0
78;75;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;j;pmm;claude-3-5-haiku-20241022;0.0
79;75;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;j;pmm;claude-3-5-haiku-20241022;0.0
80;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;k;pmm;claude-3-5-haiku-20241022;0.0
101;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;mpm;claude-3-5-haiku-20241022;0.0
102;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;mpm;claude-3-5-haiku-20241022;0.0
103;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;mpm;claude-3-5-haiku-20241022;0.0
104;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;mpm;claude-3-5-haiku-20241022;0.0
105;80;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;c;mpm;claude-3-5-haiku-20241022;0.0
106;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;c;mpm;claude-3-5-haiku-20241022;0.0
107;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;d;mpm;claude-3-5-haiku-20241022;0.0
108;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;d;mpm;claude-3-5-haiku-20241022;0.0
109;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;e;mpm;claude-3-5-haiku-20241022;0.0
110;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;e;mpm;claude-3-5-haiku-20241022;0.0
111;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;f;mpm;claude-3-5-haiku-20241022;0.0
112;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;f;mpm;claude-3-5-haiku-20241022;0.0
113;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;g;mpm;claude-3-5-haiku-20241022;0.0
114;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;g;mpm;claude-3-5-haiku-20241022;0.0
115;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;h;mpm;claude-3-5-haiku-20241022;0.0
116;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;h;mpm;claude-3-5-haiku-20241022;0.0
117;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;i;mpm;claude-3-5-haiku-20241022;0.0
118;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;j;mpm;claude-3-5-haiku-20241022;0.0
119;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;j;mpm;claude-3-5-haiku-20241022;0.0
120;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;k;mpm;claude-3-5-haiku-20241022;0.0
121;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;mmp;claude-3-5-haiku-20241022;0.0
122;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;mmp;claude-3-5-haiku-20241022;0.0
123;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;mmp;claude-3-5-haiku-20241022;0.0
124;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;mmp;claude-3-5-haiku-20241022;0.0
125;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;c;mmp;claude-3-5-haiku-20241022;0.0
126;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;c;mmp;claude-3-5-haiku-20241022;0.0
127;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;d;mmp;claude-3-5-haiku-20241022;0.0
128;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;d;mmp;claude-3-5-haiku-20241022;0.0
129;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;e;mmp;claude-3-5-haiku-20241022;0.0
