id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;ppp;claude-3-7-sonnet-20250219;0.0
2;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;ppp;claude-3-7-sonnet-20250219;0.0
3;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;ppp;claude-3-7-sonnet-20250219;0.0
4;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;ppp;claude-3-7-sonnet-20250219;0.0
5;90;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;c;ppp;claude-3-7-sonnet-20250219;0.0
6;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;c;ppp;claude-3-7-sonnet-20250219;0.0
7;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;d;ppp;claude-3-7-sonnet-20250219;0.0
8;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;d;ppp;claude-3-7-sonnet-20250219;0.0
9;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;e;ppp;claude-3-7-sonnet-20250219;0.0
10;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;e;ppp;claude-3-7-sonnet-20250219;0.0
11;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;f;ppp;claude-3-7-sonnet-20250219;0.0
12;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;f;ppp;claude-3-7-sonnet-20250219;0.0
13;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;g;ppp;claude-3-7-sonnet-20250219;0.0
14;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;g;ppp;claude-3-7-sonnet-20250219;0.0
15;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;h;ppp;claude-3-7-sonnet-20250219;0.0
16;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;h;ppp;claude-3-7-sonnet-20250219;0.0
17;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;i;ppp;claude-3-7-sonnet-20250219;0.0
18;75;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;j;ppp;claude-3-7-sonnet-20250219;0.0
19;75;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;j;ppp;claude-3-7-sonnet-20250219;0.0
20;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;k;ppp;claude-3-7-sonnet-20250219;0.0
61;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;pmm;claude-3-7-sonnet-20250219;0.0
62;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;pmm;claude-3-7-sonnet-20250219;0.0
63;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;pmm;claude-3-7-sonnet-20250219;0.0
64;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;pmm;claude-3-7-sonnet-20250219;0.0
65;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;c;pmm;claude-3-7-sonnet-20250219;0.0
66;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;c;pmm;claude-3-7-sonnet-20250219;0.0
67;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;d;pmm;claude-3-7-sonnet-20250219;0.0
