id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;ppp;claude-3-haiku-20240307;0.0
2;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;ppp;claude-3-haiku-20240307;0.0
3;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;ppp;claude-3-haiku-20240307;0.0
4;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;ppp;claude-3-haiku-20240307;0.0
5;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;c;ppp;claude-3-haiku-20240307;0.0
6;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;c;ppp;claude-3-haiku-20240307;0.0
7;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;d;ppp;claude-3-haiku-20240307;0.0
8;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;d;ppp;claude-3-haiku-20240307;0.0
9;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;e;ppp;claude-3-haiku-20240307;0.0
10;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;e;ppp;claude-3-haiku-20240307;0.0
11;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;f;ppp;claude-3-haiku-20240307;0.0
12;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;f;ppp;claude-3-haiku-20240307;0.0
13;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;g;ppp;claude-3-haiku-20240307;0.0
14;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;g;ppp;claude-3-haiku-20240307;0.0
15;25;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;h;ppp;claude-3-haiku-20240307;0.0
16;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;h;ppp;claude-3-haiku-20240307;0.0
17;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;i;ppp;claude-3-haiku-20240307;0.0
18;75;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;j;ppp;claude-3-haiku-20240307;0.0
19;75;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;j;ppp;claude-3-haiku-20240307;0.0
20;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;k;ppp;claude-3-haiku-20240307;0.0
61;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;pmm;claude-3-haiku-20240307;0.0
62;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;pmm;claude-3-haiku-20240307;0.0
63;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;pmm;claude-3-haiku-20240307;0.0
64;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;pmm;claude-3-haiku-20240307;0.0
65;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;c;pmm;claude-3-haiku-20240307;0.0
66;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;c;pmm;claude-3-haiku-20240307;0.0
67;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;d;pmm;claude-3-haiku-20240307;0.0
68;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;d;pmm;claude-3-haiku-20240307;0.0
69;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;e;pmm;claude-3-haiku-20240307;0.0
70;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;e;pmm;claude-3-haiku-20240307;0.0
71;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;f;pmm;claude-3-haiku-20240307;0.0
72;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;f;pmm;claude-3-haiku-20240307;0.0
73;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;g;pmm;claude-3-haiku-20240307;0.0
74;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;g;pmm;claude-3-haiku-20240307;0.0
75;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;h;pmm;claude-3-haiku-20240307;0.0
76;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;h;pmm;claude-3-haiku-20240307;0.0
77;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;i;pmm;claude-3-haiku-20240307;0.0
78;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;j;pmm;claude-3-haiku-20240307;0.0
79;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;j;pmm;claude-3-haiku-20240307;0.0
80;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;k;pmm;claude-3-haiku-20240307;0.0
101;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;mpm;claude-3-haiku-20240307;0.0
102;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;mpm;claude-3-haiku-20240307;0.0
103;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;mpm;claude-3-haiku-20240307;0.0
104;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;mpm;claude-3-haiku-20240307;0.0
105;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;c;mpm;claude-3-haiku-20240307;0.0
106;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;c;mpm;claude-3-haiku-20240307;0.0
107;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;d;mpm;claude-3-haiku-20240307;0.0
108;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;d;mpm;claude-3-haiku-20240307;0.0
109;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;e;mpm;claude-3-haiku-20240307;0.0
110;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;e;mpm;claude-3-haiku-20240307;0.0
111;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;f;mpm;claude-3-haiku-20240307;0.0
112;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;f;mpm;claude-3-haiku-20240307;0.0
113;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;g;mpm;claude-3-haiku-20240307;0.0
114;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;g;mpm;claude-3-haiku-20240307;0.0
115;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;h;mpm;claude-3-haiku-20240307;0.0
116;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;h;mpm;claude-3-haiku-20240307;0.0
117;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;i;mpm;claude-3-haiku-20240307;0.0
118;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;j;mpm;claude-3-haiku-20240307;0.0
119;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;j;mpm;claude-3-haiku-20240307;0.0
120;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;k;mpm;claude-3-haiku-20240307;0.0
121;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;mmp;claude-3-haiku-20240307;0.0
122;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;mmp;claude-3-haiku-20240307;0.0
123;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;mmp;claude-3-haiku-20240307;0.0
124;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;mmp;claude-3-haiku-20240307;0.0
125;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;c;mmp;claude-3-haiku-20240307;0.0
126;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;c;mmp;claude-3-haiku-20240307;0.0
127;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;d;mmp;claude-3-haiku-20240307;0.0
128;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;d;mmp;claude-3-haiku-20240307;0.0
129;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;e;mmp;claude-3-haiku-20240307;0.0
130;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;e;mmp;claude-3-haiku-20240307;0.0
131;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;f;mmp;claude-3-haiku-20240307;0.0
132;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;f;mmp;claude-3-haiku-20240307;0.0
133;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;g;mmp;claude-3-haiku-20240307;0.0
134;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;g;mmp;claude-3-haiku-20240307;0.0
135;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;h;mmp;claude-3-haiku-20240307;0.0
136;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;h;mmp;claude-3-haiku-20240307;0.0
137;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;i;mmp;claude-3-haiku-20240307;0.0
138;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;j;mmp;claude-3-haiku-20240307;0.0
139;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;j;mmp;claude-3-haiku-20240307;0.0
140;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;k;mmp;claude-3-haiku-20240307;0.0
161;100;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;a;ppp;claude-3-haiku-20240307;0.0
162;100;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;a;ppp;claude-3-haiku-20240307;0.0
163;50;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;b;ppp;claude-3-haiku-20240307;0.0
164;100;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;b;ppp;claude-3-haiku-20240307;0.0
165;50;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;c;ppp;claude-3-haiku-20240307;0.0
166;100;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;c;ppp;claude-3-haiku-20240307;0.0
167;100;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;d;ppp;claude-3-haiku-20240307;0.0
168;100;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;d;ppp;claude-3-haiku-20240307;0.0
169;50;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;e;ppp;claude-3-haiku-20240307;0.0
170;50;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;e;ppp;claude-3-haiku-20240307;0.0
171;50;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;f;ppp;claude-3-haiku-20240307;0.0
172;50;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;f;ppp;claude-3-haiku-20240307;0.0
173;50;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;g;ppp;claude-3-haiku-20240307;0.0
174;50;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;g;ppp;claude-3-haiku-20240307;0.0
175;0;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;h;ppp;claude-3-haiku-20240307;0.0
176;50;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;h;ppp;claude-3-haiku-20240307;0.0
177;0;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;i;ppp;claude-3-haiku-20240307;0.0
178;100;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;j;ppp;claude-3-haiku-20240307;0.0
179;50;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;j;ppp;claude-3-haiku-20240307;0.0
180;100;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;k;ppp;claude-3-haiku-20240307;0.0
221;50;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;a;pmm;claude-3-haiku-20240307;0.0
222;100;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;a;pmm;claude-3-haiku-20240307;0.0
223;50;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;b;pmm;claude-3-haiku-20240307;0.0
224;50;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;b;pmm;claude-3-haiku-20240307;0.0
225;50;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;c;pmm;claude-3-haiku-20240307;0.0
226;100;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;c;pmm;claude-3-haiku-20240307;0.0
227;50;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;d;pmm;claude-3-haiku-20240307;0.0
228;100;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;d;pmm;claude-3-haiku-20240307;0.0
229;50;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;e;pmm;claude-3-haiku-20240307;0.0
230;100;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;e;pmm;claude-3-haiku-20240307;0.0
231;50;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;f;pmm;claude-3-haiku-20240307;0.0
232;50;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;f;pmm;claude-3-haiku-20240307;0.0
233;0;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;g;pmm;claude-3-haiku-20240307;0.0
234;50;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;g;pmm;claude-3-haiku-20240307;0.0
235;0;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;h;pmm;claude-3-haiku-20240307;0.0
236;100;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;h;pmm;claude-3-haiku-20240307;0.0
237;50;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;i;pmm;claude-3-haiku-20240307;0.0
238;100;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;j;pmm;claude-3-haiku-20240307;0.0
239;0;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;j;pmm;claude-3-haiku-20240307;0.0
240;100;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;k;pmm;claude-3-haiku-20240307;0.0
261;100;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;a;mpm;claude-3-haiku-20240307;0.0
262;100;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;a;mpm;claude-3-haiku-20240307;0.0
263;100;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;b;mpm;claude-3-haiku-20240307;0.0
264;100;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;b;mpm;claude-3-haiku-20240307;0.0
265;100;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;c;mpm;claude-3-haiku-20240307;0.0
266;50;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;c;mpm;claude-3-haiku-20240307;0.0
267;100;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;d;mpm;claude-3-haiku-20240307;0.0
268;50;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;d;mpm;claude-3-haiku-20240307;0.0
269;100;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;e;mpm;claude-3-haiku-20240307;0.0
270;100;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;e;mpm;claude-3-haiku-20240307;0.0
271;0;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;f;mpm;claude-3-haiku-20240307;0.0
272;50;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;f;mpm;claude-3-haiku-20240307;0.0
273;0;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;g;mpm;claude-3-haiku-20240307;0.0
274;100;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;g;mpm;claude-3-haiku-20240307;0.0
275;50;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;h;mpm;claude-3-haiku-20240307;0.0
276;100;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;h;mpm;claude-3-haiku-20240307;0.0
277;100;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;i;mpm;claude-3-haiku-20240307;0.0
