id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;75;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;ppp;claude-3-opus-20240229;0.0
2;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;ppp;claude-3-opus-20240229;0.0
3;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;ppp;claude-3-opus-20240229;0.0
4;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;ppp;claude-3-opus-20240229;0.0
5;90;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;c;ppp;claude-3-opus-20240229;0.0
6;90;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;c;ppp;claude-3-opus-20240229;0.0
7;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;d;ppp;claude-3-opus-20240229;0.0
8;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;d;ppp;claude-3-opus-20240229;0.0
9;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;e;ppp;claude-3-opus-20240229;0.0
10;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;e;ppp;claude-3-opus-20240229;0.0
11;20;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;f;ppp;claude-3-opus-20240229;0.0
12;10;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;f;ppp;claude-3-opus-20240229;0.0
13;25;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;g;ppp;claude-3-opus-20240229;0.0
14;25;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;g;ppp;claude-3-opus-20240229;0.0
15;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;h;ppp;claude-3-opus-20240229;0.0
16;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;h;ppp;claude-3-opus-20240229;0.0
17;5;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;i;ppp;claude-3-opus-20240229;0.0
18;75;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;j;ppp;claude-3-opus-20240229;0.0
19;75;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;j;ppp;claude-3-opus-20240229;0.0
20;95;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;k;ppp;claude-3-opus-20240229;0.0
61;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;pmm;claude-3-opus-20240229;0.0
62;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;pmm;claude-3-opus-20240229;0.0
63;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;pmm;claude-3-opus-20240229;0.0
64;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;pmm;claude-3-opus-20240229;0.0
65;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;c;pmm;claude-3-opus-20240229;0.0
66;75;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;c;pmm;claude-3-opus-20240229;0.0
67;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;d;pmm;claude-3-opus-20240229;0.0
68;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;d;pmm;claude-3-opus-20240229;0.0
69;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;e;pmm;claude-3-opus-20240229;0.0
70;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;e;pmm;claude-3-opus-20240229;0.0
71;10;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;f;pmm;claude-3-opus-20240229;0.0
72;90;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;f;pmm;claude-3-opus-20240229;0.0
73;10;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;g;pmm;claude-3-opus-20240229;0.0
74;25;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;g;pmm;claude-3-opus-20240229;0.0
75;10;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;h;pmm;claude-3-opus-20240229;0.0
76;20;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;h;pmm;claude-3-opus-20240229;0.0
77;25;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;i;pmm;claude-3-opus-20240229;0.0
78;90;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;j;pmm;claude-3-opus-20240229;0.0
79;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;j;pmm;claude-3-opus-20240229;0.0
80;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;k;pmm;claude-3-opus-20240229;0.0
101;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;mpm;claude-3-opus-20240229;0.0
102;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;mpm;claude-3-opus-20240229;0.0
103;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;mpm;claude-3-opus-20240229;0.0
104;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;mpm;claude-3-opus-20240229;0.0
105;75;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;c;mpm;claude-3-opus-20240229;0.0
106;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;c;mpm;claude-3-opus-20240229;0.0
107;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;d;mpm;claude-3-opus-20240229;0.0
108;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;d;mpm;claude-3-opus-20240229;0.0
109;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;e;mpm;claude-3-opus-20240229;0.0
110;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;e;mpm;claude-3-opus-20240229;0.0
111;90;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;f;mpm;claude-3-opus-20240229;0.0
112;10;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;f;mpm;claude-3-opus-20240229;0.0
113;20;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;g;mpm;claude-3-opus-20240229;0.0
114;20;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;g;mpm;claude-3-opus-20240229;0.0
115;90;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;h;mpm;claude-3-opus-20240229;0.0
116;20;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;h;mpm;claude-3-opus-20240229;0.0
117;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;i;mpm;claude-3-opus-20240229;0.0
118;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;j;mpm;claude-3-opus-20240229;0.0
119;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;j;mpm;claude-3-opus-20240229;0.0
120;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;k;mpm;claude-3-opus-20240229;0.0
121;75;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;mmp;claude-3-opus-20240229;0.0
122;75;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;mmp;claude-3-opus-20240229;0.0
123;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;mmp;claude-3-opus-20240229;0.0
124;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;mmp;claude-3-opus-20240229;0.0
125;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;c;mmp;claude-3-opus-20240229;0.0
126;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;c;mmp;claude-3-opus-20240229;0.0
127;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;d;mmp;claude-3-opus-20240229;0.0
128;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;d;mmp;claude-3-opus-20240229;0.0
129;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;e;mmp;claude-3-opus-20240229;0.0
130;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;e;mmp;claude-3-opus-20240229;0.0
131;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;f;mmp;claude-3-opus-20240229;0.0
132;10;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;f;mmp;claude-3-opus-20240229;0.0
133;25;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;g;mmp;claude-3-opus-20240229;0.0
134;25;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;g;mmp;claude-3-opus-20240229;0.0
135;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;h;mmp;claude-3-opus-20240229;0.0
136;90;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;h;mmp;claude-3-opus-20240229;0.0
137;10;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;i;mmp;claude-3-opus-20240229;0.0
138;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;j;mmp;claude-3-opus-20240229;0.0
139;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;j;mmp;claude-3-opus-20240229;0.0
140;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;k;mmp;claude-3-opus-20240229;0.0
161;75;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;a;ppp;claude-3-opus-20240229;0.0
162;50;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;a;ppp;claude-3-opus-20240229;0.0
163;50;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;b;ppp;claude-3-opus-20240229;0.0
164;50;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;b;ppp;claude-3-opus-20240229;0.0
165;80;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;c;ppp;claude-3-opus-20240229;0.0
166;100;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;c;ppp;claude-3-opus-20240229;0.0
167;50;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;d;ppp;claude-3-opus-20240229;0.0
168;50;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;d;ppp;claude-3-opus-20240229;0.0
169;50;N/A;N/A;numeric;unspecified;collider;abs_num_symb_10;e;ppp;claude-3-opus-20240229;0.0
