id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;cntbl_cond;subject;temperature
1;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CSctVDzhkgBDp4WoA5HQb'};N/A;N/A;CoT;unspecified;collider;ppp;claude-opus-4-20250514;0.0
2;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CSctVJX4ifXP1NgqrAXkP'};N/A;N/A;CoT;unspecified;collider;ppp;claude-opus-4-20250514;0.0
3;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CSctVP4fYj5aZavtEq3wn'};N/A;N/A;CoT;unspecified;collider;ppp;claude-opus-4-20250514;0.0
4;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CSctVTY3M9dhAVBT18bBF'};N/A;N/A;CoT;unspecified;collider;ppp;claude-opus-4-20250514;0.0
5;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CSctVY3ua61JMYrBBYfrz'};N/A;N/A;CoT;unspecified;collider;ppp;claude-opus-4-20250514;0.0
6;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CSctVcaGPQM2micegUSc9'};N/A;N/A;CoT;unspecified;collider;ppp;claude-opus-4-20250514;0.0
7;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CSctVh67wN6usHNBivVEF'};N/A;N/A;CoT;unspecified;collider;ppp;claude-opus-4-20250514;0.0
8;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CSctVmbEjxHTLRGbtHDth'};N/A;N/A;CoT;unspecified;collider;ppp;claude-opus-4-20250514;0.0
9;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CSctVr7M8SJHYWNyoNwVs'};N/A;N/A;CoT;unspecified;collider;ppp;claude-opus-4-20250514;0.0
10;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CSctVvgC2ELtjUX8ch5H3'};N/A;N/A;CoT;unspecified;collider;ppp;claude-opus-4-20250514;0.0
