id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;ppp;claude-sonnet-4-20250514;0.0
2;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;ppp;claude-sonnet-4-20250514;0.0
3;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;ppp;claude-sonnet-4-20250514;0.0
4;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;ppp;claude-sonnet-4-20250514;0.0
5;85;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;c;ppp;claude-sonnet-4-20250514;0.0
6;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;c;ppp;claude-sonnet-4-20250514;0.0
7;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;d;ppp;claude-sonnet-4-20250514;0.0
8;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;d;ppp;claude-sonnet-4-20250514;0.0
9;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;e;ppp;claude-sonnet-4-20250514;0.0
10;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;e;ppp;claude-sonnet-4-20250514;0.0
11;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;f;ppp;claude-sonnet-4-20250514;0.0
12;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;f;ppp;claude-sonnet-4-20250514;0.0
13;25;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;g;ppp;claude-sonnet-4-20250514;0.0
14;25;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;g;ppp;claude-sonnet-4-20250514;0.0
15;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;h;ppp;claude-sonnet-4-20250514;0.0
16;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;h;ppp;claude-sonnet-4-20250514;0.0
17;10;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;i;ppp;claude-sonnet-4-20250514;0.0
18;75;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;j;ppp;claude-sonnet-4-20250514;0.0
19;85;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;j;ppp;claude-sonnet-4-20250514;0.0
20;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;k;ppp;claude-sonnet-4-20250514;0.0
61;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;pmm;claude-sonnet-4-20250514;0.0
62;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;pmm;claude-sonnet-4-20250514;0.0
63;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;pmm;claude-sonnet-4-20250514;0.0
64;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;pmm;claude-sonnet-4-20250514;0.0
65;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;c;pmm;claude-sonnet-4-20250514;0.0
66;75;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;c;pmm;claude-sonnet-4-20250514;0.0
67;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;d;pmm;claude-sonnet-4-20250514;0.0
68;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;d;pmm;claude-sonnet-4-20250514;0.0
69;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;e;pmm;claude-sonnet-4-20250514;0.0
70;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;e;pmm;claude-sonnet-4-20250514;0.0
71;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;f;pmm;claude-sonnet-4-20250514;0.0
72;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;f;pmm;claude-sonnet-4-20250514;0.0
73;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;g;pmm;claude-sonnet-4-20250514;0.0
74;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;g;pmm;claude-sonnet-4-20250514;0.0
75;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;h;pmm;claude-sonnet-4-20250514;0.0
76;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;h;pmm;claude-sonnet-4-20250514;0.0
77;25;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;i;pmm;claude-sonnet-4-20250514;0.0
78;75;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;j;pmm;claude-sonnet-4-20250514;0.0
79;75;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;j;pmm;claude-sonnet-4-20250514;0.0
80;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;k;pmm;claude-sonnet-4-20250514;0.0
101;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;mpm;claude-sonnet-4-20250514;0.0
102;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;mpm;claude-sonnet-4-20250514;0.0
103;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;mpm;claude-sonnet-4-20250514;0.0
104;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;mpm;claude-sonnet-4-20250514;0.0
105;75;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;c;mpm;claude-sonnet-4-20250514;0.0
106;75;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;c;mpm;claude-sonnet-4-20250514;0.0
107;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;d;mpm;claude-sonnet-4-20250514;0.0
108;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;d;mpm;claude-sonnet-4-20250514;0.0
109;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;e;mpm;claude-sonnet-4-20250514;0.0
110;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;e;mpm;claude-sonnet-4-20250514;0.0
111;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;f;mpm;claude-sonnet-4-20250514;0.0
112;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;f;mpm;claude-sonnet-4-20250514;0.0
113;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;g;mpm;claude-sonnet-4-20250514;0.0
114;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;g;mpm;claude-sonnet-4-20250514;0.0
115;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;h;mpm;claude-sonnet-4-20250514;0.0
116;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;h;mpm;claude-sonnet-4-20250514;0.0
