id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;50;high;low;numeric;unspecified;collider;abs_alnum_10;a;ppp;gpt-5-mini;0.0
2;50;high;low;numeric;unspecified;collider;abs_alnum_10;a;ppp;gpt-5-mini;0.0
3;67;high;low;numeric;unspecified;collider;abs_alnum_10;b;ppp;gpt-5-mini;0.0
4;50;high;low;numeric;unspecified;collider;abs_alnum_10;b;ppp;gpt-5-mini;0.0
5;100;high;low;numeric;unspecified;collider;abs_alnum_10;c;ppp;gpt-5-mini;0.0
6;100;high;low;numeric;unspecified;collider;abs_alnum_10;c;ppp;gpt-5-mini;0.0
7;50;high;low;numeric;unspecified;collider;abs_alnum_10;d;ppp;gpt-5-mini;0.0
8;50;high;low;numeric;unspecified;collider;abs_alnum_10;d;ppp;gpt-5-mini;0.0
9;50;high;low;numeric;unspecified;collider;abs_alnum_10;e;ppp;gpt-5-mini;0.0
10;50;high;low;numeric;unspecified;collider;abs_alnum_10;e;ppp;gpt-5-mini;0.0
11;9;high;low;numeric;unspecified;collider;abs_alnum_10;f;ppp;gpt-5-mini;0.0
12;10;high;low;numeric;unspecified;collider;abs_alnum_10;f;ppp;gpt-5-mini;0.0
13;0;high;low;numeric;unspecified;collider;abs_alnum_10;g;ppp;gpt-5-mini;0.0
14;0;high;low;numeric;unspecified;collider;abs_alnum_10;g;ppp;gpt-5-mini;0.0
15;0;high;low;numeric;unspecified;collider;abs_alnum_10;h;ppp;gpt-5-mini;0.0
16;0;high;low;numeric;unspecified;collider;abs_alnum_10;h;ppp;gpt-5-mini;0.0
17;0;high;low;numeric;unspecified;collider;abs_alnum_10;i;ppp;gpt-5-mini;0.0
18;80;high;low;numeric;unspecified;collider;abs_alnum_10;j;ppp;gpt-5-mini;0.0
19;80;high;low;numeric;unspecified;collider;abs_alnum_10;j;ppp;gpt-5-mini;0.0
20;100;high;low;numeric;unspecified;collider;abs_alnum_10;k;ppp;gpt-5-mini;0.0
61;20;high;low;numeric;unspecified;collider;abs_alnum_10;a;pmm;gpt-5-mini;0.0
62;50;high;low;numeric;unspecified;collider;abs_alnum_10;a;pmm;gpt-5-mini;0.0
63;67;high;low;numeric;unspecified;collider;abs_alnum_10;b;pmm;gpt-5-mini;0.0
64;67;high;low;numeric;unspecified;collider;abs_alnum_10;b;pmm;gpt-5-mini;0.0
65;100;high;low;numeric;unspecified;collider;abs_alnum_10;c;pmm;gpt-5-mini;0.0
66;100;high;low;numeric;unspecified;collider;abs_alnum_10;c;pmm;gpt-5-mini;0.0
67;50;high;low;numeric;unspecified;collider;abs_alnum_10;d;pmm;gpt-5-mini;0.0
68;50;high;low;numeric;unspecified;collider;abs_alnum_10;d;pmm;gpt-5-mini;0.0
69;50;high;low;numeric;unspecified;collider;abs_alnum_10;e;pmm;gpt-5-mini;0.0
70;50;high;low;numeric;unspecified;collider;abs_alnum_10;e;pmm;gpt-5-mini;0.0
71;10;high;low;numeric;unspecified;collider;abs_alnum_10;f;pmm;gpt-5-mini;0.0
72;10;high;low;numeric;unspecified;collider;abs_alnum_10;f;pmm;gpt-5-mini;0.0
73;0;high;low;numeric;unspecified;collider;abs_alnum_10;g;pmm;gpt-5-mini;0.0
74;0;high;low;numeric;unspecified;collider;abs_alnum_10;g;pmm;gpt-5-mini;0.0
75;0;high;low;numeric;unspecified;collider;abs_alnum_10;h;pmm;gpt-5-mini;0.0
76;0;high;low;numeric;unspecified;collider;abs_alnum_10;h;pmm;gpt-5-mini;0.0
77;10;high;low;numeric;unspecified;collider;abs_alnum_10;i;pmm;gpt-5-mini;0.0
78;100;high;low;numeric;unspecified;collider;abs_alnum_10;j;pmm;gpt-5-mini;0.0
79;100;high;low;numeric;unspecified;collider;abs_alnum_10;j;pmm;gpt-5-mini;0.0
80;100;high;low;numeric;unspecified;collider;abs_alnum_10;k;pmm;gpt-5-mini;0.0
101;50;high;low;numeric;unspecified;collider;abs_alnum_10;a;mpm;gpt-5-mini;0.0
102;20;high;low;numeric;unspecified;collider;abs_alnum_10;a;mpm;gpt-5-mini;0.0
