id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;33;low;low;numeric;unspecified;collider;abs_alnum_10;a;ppp;gpt-5-mini;0.0
2;50;low;low;numeric;unspecified;collider;abs_alnum_10;a;ppp;gpt-5-mini;0.0
3;67;low;low;numeric;unspecified;collider;abs_alnum_10;b;ppp;gpt-5-mini;0.0
4;67;low;low;numeric;unspecified;collider;abs_alnum_10;b;ppp;gpt-5-mini;0.0
5;80;low;low;numeric;unspecified;collider;abs_alnum_10;c;ppp;gpt-5-mini;0.0
6;90;low;low;numeric;unspecified;collider;abs_alnum_10;c;ppp;gpt-5-mini;0.0
7;50;low;low;numeric;unspecified;collider;abs_alnum_10;d;ppp;gpt-5-mini;0.0
8;50;low;low;numeric;unspecified;collider;abs_alnum_10;d;ppp;gpt-5-mini;0.0
9;50;low;low;numeric;unspecified;collider;abs_alnum_10;e;ppp;gpt-5-mini;0.0
10;50;low;low;numeric;unspecified;collider;abs_alnum_10;e;ppp;gpt-5-mini;0.0
11;10;low;low;numeric;unspecified;collider;abs_alnum_10;f;ppp;gpt-5-mini;0.0
12;5;low;low;numeric;unspecified;collider;abs_alnum_10;f;ppp;gpt-5-mini;0.0
13;20;low;low;numeric;unspecified;collider;abs_alnum_10;g;ppp;gpt-5-mini;0.0
14;0;low;low;numeric;unspecified;collider;abs_alnum_10;g;ppp;gpt-5-mini;0.0
15;0;low;low;numeric;unspecified;collider;abs_alnum_10;h;ppp;gpt-5-mini;0.0
16;10;low;low;numeric;unspecified;collider;abs_alnum_10;h;ppp;gpt-5-mini;0.0
17;5;low;low;numeric;unspecified;collider;abs_alnum_10;i;ppp;gpt-5-mini;0.0
18;90;low;low;numeric;unspecified;collider;abs_alnum_10;j;ppp;gpt-5-mini;0.0
19;100;low;low;numeric;unspecified;collider;abs_alnum_10;j;ppp;gpt-5-mini;0.0
20;100;low;low;numeric;unspecified;collider;abs_alnum_10;k;ppp;gpt-5-mini;0.0
61;20;low;low;numeric;unspecified;collider;abs_alnum_10;a;pmm;gpt-5-mini;0.0
62;33;low;low;numeric;unspecified;collider;abs_alnum_10;a;pmm;gpt-5-mini;0.0
63;50;low;low;numeric;unspecified;collider;abs_alnum_10;b;pmm;gpt-5-mini;0.0
64;67;low;low;numeric;unspecified;collider;abs_alnum_10;b;pmm;gpt-5-mini;0.0
65;100;low;low;numeric;unspecified;collider;abs_alnum_10;c;pmm;gpt-5-mini;0.0
66;75;low;low;numeric;unspecified;collider;abs_alnum_10;c;pmm;gpt-5-mini;0.0
67;50;low;low;numeric;unspecified;collider;abs_alnum_10;d;pmm;gpt-5-mini;0.0
68;50;low;low;numeric;unspecified;collider;abs_alnum_10;d;pmm;gpt-5-mini;0.0
69;50;low;low;numeric;unspecified;collider;abs_alnum_10;e;pmm;gpt-5-mini;0.0
70;50;low;low;numeric;unspecified;collider;abs_alnum_10;e;pmm;gpt-5-mini;0.0
71;5;low;low;numeric;unspecified;collider;abs_alnum_10;f;pmm;gpt-5-mini;0.0
72;10;low;low;numeric;unspecified;collider;abs_alnum_10;f;pmm;gpt-5-mini;0.0
73;0;low;low;numeric;unspecified;collider;abs_alnum_10;g;pmm;gpt-5-mini;0.0
74;0;low;low;numeric;unspecified;collider;abs_alnum_10;g;pmm;gpt-5-mini;0.0
75;5;low;low;numeric;unspecified;collider;abs_alnum_10;h;pmm;gpt-5-mini;0.0
76;0;low;low;numeric;unspecified;collider;abs_alnum_10;h;pmm;gpt-5-mini;0.0
77;20;low;low;numeric;unspecified;collider;abs_alnum_10;i;pmm;gpt-5-mini;0.0
78;100;low;low;numeric;unspecified;collider;abs_alnum_10;j;pmm;gpt-5-mini;0.0
79;90;low;low;numeric;unspecified;collider;abs_alnum_10;j;pmm;gpt-5-mini;0.0
80;100;low;low;numeric;unspecified;collider;abs_alnum_10;k;pmm;gpt-5-mini;0.0
101;25;low;low;numeric;unspecified;collider;abs_alnum_10;a;mpm;gpt-5-mini;0.0
102;20;low;low;numeric;unspecified;collider;abs_alnum_10;a;mpm;gpt-5-mini;0.0
103;50;low;low;numeric;unspecified;collider;abs_alnum_10;b;mpm;gpt-5-mini;0.0
104;67;low;low;numeric;unspecified;collider;abs_alnum_10;b;mpm;gpt-5-mini;0.0
105;100;low;low;numeric;unspecified;collider;abs_alnum_10;c;mpm;gpt-5-mini;0.0
106;100;low;low;numeric;unspecified;collider;abs_alnum_10;c;mpm;gpt-5-mini;0.0
107;50;low;low;numeric;unspecified;collider;abs_alnum_10;d;mpm;gpt-5-mini;0.0
108;50;low;low;numeric;unspecified;collider;abs_alnum_10;d;mpm;gpt-5-mini;0.0
109;50;low;low;numeric;unspecified;collider;abs_alnum_10;e;mpm;gpt-5-mini;0.0
110;50;low;low;numeric;unspecified;collider;abs_alnum_10;e;mpm;gpt-5-mini;0.0
111;10;low;low;numeric;unspecified;collider;abs_alnum_10;f;mpm;gpt-5-mini;0.0
112;5;low;low;numeric;unspecified;collider;abs_alnum_10;f;mpm;gpt-5-mini;0.0
113;10;low;low;numeric;unspecified;collider;abs_alnum_10;g;mpm;gpt-5-mini;0.0
114;0;low;low;numeric;unspecified;collider;abs_alnum_10;g;mpm;gpt-5-mini;0.0
115;5;low;low;numeric;unspecified;collider;abs_alnum_10;h;mpm;gpt-5-mini;0.0
116;0;low;low;numeric;unspecified;collider;abs_alnum_10;h;mpm;gpt-5-mini;0.0
117;10;low;low;numeric;unspecified;collider;abs_alnum_10;i;mpm;gpt-5-mini;0.0
118;100;low;low;numeric;unspecified;collider;abs_alnum_10;j;mpm;gpt-5-mini;0.0
119;80;low;low;numeric;unspecified;collider;abs_alnum_10;j;mpm;gpt-5-mini;0.0
120;100;low;low;numeric;unspecified;collider;abs_alnum_10;k;mpm;gpt-5-mini;0.0
121;50;low;low;numeric;unspecified;collider;abs_alnum_10;a;mmp;gpt-5-mini;0.0
122;25;low;low;numeric;unspecified;collider;abs_alnum_10;a;mmp;gpt-5-mini;0.0
123;50;low;low;numeric;unspecified;collider;abs_alnum_10;b;mmp;gpt-5-mini;0.0
124;67;low;low;numeric;unspecified;collider;abs_alnum_10;b;mmp;gpt-5-mini;0.0
125;100;low;low;numeric;unspecified;collider;abs_alnum_10;c;mmp;gpt-5-mini;0.0
126;100;low;low;numeric;unspecified;collider;abs_alnum_10;c;mmp;gpt-5-mini;0.0
127;50;low;low;numeric;unspecified;collider;abs_alnum_10;d;mmp;gpt-5-mini;0.0
128;50;low;low;numeric;unspecified;collider;abs_alnum_10;d;mmp;gpt-5-mini;0.0
129;50;low;low;numeric;unspecified;collider;abs_alnum_10;e;mmp;gpt-5-mini;0.0
130;50;low;low;numeric;unspecified;collider;abs_alnum_10;e;mmp;gpt-5-mini;0.0
131;5;low;low;numeric;unspecified;collider;abs_alnum_10;f;mmp;gpt-5-mini;0.0
132;10;low;low;numeric;unspecified;collider;abs_alnum_10;f;mmp;gpt-5-mini;0.0
133;20;low;low;numeric;unspecified;collider;abs_alnum_10;g;mmp;gpt-5-mini;0.0
134;20;low;low;numeric;unspecified;collider;abs_alnum_10;g;mmp;gpt-5-mini;0.0
135;10;low;low;numeric;unspecified;collider;abs_alnum_10;h;mmp;gpt-5-mini;0.0
136;0;low;low;numeric;unspecified;collider;abs_alnum_10;h;mmp;gpt-5-mini;0.0
137;5;low;low;numeric;unspecified;collider;abs_alnum_10;i;mmp;gpt-5-mini;0.0
138;80;low;low;numeric;unspecified;collider;abs_alnum_10;j;mmp;gpt-5-mini;0.0
139;90;low;low;numeric;unspecified;collider;abs_alnum_10;j;mmp;gpt-5-mini;0.0
140;95;low;low;numeric;unspecified;collider;abs_alnum_10;k;mmp;gpt-5-mini;0.0
161;50;low;low;numeric;unspecified;collider;abs_num_symb_10;a;ppp;gpt-5-mini;0.0
162;33;low;low;numeric;unspecified;collider;abs_num_symb_10;a;ppp;gpt-5-mini;0.0
163;67;low;low;numeric;unspecified;collider;abs_num_symb_10;b;ppp;gpt-5-mini;0.0
164;67;low;low;numeric;unspecified;collider;abs_num_symb_10;b;ppp;gpt-5-mini;0.0
165;80;low;low;numeric;unspecified;collider;abs_num_symb_10;c;ppp;gpt-5-mini;0.0
166;100;low;low;numeric;unspecified;collider;abs_num_symb_10;c;ppp;gpt-5-mini;0.0
167;50;low;low;numeric;unspecified;collider;abs_num_symb_10;d;ppp;gpt-5-mini;0.0
168;50;low;low;numeric;unspecified;collider;abs_num_symb_10;d;ppp;gpt-5-mini;0.0
169;50;low;low;numeric;unspecified;collider;abs_num_symb_10;e;ppp;gpt-5-mini;0.0
170;50;low;low;numeric;unspecified;collider;abs_num_symb_10;e;ppp;gpt-5-mini;0.0
171;10;low;low;numeric;unspecified;collider;abs_num_symb_10;f;ppp;gpt-5-mini;0.0
172;10;low;low;numeric;unspecified;collider;abs_num_symb_10;f;ppp;gpt-5-mini;0.0
173;0;low;low;numeric;unspecified;collider;abs_num_symb_10;g;ppp;gpt-5-mini;0.0
174;0;low;low;numeric;unspecified;collider;abs_num_symb_10;g;ppp;gpt-5-mini;0.0
175;10;low;low;numeric;unspecified;collider;abs_num_symb_10;h;ppp;gpt-5-mini;0.0
176;10;low;low;numeric;unspecified;collider;abs_num_symb_10;h;ppp;gpt-5-mini;0.0
177;5;low;low;numeric;unspecified;collider;abs_num_symb_10;i;ppp;gpt-5-mini;0.0
178;80;low;low;numeric;unspecified;collider;abs_num_symb_10;j;ppp;gpt-5-mini;0.0
179;70;low;low;numeric;unspecified;collider;abs_num_symb_10;j;ppp;gpt-5-mini;0.0
180;100;low;low;numeric;unspecified;collider;abs_num_symb_10;k;ppp;gpt-5-mini;0.0
