id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;a;ppp;gpt-5-mini;0.0
2;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;a;ppp;gpt-5-mini;0.0
3;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;b;ppp;gpt-5-mini;0.0
4;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;b;ppp;gpt-5-mini;0.0
5;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;c;ppp;gpt-5-mini;0.0
6;100;minimal;low;numeric;unspecified;collider;abs_alnum_10;c;ppp;gpt-5-mini;0.0
7;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;d;ppp;gpt-5-mini;0.0
8;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;d;ppp;gpt-5-mini;0.0
9;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;e;ppp;gpt-5-mini;0.0
10;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;e;ppp;gpt-5-mini;0.0
11;0;minimal;low;numeric;unspecified;collider;abs_alnum_10;f;ppp;gpt-5-mini;0.0
12;0;minimal;low;numeric;unspecified;collider;abs_alnum_10;f;ppp;gpt-5-mini;0.0
13;20;minimal;low;numeric;unspecified;collider;abs_alnum_10;g;ppp;gpt-5-mini;0.0
14;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;g;ppp;gpt-5-mini;0.0
15;10;minimal;low;numeric;unspecified;collider;abs_alnum_10;h;ppp;gpt-5-mini;0.0
16;0;minimal;low;numeric;unspecified;collider;abs_alnum_10;h;ppp;gpt-5-mini;0.0
17;10;minimal;low;numeric;unspecified;collider;abs_alnum_10;i;ppp;gpt-5-mini;0.0
18;80;minimal;low;numeric;unspecified;collider;abs_alnum_10;j;ppp;gpt-5-mini;0.0
19;80;minimal;low;numeric;unspecified;collider;abs_alnum_10;j;ppp;gpt-5-mini;0.0
20;95;minimal;low;numeric;unspecified;collider;abs_alnum_10;k;ppp;gpt-5-mini;0.0
61;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;a;pmm;gpt-5-mini;0.0
62;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;a;pmm;gpt-5-mini;0.0
63;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;b;pmm;gpt-5-mini;0.0
64;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;b;pmm;gpt-5-mini;0.0
65;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;c;pmm;gpt-5-mini;0.0
66;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;c;pmm;gpt-5-mini;0.0
67;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;d;pmm;gpt-5-mini;0.0
68;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;d;pmm;gpt-5-mini;0.0
69;25;minimal;low;numeric;unspecified;collider;abs_alnum_10;e;pmm;gpt-5-mini;0.0
