id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;60;low;low;numeric;unspecified;collider;abs_alnum_10;a;ppp;gpt-5-nano;0.0
2;50;low;low;numeric;unspecified;collider;abs_alnum_10;a;ppp;gpt-5-nano;0.0
3;70;low;low;numeric;unspecified;collider;abs_alnum_10;b;ppp;gpt-5-nano;0.0
4;40;low;low;numeric;unspecified;collider;abs_alnum_10;b;ppp;gpt-5-nano;0.0
5;80;low;low;numeric;unspecified;collider;abs_alnum_10;c;ppp;gpt-5-nano;0.0
6;75;low;low;numeric;unspecified;collider;abs_alnum_10;c;ppp;gpt-5-nano;0.0
7;40;low;low;numeric;unspecified;collider;abs_alnum_10;d;ppp;gpt-5-nano;0.0
8;50;low;low;numeric;unspecified;collider;abs_alnum_10;d;ppp;gpt-5-nano;0.0
9;60;low;low;numeric;unspecified;collider;abs_alnum_10;e;ppp;gpt-5-nano;0.0
10;50;low;low;numeric;unspecified;collider;abs_alnum_10;e;ppp;gpt-5-nano;0.0
11;10;low;low;numeric;unspecified;collider;abs_alnum_10;f;ppp;gpt-5-nano;0.0
12;10;low;low;numeric;unspecified;collider;abs_alnum_10;f;ppp;gpt-5-nano;0.0
13;20;low;low;numeric;unspecified;collider;abs_alnum_10;g;ppp;gpt-5-nano;0.0
14;15;low;low;numeric;unspecified;collider;abs_alnum_10;g;ppp;gpt-5-nano;0.0
15;15;low;low;numeric;unspecified;collider;abs_alnum_10;h;ppp;gpt-5-nano;0.0
16;15;low;low;numeric;unspecified;collider;abs_alnum_10;h;ppp;gpt-5-nano;0.0
17;10;low;low;numeric;unspecified;collider;abs_alnum_10;i;ppp;gpt-5-nano;0.0
18;75;low;low;numeric;unspecified;collider;abs_alnum_10;j;ppp;gpt-5-nano;0.0
19;85;low;low;numeric;unspecified;collider;abs_alnum_10;j;ppp;gpt-5-nano;0.0
20;90;low;low;numeric;unspecified;collider;abs_alnum_10;k;ppp;gpt-5-nano;0.0
61;25;low;low;numeric;unspecified;collider;abs_alnum_10;a;pmm;gpt-5-nano;0.0
62;30;low;low;numeric;unspecified;collider;abs_alnum_10;a;pmm;gpt-5-nano;0.0
63;60;low;low;numeric;unspecified;collider;abs_alnum_10;b;pmm;gpt-5-nano;0.0
64;67;low;low;numeric;unspecified;collider;abs_alnum_10;b;pmm;gpt-5-nano;0.0
65;85;low;low;numeric;unspecified;collider;abs_alnum_10;c;pmm;gpt-5-nano;0.0
66;85;low;low;numeric;unspecified;collider;abs_alnum_10;c;pmm;gpt-5-nano;0.0
67;40;low;low;numeric;unspecified;collider;abs_alnum_10;d;pmm;gpt-5-nano;0.0
68;50;low;low;numeric;unspecified;collider;abs_alnum_10;d;pmm;gpt-5-nano;0.0
69;50;low;low;numeric;unspecified;collider;abs_alnum_10;e;pmm;gpt-5-nano;0.0
70;50;low;low;numeric;unspecified;collider;abs_alnum_10;e;pmm;gpt-5-nano;0.0
71;15;low;low;numeric;unspecified;collider;abs_alnum_10;f;pmm;gpt-5-nano;0.0
72;20;low;low;numeric;unspecified;collider;abs_alnum_10;f;pmm;gpt-5-nano;0.0
73;10;low;low;numeric;unspecified;collider;abs_alnum_10;g;pmm;gpt-5-nano;0.0
74;15;low;low;numeric;unspecified;collider;abs_alnum_10;g;pmm;gpt-5-nano;0.0
75;5;low;low;numeric;unspecified;collider;abs_alnum_10;h;pmm;gpt-5-nano;0.0
76;15;low;low;numeric;unspecified;collider;abs_alnum_10;h;pmm;gpt-5-nano;0.0
