id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;50;medium;low;numeric;unspecified;collider;abs_alnum_10;a;ppp;gpt-5-nano;0.0
2;50;medium;low;numeric;unspecified;collider;abs_alnum_10;a;ppp;gpt-5-nano;0.0
3;50;medium;low;numeric;unspecified;collider;abs_alnum_10;b;ppp;gpt-5-nano;0.0
4;70;medium;low;numeric;unspecified;collider;abs_alnum_10;b;ppp;gpt-5-nano;0.0
5;85;medium;low;numeric;unspecified;collider;abs_alnum_10;c;ppp;gpt-5-nano;0.0
6;100;medium;low;numeric;unspecified;collider;abs_alnum_10;c;ppp;gpt-5-nano;0.0
7;50;medium;low;numeric;unspecified;collider;abs_alnum_10;d;ppp;gpt-5-nano;0.0
8;50;medium;low;numeric;unspecified;collider;abs_alnum_10;d;ppp;gpt-5-nano;0.0
9;50;medium;low;numeric;unspecified;collider;abs_alnum_10;e;ppp;gpt-5-nano;0.0
10;50;medium;low;numeric;unspecified;collider;abs_alnum_10;e;ppp;gpt-5-nano;0.0
11;10;medium;low;numeric;unspecified;collider;abs_alnum_10;f;ppp;gpt-5-nano;0.0
12;20;medium;low;numeric;unspecified;collider;abs_alnum_10;f;ppp;gpt-5-nano;0.0
13;0;medium;low;numeric;unspecified;collider;abs_alnum_10;g;ppp;gpt-5-nano;0.0
14;10;medium;low;numeric;unspecified;collider;abs_alnum_10;g;ppp;gpt-5-nano;0.0
15;0;medium;low;numeric;unspecified;collider;abs_alnum_10;h;ppp;gpt-5-nano;0.0
16;0;medium;low;numeric;unspecified;collider;abs_alnum_10;h;ppp;gpt-5-nano;0.0
17;10;medium;low;numeric;unspecified;collider;abs_alnum_10;i;ppp;gpt-5-nano;0.0
18;90;medium;low;numeric;unspecified;collider;abs_alnum_10;j;ppp;gpt-5-nano;0.0
19;85;medium;low;numeric;unspecified;collider;abs_alnum_10;j;ppp;gpt-5-nano;0.0
20;100;medium;low;numeric;unspecified;collider;abs_alnum_10;k;ppp;gpt-5-nano;0.0
61;25;medium;low;numeric;unspecified;collider;abs_alnum_10;a;pmm;gpt-5-nano;0.0
62;25;medium;low;numeric;unspecified;collider;abs_alnum_10;a;pmm;gpt-5-nano;0.0
63;67;medium;low;numeric;unspecified;collider;abs_alnum_10;b;pmm;gpt-5-nano;0.0
64;67;medium;low;numeric;unspecified;collider;abs_alnum_10;b;pmm;gpt-5-nano;0.0
65;100;medium;low;numeric;unspecified;collider;abs_alnum_10;c;pmm;gpt-5-nano;0.0
66;90;medium;low;numeric;unspecified;collider;abs_alnum_10;c;pmm;gpt-5-nano;0.0
67;50;medium;low;numeric;unspecified;collider;abs_alnum_10;d;pmm;gpt-5-nano;0.0
68;50;medium;low;numeric;unspecified;collider;abs_alnum_10;d;pmm;gpt-5-nano;0.0
69;50;medium;low;numeric;unspecified;collider;abs_alnum_10;e;pmm;gpt-5-nano;0.0
70;50;medium;low;numeric;unspecified;collider;abs_alnum_10;e;pmm;gpt-5-nano;0.0
71;10;medium;low;numeric;unspecified;collider;abs_alnum_10;f;pmm;gpt-5-nano;0.0
72;0;medium;low;numeric;unspecified;collider;abs_alnum_10;f;pmm;gpt-5-nano;0.0
73;10;medium;low;numeric;unspecified;collider;abs_alnum_10;g;pmm;gpt-5-nano;0.0
74;0;medium;low;numeric;unspecified;collider;abs_alnum_10;g;pmm;gpt-5-nano;0.0
75;15;medium;low;numeric;unspecified;collider;abs_alnum_10;h;pmm;gpt-5-nano;0.0
76;0;medium;low;numeric;unspecified;collider;abs_alnum_10;h;pmm;gpt-5-nano;0.0
77;0;medium;low;numeric;unspecified;collider;abs_alnum_10;i;pmm;gpt-5-nano;0.0
78;70;medium;low;numeric;unspecified;collider;abs_alnum_10;j;pmm;gpt-5-nano;0.0
79;80;medium;low;numeric;unspecified;collider;abs_alnum_10;j;pmm;gpt-5-nano;0.0
80;90;medium;low;numeric;unspecified;collider;abs_alnum_10;k;pmm;gpt-5-nano;0.0
101;40;medium;low;numeric;unspecified;collider;abs_alnum_10;a;mpm;gpt-5-nano;0.0
102;20;medium;low;numeric;unspecified;collider;abs_alnum_10;a;mpm;gpt-5-nano;0.0
103;50;medium;low;numeric;unspecified;collider;abs_alnum_10;b;mpm;gpt-5-nano;0.0
104;67;medium;low;numeric;unspecified;collider;abs_alnum_10;b;mpm;gpt-5-nano;0.0
105;80;medium;low;numeric;unspecified;collider;abs_alnum_10;c;mpm;gpt-5-nano;0.0
106;100;medium;low;numeric;unspecified;collider;abs_alnum_10;c;mpm;gpt-5-nano;0.0
107;50;medium;low;numeric;unspecified;collider;abs_alnum_10;d;mpm;gpt-5-nano;0.0
108;50;medium;low;numeric;unspecified;collider;abs_alnum_10;d;mpm;gpt-5-nano;0.0
109;50;medium;low;numeric;unspecified;collider;abs_alnum_10;e;mpm;gpt-5-nano;0.0
110;50;medium;low;numeric;unspecified;collider;abs_alnum_10;e;mpm;gpt-5-nano;0.0
111;0;medium;low;numeric;unspecified;collider;abs_alnum_10;f;mpm;gpt-5-nano;0.0
112;0;medium;low;numeric;unspecified;collider;abs_alnum_10;f;mpm;gpt-5-nano;0.0
113;15;medium;low;numeric;unspecified;collider;abs_alnum_10;g;mpm;gpt-5-nano;0.0
114;0;medium;low;numeric;unspecified;collider;abs_alnum_10;g;mpm;gpt-5-nano;0.0
115;10;medium;low;numeric;unspecified;collider;abs_alnum_10;h;mpm;gpt-5-nano;0.0
116;20;medium;low;numeric;unspecified;collider;abs_alnum_10;h;mpm;gpt-5-nano;0.0
