id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;75;minimal;low;numeric;unspecified;collider;abs_alnum_10;a;ppp;gpt-5-nano;0.0
2;70;minimal;low;numeric;unspecified;collider;abs_alnum_10;a;ppp;gpt-5-nano;0.0
3;75;minimal;low;numeric;unspecified;collider;abs_alnum_10;b;ppp;gpt-5-nano;0.0
4;100;minimal;low;numeric;unspecified;collider;abs_alnum_10;b;ppp;gpt-5-nano;0.0
5;60;minimal;low;numeric;unspecified;collider;abs_alnum_10;c;ppp;gpt-5-nano;0.0
6;70;minimal;low;numeric;unspecified;collider;abs_alnum_10;c;ppp;gpt-5-nano;0.0
7;60;minimal;low;numeric;unspecified;collider;abs_alnum_10;d;ppp;gpt-5-nano;0.0
8;60;minimal;low;numeric;unspecified;collider;abs_alnum_10;d;ppp;gpt-5-nano;0.0
9;40;minimal;low;numeric;unspecified;collider;abs_alnum_10;e;ppp;gpt-5-nano;0.0
10;0;minimal;low;numeric;unspecified;collider;abs_alnum_10;e;ppp;gpt-5-nano;0.0
11;10;minimal;low;numeric;unspecified;collider;abs_alnum_10;f;ppp;gpt-5-nano;0.0
12;0;minimal;low;numeric;unspecified;collider;abs_alnum_10;f;ppp;gpt-5-nano;0.0
13;0;minimal;low;numeric;unspecified;collider;abs_alnum_10;g;ppp;gpt-5-nano;0.0
14;0;minimal;low;numeric;unspecified;collider;abs_alnum_10;g;ppp;gpt-5-nano;0.0
15;0;minimal;low;numeric;unspecified;collider;abs_alnum_10;h;ppp;gpt-5-nano;0.0
16;40;minimal;low;numeric;unspecified;collider;abs_alnum_10;h;ppp;gpt-5-nano;0.0
17;0;minimal;low;numeric;unspecified;collider;abs_alnum_10;i;ppp;gpt-5-nano;0.0
18;75;minimal;low;numeric;unspecified;collider;abs_alnum_10;j;ppp;gpt-5-nano;0.0
19;70;minimal;low;numeric;unspecified;collider;abs_alnum_10;j;ppp;gpt-5-nano;0.0
20;88;minimal;low;numeric;unspecified;collider;abs_alnum_10;k;ppp;gpt-5-nano;0.0
61;70;minimal;low;numeric;unspecified;collider;abs_alnum_10;a;pmm;gpt-5-nano;0.0
62;70;minimal;low;numeric;unspecified;collider;abs_alnum_10;a;pmm;gpt-5-nano;0.0
63;70;minimal;low;numeric;unspecified;collider;abs_alnum_10;b;pmm;gpt-5-nano;0.0
64;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;b;pmm;gpt-5-nano;0.0
65;30;minimal;low;numeric;unspecified;collider;abs_alnum_10;c;pmm;gpt-5-nano;0.0
66;60;minimal;low;numeric;unspecified;collider;abs_alnum_10;c;pmm;gpt-5-nano;0.0
67;40;minimal;low;numeric;unspecified;collider;abs_alnum_10;d;pmm;gpt-5-nano;0.0
68;70;minimal;low;numeric;unspecified;collider;abs_alnum_10;d;pmm;gpt-5-nano;0.0
69;40;minimal;low;numeric;unspecified;collider;abs_alnum_10;e;pmm;gpt-5-nano;0.0
70;60;minimal;low;numeric;unspecified;collider;abs_alnum_10;e;pmm;gpt-5-nano;0.0
71;85;minimal;low;numeric;unspecified;collider;abs_alnum_10;f;pmm;gpt-5-nano;0.0
72;35;minimal;low;numeric;unspecified;collider;abs_alnum_10;f;pmm;gpt-5-nano;0.0
