id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;50;medium;low;numeric;unspecified;collider;abs_alnum_10;a;ppp;gpt-5;0.0
2;50;medium;low;numeric;unspecified;collider;abs_alnum_10;a;ppp;gpt-5;0.0
3;67;medium;low;numeric;unspecified;collider;abs_alnum_10;b;ppp;gpt-5;0.0
4;67;medium;low;numeric;unspecified;collider;abs_alnum_10;b;ppp;gpt-5;0.0
5;100;medium;low;numeric;unspecified;collider;abs_alnum_10;c;ppp;gpt-5;0.0
6;100;medium;low;numeric;unspecified;collider;abs_alnum_10;c;ppp;gpt-5;0.0
7;50;medium;low;numeric;unspecified;collider;abs_alnum_10;d;ppp;gpt-5;0.0
8;50;medium;low;numeric;unspecified;collider;abs_alnum_10;d;ppp;gpt-5;0.0
9;50;medium;low;numeric;unspecified;collider;abs_alnum_10;e;ppp;gpt-5;0.0
10;50;medium;low;numeric;unspecified;collider;abs_alnum_10;e;ppp;gpt-5;0.0
11;0;medium;low;numeric;unspecified;collider;abs_alnum_10;f;ppp;gpt-5;0.0
12;0;medium;low;numeric;unspecified;collider;abs_alnum_10;f;ppp;gpt-5;0.0
13;0;medium;low;numeric;unspecified;collider;abs_alnum_10;g;ppp;gpt-5;0.0
14;0;medium;low;numeric;unspecified;collider;abs_alnum_10;g;ppp;gpt-5;0.0
15;0;medium;low;numeric;unspecified;collider;abs_alnum_10;h;ppp;gpt-5;0.0
16;0;medium;low;numeric;unspecified;collider;abs_alnum_10;h;ppp;gpt-5;0.0
17;0;medium;low;numeric;unspecified;collider;abs_alnum_10;i;ppp;gpt-5;0.0
18;80;medium;low;numeric;unspecified;collider;abs_alnum_10;j;ppp;gpt-5;0.0
19;100;medium;low;numeric;unspecified;collider;abs_alnum_10;j;ppp;gpt-5;0.0
20;100;medium;low;numeric;unspecified;collider;abs_alnum_10;k;ppp;gpt-5;0.0
61;25;medium;low;numeric;unspecified;collider;abs_alnum_10;a;pmm;gpt-5;0.0
62;50;medium;low;numeric;unspecified;collider;abs_alnum_10;a;pmm;gpt-5;0.0
63;50;medium;low;numeric;unspecified;collider;abs_alnum_10;b;pmm;gpt-5;0.0
64;67;medium;low;numeric;unspecified;collider;abs_alnum_10;b;pmm;gpt-5;0.0
65;100;medium;low;numeric;unspecified;collider;abs_alnum_10;c;pmm;gpt-5;0.0
66;100;medium;low;numeric;unspecified;collider;abs_alnum_10;c;pmm;gpt-5;0.0
67;50;medium;low;numeric;unspecified;collider;abs_alnum_10;d;pmm;gpt-5;0.0
68;50;medium;low;numeric;unspecified;collider;abs_alnum_10;d;pmm;gpt-5;0.0
69;50;medium;low;numeric;unspecified;collider;abs_alnum_10;e;pmm;gpt-5;0.0
70;50;medium;low;numeric;unspecified;collider;abs_alnum_10;e;pmm;gpt-5;0.0
71;0;medium;low;numeric;unspecified;collider;abs_alnum_10;f;pmm;gpt-5;0.0
