id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;a;ppp;gpt-5;0.0
2;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;a;ppp;gpt-5;0.0
3;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;b;ppp;gpt-5;0.0
4;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;b;ppp;gpt-5;0.0
5;100;minimal;low;numeric;unspecified;collider;abs_alnum_10;c;ppp;gpt-5;0.0
6;100;minimal;low;numeric;unspecified;collider;abs_alnum_10;c;ppp;gpt-5;0.0
7;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;d;ppp;gpt-5;0.0
8;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;d;ppp;gpt-5;0.0
9;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;e;ppp;gpt-5;0.0
10;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;e;ppp;gpt-5;0.0
11;0;minimal;low;numeric;unspecified;collider;abs_alnum_10;f;ppp;gpt-5;0.0
12;0;minimal;low;numeric;unspecified;collider;abs_alnum_10;f;ppp;gpt-5;0.0
13;0;minimal;low;numeric;unspecified;collider;abs_alnum_10;g;ppp;gpt-5;0.0
14;0;minimal;low;numeric;unspecified;collider;abs_alnum_10;g;ppp;gpt-5;0.0
15;0;minimal;low;numeric;unspecified;collider;abs_alnum_10;h;ppp;gpt-5;0.0
16;0;minimal;low;numeric;unspecified;collider;abs_alnum_10;h;ppp;gpt-5;0.0
17;0;minimal;low;numeric;unspecified;collider;abs_alnum_10;i;ppp;gpt-5;0.0
18;100;minimal;low;numeric;unspecified;collider;abs_alnum_10;j;ppp;gpt-5;0.0
19;100;minimal;low;numeric;unspecified;collider;abs_alnum_10;j;ppp;gpt-5;0.0
20;100;minimal;low;numeric;unspecified;collider;abs_alnum_10;k;ppp;gpt-5;0.0
61;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;a;pmm;gpt-5;0.0
62;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;a;pmm;gpt-5;0.0
63;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;b;pmm;gpt-5;0.0
64;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;b;pmm;gpt-5;0.0
65;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;c;pmm;gpt-5;0.0
66;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;c;pmm;gpt-5;0.0
67;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;d;pmm;gpt-5;0.0
68;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;d;pmm;gpt-5;0.0
69;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;e;pmm;gpt-5;0.0
70;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;e;pmm;gpt-5;0.0
71;0;minimal;low;numeric;unspecified;collider;abs_alnum_10;f;pmm;gpt-5;0.0
72;0;minimal;low;numeric;unspecified;collider;abs_alnum_10;f;pmm;gpt-5;0.0
73;0;minimal;low;numeric;unspecified;collider;abs_alnum_10;g;pmm;gpt-5;0.0
74;0;minimal;low;numeric;unspecified;collider;abs_alnum_10;g;pmm;gpt-5;0.0
75;0;minimal;low;numeric;unspecified;collider;abs_alnum_10;h;pmm;gpt-5;0.0
76;0;minimal;low;numeric;unspecified;collider;abs_alnum_10;h;pmm;gpt-5;0.0
77;0;minimal;low;numeric;unspecified;collider;abs_alnum_10;i;pmm;gpt-5;0.0
78;100;minimal;low;numeric;unspecified;collider;abs_alnum_10;j;pmm;gpt-5;0.0
79;75;minimal;low;numeric;unspecified;collider;abs_alnum_10;j;pmm;gpt-5;0.0
80;100;minimal;low;numeric;unspecified;collider;abs_alnum_10;k;pmm;gpt-5;0.0
101;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;a;mpm;gpt-5;0.0
102;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;a;mpm;gpt-5;0.0
103;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;b;mpm;gpt-5;0.0
104;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;b;mpm;gpt-5;0.0
105;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;c;mpm;gpt-5;0.0
106;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;c;mpm;gpt-5;0.0
107;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;d;mpm;gpt-5;0.0
108;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;d;mpm;gpt-5;0.0
109;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;e;mpm;gpt-5;0.0
110;50;minimal;low;numeric;unspecified;collider;abs_alnum_10;e;mpm;gpt-5;0.0
111;0;minimal;low;numeric;unspecified;collider;abs_alnum_10;f;mpm;gpt-5;0.0
112;0;minimal;low;numeric;unspecified;collider;abs_alnum_10;f;mpm;gpt-5;0.0
113;0;minimal;low;numeric;unspecified;collider;abs_alnum_10;g;mpm;gpt-5;0.0
114;0;minimal;low;numeric;unspecified;collider;abs_alnum_10;g;mpm;gpt-5;0.0
