id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;ppp;o1;0.0
2;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;ppp;o1;0.0
3;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;ppp;o1;0.0
4;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;ppp;o1;0.0
5;90;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;c;ppp;o1;0.0
6;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;c;ppp;o1;0.0
7;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;d;ppp;o1;0.0
8;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;d;ppp;o1;0.0
9;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;e;ppp;o1;0.0
10;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;e;ppp;o1;0.0
11;10;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;f;ppp;o1;0.0
12;10;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;f;ppp;o1;0.0
13;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;g;ppp;o1;0.0
14;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;g;ppp;o1;0.0
15;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;h;ppp;o1;0.0
16;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;h;ppp;o1;0.0
17;10;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;i;ppp;o1;0.0
18;80;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;j;ppp;o1;0.0
19;90;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;j;ppp;o1;0.0
20;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;k;ppp;o1;0.0
61;20;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;pmm;o1;0.0
62;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;pmm;o1;0.0
63;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;pmm;o1;0.0
64;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;pmm;o1;0.0
65;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;c;pmm;o1;0.0
