id;response;prompt_category;graph;domain;task;cntbl_cond;subject;temperature
1;80;single_numeric_response;collider;economy;a;ppp;claude-3-5-haiku-20241022;0.0
2;80;single_numeric_response;collider;economy;a;ppp;claude-3-5-haiku-20241022;0.0
3;80;single_numeric_response;collider;economy;b;ppp;claude-3-5-haiku-20241022;0.0
4;80;single_numeric_response;collider;economy;b;ppp;claude-3-5-haiku-20241022;0.0
5;80;single_numeric_response;collider;economy;c;ppp;claude-3-5-haiku-20241022;0.0
6;80;single_numeric_response;collider;economy;c;ppp;claude-3-5-haiku-20241022;0.0
7;70;single_numeric_response;collider;economy;d;ppp;claude-3-5-haiku-20241022;0.0
8;70;single_numeric_response;collider;economy;d;ppp;claude-3-5-haiku-20241022;0.0
9;50;single_numeric_response;collider;economy;e;ppp;claude-3-5-haiku-20241022;0.0
10;50;single_numeric_response;collider;economy;e;ppp;claude-3-5-haiku-20241022;0.0
11;50;single_numeric_response;collider;economy;f;ppp;claude-3-5-haiku-20241022;0.0
12;70;single_numeric_response;collider;economy;f;ppp;claude-3-5-haiku-20241022;0.0
13;50;single_numeric_response;collider;economy;g;ppp;claude-3-5-haiku-20241022;0.0
14;70;single_numeric_response;collider;economy;g;ppp;claude-3-5-haiku-20241022;0.0
15;50;single_numeric_response;collider;economy;h;ppp;claude-3-5-haiku-20241022;0.0
16;50;single_numeric_response;collider;economy;h;ppp;claude-3-5-haiku-20241022;0.0
17;50;single_numeric_response;collider;economy;i;ppp;claude-3-5-haiku-20241022;0.0
18;70;single_numeric_response;collider;economy;j;ppp;claude-3-5-haiku-20241022;0.0
19;80;single_numeric_response;collider;economy;j;ppp;claude-3-5-haiku-20241022;0.0
20;90;single_numeric_response;collider;economy;k;ppp;claude-3-5-haiku-20241022;0.0
61;80;single_numeric_response;collider;economy;a;pmm;claude-3-5-haiku-20241022;0.0
62;80;single_numeric_response;collider;economy;a;pmm;claude-3-5-haiku-20241022;0.0
63;70;single_numeric_response;collider;economy;b;pmm;claude-3-5-haiku-20241022;0.0
64;80;single_numeric_response;collider;economy;b;pmm;claude-3-5-haiku-20241022;0.0
65;80;single_numeric_response;collider;economy;c;pmm;claude-3-5-haiku-20241022;0.0
66;80;single_numeric_response;collider;economy;c;pmm;claude-3-5-haiku-20241022;0.0
