id;response;prompt_category;graph;domain;task;cntbl_cond;subject;temperature
1;50;single_numeric_response;collider;economy;a;ppp;claude-3-7-sonnet-20250219;0.0
2;50;single_numeric_response;collider;economy;a;ppp;claude-3-7-sonnet-20250219;0.0
3;50;single_numeric_response;collider;economy;b;ppp;claude-3-7-sonnet-20250219;0.0
4;50;single_numeric_response;collider;economy;b;ppp;claude-3-7-sonnet-20250219;0.0
5;100;single_numeric_response;collider;economy;c;ppp;claude-3-7-sonnet-20250219;0.0
6;100;single_numeric_response;collider;economy;c;ppp;claude-3-7-sonnet-20250219;0.0
7;50;single_numeric_response;collider;economy;d;ppp;claude-3-7-sonnet-20250219;0.0
8;50;single_numeric_response;collider;economy;d;ppp;claude-3-7-sonnet-20250219;0.0
9;50;single_numeric_response;collider;economy;e;ppp;claude-3-7-sonnet-20250219;0.0
10;50;single_numeric_response;collider;economy;e;ppp;claude-3-7-sonnet-20250219;0.0
11;0;single_numeric_response;collider;economy;f;ppp;claude-3-7-sonnet-20250219;0.0
12;0;single_numeric_response;collider;economy;f;ppp;claude-3-7-sonnet-20250219;0.0
13;0;single_numeric_response;collider;economy;g;ppp;claude-3-7-sonnet-20250219;0.0
14;50;single_numeric_response;collider;economy;g;ppp;claude-3-7-sonnet-20250219;0.0
15;0;single_numeric_response;collider;economy;h;ppp;claude-3-7-sonnet-20250219;0.0
16;0;single_numeric_response;collider;economy;h;ppp;claude-3-7-sonnet-20250219;0.0
17;0;single_numeric_response;collider;economy;i;ppp;claude-3-7-sonnet-20250219;0.0
18;50;single_numeric_response;collider;economy;j;ppp;claude-3-7-sonnet-20250219;0.0
19;50;single_numeric_response;collider;economy;j;ppp;claude-3-7-sonnet-20250219;0.0
20;100;single_numeric_response;collider;economy;k;ppp;claude-3-7-sonnet-20250219;0.0
61;50;single_numeric_response;collider;economy;a;pmm;claude-3-7-sonnet-20250219;0.0
62;50;single_numeric_response;collider;economy;a;pmm;claude-3-7-sonnet-20250219;0.0
63;50;single_numeric_response;collider;economy;b;pmm;claude-3-7-sonnet-20250219;0.0
64;50;single_numeric_response;collider;economy;b;pmm;claude-3-7-sonnet-20250219;0.0
65;100;single_numeric_response;collider;economy;c;pmm;claude-3-7-sonnet-20250219;0.0
66;100;single_numeric_response;collider;economy;c;pmm;claude-3-7-sonnet-20250219;0.0
67;50;single_numeric_response;collider;economy;d;pmm;claude-3-7-sonnet-20250219;0.0
68;50;single_numeric_response;collider;economy;d;pmm;claude-3-7-sonnet-20250219;0.0
69;50;single_numeric_response;collider;economy;e;pmm;claude-3-7-sonnet-20250219;0.0
70;50;single_numeric_response;collider;economy;e;pmm;claude-3-7-sonnet-20250219;0.0
71;0;single_numeric_response;collider;economy;f;pmm;claude-3-7-sonnet-20250219;0.0
72;0;single_numeric_response;collider;economy;f;pmm;claude-3-7-sonnet-20250219;0.0
73;0;single_numeric_response;collider;economy;g;pmm;claude-3-7-sonnet-20250219;0.0
74;0;single_numeric_response;collider;economy;g;pmm;claude-3-7-sonnet-20250219;0.0
75;0;single_numeric_response;collider;economy;h;pmm;claude-3-7-sonnet-20250219;0.0
76;0;single_numeric_response;collider;economy;h;pmm;claude-3-7-sonnet-20250219;0.0
77;0;single_numeric_response;collider;economy;i;pmm;claude-3-7-sonnet-20250219;0.0
78;100;single_numeric_response;collider;economy;j;pmm;claude-3-7-sonnet-20250219;0.0
79;50;single_numeric_response;collider;economy;j;pmm;claude-3-7-sonnet-20250219;0.0
80;100;single_numeric_response;collider;economy;k;pmm;claude-3-7-sonnet-20250219;0.0
101;50;single_numeric_response;collider;economy;a;mpm;claude-3-7-sonnet-20250219;0.0
102;50;single_numeric_response;collider;economy;a;mpm;claude-3-7-sonnet-20250219;0.0
103;50;single_numeric_response;collider;economy;b;mpm;claude-3-7-sonnet-20250219;0.0
104;50;single_numeric_response;collider;economy;b;mpm;claude-3-7-sonnet-20250219;0.0
105;100;single_numeric_response;collider;economy;c;mpm;claude-3-7-sonnet-20250219;0.0
106;100;single_numeric_response;collider;economy;c;mpm;claude-3-7-sonnet-20250219;0.0
107;50;single_numeric_response;collider;economy;d;mpm;claude-3-7-sonnet-20250219;0.0
108;50;single_numeric_response;collider;economy;d;mpm;claude-3-7-sonnet-20250219;0.0
109;50;single_numeric_response;collider;economy;e;mpm;claude-3-7-sonnet-20250219;0.0
110;50;single_numeric_response;collider;economy;e;mpm;claude-3-7-sonnet-20250219;0.0
111;0;single_numeric_response;collider;economy;f;mpm;claude-3-7-sonnet-20250219;0.0
112;0;single_numeric_response;collider;economy;f;mpm;claude-3-7-sonnet-20250219;0.0
113;0;single_numeric_response;collider;economy;g;mpm;claude-3-7-sonnet-20250219;0.0
114;0;single_numeric_response;collider;economy;g;mpm;claude-3-7-sonnet-20250219;0.0
115;0;single_numeric_response;collider;economy;h;mpm;claude-3-7-sonnet-20250219;0.0
116;0;single_numeric_response;collider;economy;h;mpm;claude-3-7-sonnet-20250219;0.0
117;0;single_numeric_response;collider;economy;i;mpm;claude-3-7-sonnet-20250219;0.0
118;50;single_numeric_response;collider;economy;j;mpm;claude-3-7-sonnet-20250219;0.0
119;100;single_numeric_response;collider;economy;j;mpm;claude-3-7-sonnet-20250219;0.0
120;100;single_numeric_response;collider;economy;k;mpm;claude-3-7-sonnet-20250219;0.0
121;50;single_numeric_response;collider;economy;a;mmp;claude-3-7-sonnet-20250219;0.0
122;50;single_numeric_response;collider;economy;a;mmp;claude-3-7-sonnet-20250219;0.0
123;50;single_numeric_response;collider;economy;b;mmp;claude-3-7-sonnet-20250219;0.0
124;50;single_numeric_response;collider;economy;b;mmp;claude-3-7-sonnet-20250219;0.0
125;100;single_numeric_response;collider;economy;c;mmp;claude-3-7-sonnet-20250219;0.0
126;100;single_numeric_response;collider;economy;c;mmp;claude-3-7-sonnet-20250219;0.0
127;50;single_numeric_response;collider;economy;d;mmp;claude-3-7-sonnet-20250219;0.0
128;50;single_numeric_response;collider;economy;d;mmp;claude-3-7-sonnet-20250219;0.0
129;50;single_numeric_response;collider;economy;e;mmp;claude-3-7-sonnet-20250219;0.0
130;50;single_numeric_response;collider;economy;e;mmp;claude-3-7-sonnet-20250219;0.0
131;0;single_numeric_response;collider;economy;f;mmp;claude-3-7-sonnet-20250219;0.0
132;0;single_numeric_response;collider;economy;f;mmp;claude-3-7-sonnet-20250219;0.0
133;0;single_numeric_response;collider;economy;g;mmp;claude-3-7-sonnet-20250219;0.0
134;0;single_numeric_response;collider;economy;g;mmp;claude-3-7-sonnet-20250219;0.0
135;0;single_numeric_response;collider;economy;h;mmp;claude-3-7-sonnet-20250219;0.0
136;0;single_numeric_response;collider;economy;h;mmp;claude-3-7-sonnet-20250219;0.0
137;0;single_numeric_response;collider;economy;i;mmp;claude-3-7-sonnet-20250219;0.0
138;100;single_numeric_response;collider;economy;j;mmp;claude-3-7-sonnet-20250219;0.0
139;75;single_numeric_response;collider;economy;j;mmp;claude-3-7-sonnet-20250219;0.0
140;100;single_numeric_response;collider;economy;k;mmp;claude-3-7-sonnet-20250219;0.0
161;50;single_numeric_response;collider;sociology;a;ppp;claude-3-7-sonnet-20250219;0.0
162;50;single_numeric_response;collider;sociology;a;ppp;claude-3-7-sonnet-20250219;0.0
163;50;single_numeric_response;collider;sociology;b;ppp;claude-3-7-sonnet-20250219;0.0
164;50;single_numeric_response;collider;sociology;b;ppp;claude-3-7-sonnet-20250219;0.0
165;100;single_numeric_response;collider;sociology;c;ppp;claude-3-7-sonnet-20250219;0.0
166;100;single_numeric_response;collider;sociology;c;ppp;claude-3-7-sonnet-20250219;0.0
167;50;single_numeric_response;collider;sociology;d;ppp;claude-3-7-sonnet-20250219;0.0
168;50;single_numeric_response;collider;sociology;d;ppp;claude-3-7-sonnet-20250219;0.0
169;50;single_numeric_response;collider;sociology;e;ppp;claude-3-7-sonnet-20250219;0.0
170;50;single_numeric_response;collider;sociology;e;ppp;claude-3-7-sonnet-20250219;0.0
171;0;single_numeric_response;collider;sociology;f;ppp;claude-3-7-sonnet-20250219;0.0
172;0;single_numeric_response;collider;sociology;f;ppp;claude-3-7-sonnet-20250219;0.0
173;50;single_numeric_response;collider;sociology;g;ppp;claude-3-7-sonnet-20250219;0.0
174;50;single_numeric_response;collider;sociology;g;ppp;claude-3-7-sonnet-20250219;0.0
175;0;single_numeric_response;collider;sociology;h;ppp;claude-3-7-sonnet-20250219;0.0
176;50;single_numeric_response;collider;sociology;h;ppp;claude-3-7-sonnet-20250219;0.0
177;0;single_numeric_response;collider;sociology;i;ppp;claude-3-7-sonnet-20250219;0.0
178;100;single_numeric_response;collider;sociology;j;ppp;claude-3-7-sonnet-20250219;0.0
179;100;single_numeric_response;collider;sociology;j;ppp;claude-3-7-sonnet-20250219;0.0
180;100;single_numeric_response;collider;sociology;k;ppp;claude-3-7-sonnet-20250219;0.0
221;50;single_numeric_response;collider;sociology;a;pmm;claude-3-7-sonnet-20250219;0.0
222;50;single_numeric_response;collider;sociology;a;pmm;claude-3-7-sonnet-20250219;0.0
223;50;single_numeric_response;collider;sociology;b;pmm;claude-3-7-sonnet-20250219;0.0
224;50;single_numeric_response;collider;sociology;b;pmm;claude-3-7-sonnet-20250219;0.0
225;100;single_numeric_response;collider;sociology;c;pmm;claude-3-7-sonnet-20250219;0.0
226;100;single_numeric_response;collider;sociology;c;pmm;claude-3-7-sonnet-20250219;0.0
227;50;single_numeric_response;collider;sociology;d;pmm;claude-3-7-sonnet-20250219;0.0
228;50;single_numeric_response;collider;sociology;d;pmm;claude-3-7-sonnet-20250219;0.0
229;50;single_numeric_response;collider;sociology;e;pmm;claude-3-7-sonnet-20250219;0.0
230;50;single_numeric_response;collider;sociology;e;pmm;claude-3-7-sonnet-20250219;0.0
231;0;single_numeric_response;collider;sociology;f;pmm;claude-3-7-sonnet-20250219;0.0
232;0;single_numeric_response;collider;sociology;f;pmm;claude-3-7-sonnet-20250219;0.0
233;0;single_numeric_response;collider;sociology;g;pmm;claude-3-7-sonnet-20250219;0.0
234;0;single_numeric_response;collider;sociology;g;pmm;claude-3-7-sonnet-20250219;0.0
235;0;single_numeric_response;collider;sociology;h;pmm;claude-3-7-sonnet-20250219;0.0
236;0;single_numeric_response;collider;sociology;h;pmm;claude-3-7-sonnet-20250219;0.0
237;0;single_numeric_response;collider;sociology;i;pmm;claude-3-7-sonnet-20250219;0.0
238;100;single_numeric_response;collider;sociology;j;pmm;claude-3-7-sonnet-20250219;0.0
239;75;single_numeric_response;collider;sociology;j;pmm;claude-3-7-sonnet-20250219;0.0
240;100;single_numeric_response;collider;sociology;k;pmm;claude-3-7-sonnet-20250219;0.0
261;50;single_numeric_response;collider;sociology;a;mpm;claude-3-7-sonnet-20250219;0.0
262;50;single_numeric_response;collider;sociology;a;mpm;claude-3-7-sonnet-20250219;0.0
263;50;single_numeric_response;collider;sociology;b;mpm;claude-3-7-sonnet-20250219;0.0
264;50;single_numeric_response;collider;sociology;b;mpm;claude-3-7-sonnet-20250219;0.0
265;100;single_numeric_response;collider;sociology;c;mpm;claude-3-7-sonnet-20250219;0.0
266;100;single_numeric_response;collider;sociology;c;mpm;claude-3-7-sonnet-20250219;0.0
267;50;single_numeric_response;collider;sociology;d;mpm;claude-3-7-sonnet-20250219;0.0
268;50;single_numeric_response;collider;sociology;d;mpm;claude-3-7-sonnet-20250219;0.0
269;50;single_numeric_response;collider;sociology;e;mpm;claude-3-7-sonnet-20250219;0.0
270;50;single_numeric_response;collider;sociology;e;mpm;claude-3-7-sonnet-20250219;0.0
271;0;single_numeric_response;collider;sociology;f;mpm;claude-3-7-sonnet-20250219;0.0
272;0;single_numeric_response;collider;sociology;f;mpm;claude-3-7-sonnet-20250219;0.0
273;0;single_numeric_response;collider;sociology;g;mpm;claude-3-7-sonnet-20250219;0.0
274;0;single_numeric_response;collider;sociology;g;mpm;claude-3-7-sonnet-20250219;0.0
275;0;single_numeric_response;collider;sociology;h;mpm;claude-3-7-sonnet-20250219;0.0
276;0;single_numeric_response;collider;sociology;h;mpm;claude-3-7-sonnet-20250219;0.0
277;0;single_numeric_response;collider;sociology;i;mpm;claude-3-7-sonnet-20250219;0.0
278;100;single_numeric_response;collider;sociology;j;mpm;claude-3-7-sonnet-20250219;0.0
279;50;single_numeric_response;collider;sociology;j;mpm;claude-3-7-sonnet-20250219;0.0
280;100;single_numeric_response;collider;sociology;k;mpm;claude-3-7-sonnet-20250219;0.0
281;50;single_numeric_response;collider;sociology;a;mmp;claude-3-7-sonnet-20250219;0.0
282;50;single_numeric_response;collider;sociology;a;mmp;claude-3-7-sonnet-20250219;0.0
283;50;single_numeric_response;collider;sociology;b;mmp;claude-3-7-sonnet-20250219;0.0
284;50;single_numeric_response;collider;sociology;b;mmp;claude-3-7-sonnet-20250219;0.0
285;100;single_numeric_response;collider;sociology;c;mmp;claude-3-7-sonnet-20250219;0.0
286;100;single_numeric_response;collider;sociology;c;mmp;claude-3-7-sonnet-20250219;0.0
287;50;single_numeric_response;collider;sociology;d;mmp;claude-3-7-sonnet-20250219;0.0
288;50;single_numeric_response;collider;sociology;d;mmp;claude-3-7-sonnet-20250219;0.0
289;50;single_numeric_response;collider;sociology;e;mmp;claude-3-7-sonnet-20250219;0.0
290;50;single_numeric_response;collider;sociology;e;mmp;claude-3-7-sonnet-20250219;0.0
291;0;single_numeric_response;collider;sociology;f;mmp;claude-3-7-sonnet-20250219;0.0
292;0;single_numeric_response;collider;sociology;f;mmp;claude-3-7-sonnet-20250219;0.0
293;0;single_numeric_response;collider;sociology;g;mmp;claude-3-7-sonnet-20250219;0.0
294;50;single_numeric_response;collider;sociology;g;mmp;claude-3-7-sonnet-20250219;0.0
295;0;single_numeric_response;collider;sociology;h;mmp;claude-3-7-sonnet-20250219;0.0
296;50;single_numeric_response;collider;sociology;h;mmp;claude-3-7-sonnet-20250219;0.0
297;0;single_numeric_response;collider;sociology;i;mmp;claude-3-7-sonnet-20250219;0.0
298;100;single_numeric_response;collider;sociology;j;mmp;claude-3-7-sonnet-20250219;0.0
299;100;single_numeric_response;collider;sociology;j;mmp;claude-3-7-sonnet-20250219;0.0
300;100;single_numeric_response;collider;sociology;k;mmp;claude-3-7-sonnet-20250219;0.0
321;50;single_numeric_response;collider;weather;a;ppp;claude-3-7-sonnet-20250219;0.0
322;50;single_numeric_response;collider;weather;a;ppp;claude-3-7-sonnet-20250219;0.0
323;50;single_numeric_response;collider;weather;b;ppp;claude-3-7-sonnet-20250219;0.0
324;50;single_numeric_response;collider;weather;b;ppp;claude-3-7-sonnet-20250219;0.0
325;100;single_numeric_response;collider;weather;c;ppp;claude-3-7-sonnet-20250219;0.0
326;100;single_numeric_response;collider;weather;c;ppp;claude-3-7-sonnet-20250219;0.0
327;50;single_numeric_response;collider;weather;d;ppp;claude-3-7-sonnet-20250219;0.0
328;50;single_numeric_response;collider;weather;d;ppp;claude-3-7-sonnet-20250219;0.0
329;50;single_numeric_response;collider;weather;e;ppp;claude-3-7-sonnet-20250219;0.0
330;50;single_numeric_response;collider;weather;e;ppp;claude-3-7-sonnet-20250219;0.0
331;0;single_numeric_response;collider;weather;f;ppp;claude-3-7-sonnet-20250219;0.0
332;0;single_numeric_response;collider;weather;f;ppp;claude-3-7-sonnet-20250219;0.0
333;0;single_numeric_response;collider;weather;g;ppp;claude-3-7-sonnet-20250219;0.0
334;0;single_numeric_response;collider;weather;g;ppp;claude-3-7-sonnet-20250219;0.0
335;0;single_numeric_response;collider;weather;h;ppp;claude-3-7-sonnet-20250219;0.0
336;0;single_numeric_response;collider;weather;h;ppp;claude-3-7-sonnet-20250219;0.0
337;0;single_numeric_response;collider;weather;i;ppp;claude-3-7-sonnet-20250219;0.0
338;100;single_numeric_response;collider;weather;j;ppp;claude-3-7-sonnet-20250219;0.0
339;100;single_numeric_response;collider;weather;j;ppp;claude-3-7-sonnet-20250219;0.0
340;100;single_numeric_response;collider;weather;k;ppp;claude-3-7-sonnet-20250219;0.0
381;50;single_numeric_response;collider;weather;a;pmm;claude-3-7-sonnet-20250219;0.0
382;50;single_numeric_response;collider;weather;a;pmm;claude-3-7-sonnet-20250219;0.0
383;50;single_numeric_response;collider;weather;b;pmm;claude-3-7-sonnet-20250219;0.0
384;50;single_numeric_response;collider;weather;b;pmm;claude-3-7-sonnet-20250219;0.0
385;100;single_numeric_response;collider;weather;c;pmm;claude-3-7-sonnet-20250219;0.0
386;100;single_numeric_response;collider;weather;c;pmm;claude-3-7-sonnet-20250219;0.0
387;50;single_numeric_response;collider;weather;d;pmm;claude-3-7-sonnet-20250219;0.0
