id;response;prompt_category;graph;domain;task;cntbl_cond;subject;temperature
1;80;single_numeric_response;collider;economy;a;ppp;claude-3-haiku-20240307;0.0
2;80;single_numeric_response;collider;economy;a;ppp;claude-3-haiku-20240307;0.0
3;80;single_numeric_response;collider;economy;b;ppp;claude-3-haiku-20240307;0.0
4;80;single_numeric_response;collider;economy;b;ppp;claude-3-haiku-20240307;0.0
5;75;single_numeric_response;collider;economy;c;ppp;claude-3-haiku-20240307;0.0
6;75;single_numeric_response;collider;economy;c;ppp;claude-3-haiku-20240307;0.0
7;80;single_numeric_response;collider;economy;d;ppp;claude-3-haiku-20240307;0.0
8;80;single_numeric_response;collider;economy;d;ppp;claude-3-haiku-20240307;0.0
9;50;single_numeric_response;collider;economy;e;ppp;claude-3-haiku-20240307;0.0
10;50;single_numeric_response;collider;economy;e;ppp;claude-3-haiku-20240307;0.0
11;75;single_numeric_response;collider;economy;f;ppp;claude-3-haiku-20240307;0.0
12;75;single_numeric_response;collider;economy;f;ppp;claude-3-haiku-20240307;0.0
13;50;single_numeric_response;collider;economy;g;ppp;claude-3-haiku-20240307;0.0
14;50;single_numeric_response;collider;economy;g;ppp;claude-3-haiku-20240307;0.0
15;75;single_numeric_response;collider;economy;h;ppp;claude-3-haiku-20240307;0.0
16;50;single_numeric_response;collider;economy;h;ppp;claude-3-haiku-20240307;0.0
17;50;single_numeric_response;collider;economy;i;ppp;claude-3-haiku-20240307;0.0
18;75;single_numeric_response;collider;economy;j;ppp;claude-3-haiku-20240307;0.0
19;80;single_numeric_response;collider;economy;j;ppp;claude-3-haiku-20240307;0.0
20;90;single_numeric_response;collider;economy;k;ppp;claude-3-haiku-20240307;0.0
61;80;single_numeric_response;collider;economy;a;pmm;claude-3-haiku-20240307;0.0
62;80;single_numeric_response;collider;economy;a;pmm;claude-3-haiku-20240307;0.0
63;75;single_numeric_response;collider;economy;b;pmm;claude-3-haiku-20240307;0.0
64;75;single_numeric_response;collider;economy;b;pmm;claude-3-haiku-20240307;0.0
65;75;single_numeric_response;collider;economy;c;pmm;claude-3-haiku-20240307;0.0
66;75;single_numeric_response;collider;economy;c;pmm;claude-3-haiku-20240307;0.0
67;60;single_numeric_response;collider;economy;d;pmm;claude-3-haiku-20240307;0.0
68;70;single_numeric_response;collider;economy;d;pmm;claude-3-haiku-20240307;0.0
69;50;single_numeric_response;collider;economy;e;pmm;claude-3-haiku-20240307;0.0
70;50;single_numeric_response;collider;economy;e;pmm;claude-3-haiku-20240307;0.0
71;75;single_numeric_response;collider;economy;f;pmm;claude-3-haiku-20240307;0.0
72;75;single_numeric_response;collider;economy;f;pmm;claude-3-haiku-20240307;0.0
73;50;single_numeric_response;collider;economy;g;pmm;claude-3-haiku-20240307;0.0
74;50;single_numeric_response;collider;economy;g;pmm;claude-3-haiku-20240307;0.0
75;50;single_numeric_response;collider;economy;h;pmm;claude-3-haiku-20240307;0.0
76;50;single_numeric_response;collider;economy;h;pmm;claude-3-haiku-20240307;0.0
77;50;single_numeric_response;collider;economy;i;pmm;claude-3-haiku-20240307;0.0
78;75;single_numeric_response;collider;economy;j;pmm;claude-3-haiku-20240307;0.0
79;80;single_numeric_response;collider;economy;j;pmm;claude-3-haiku-20240307;0.0
80;90;single_numeric_response;collider;economy;k;pmm;claude-3-haiku-20240307;0.0
101;75;single_numeric_response;collider;economy;a;mpm;claude-3-haiku-20240307;0.0
102;75;single_numeric_response;collider;economy;a;mpm;claude-3-haiku-20240307;0.0
103;75;single_numeric_response;collider;economy;b;mpm;claude-3-haiku-20240307;0.0
104;50;single_numeric_response;collider;economy;b;mpm;claude-3-haiku-20240307;0.0
105;75;single_numeric_response;collider;economy;c;mpm;claude-3-haiku-20240307;0.0
106;50;single_numeric_response;collider;economy;c;mpm;claude-3-haiku-20240307;0.0
107;50;single_numeric_response;collider;economy;d;mpm;claude-3-haiku-20240307;0.0
108;50;single_numeric_response;collider;economy;d;mpm;claude-3-haiku-20240307;0.0
109;50;single_numeric_response;collider;economy;e;mpm;claude-3-haiku-20240307;0.0
110;50;single_numeric_response;collider;economy;e;mpm;claude-3-haiku-20240307;0.0
111;50;single_numeric_response;collider;economy;f;mpm;claude-3-haiku-20240307;0.0
112;50;single_numeric_response;collider;economy;f;mpm;claude-3-haiku-20240307;0.0
113;50;single_numeric_response;collider;economy;g;mpm;claude-3-haiku-20240307;0.0
114;50;single_numeric_response;collider;economy;g;mpm;claude-3-haiku-20240307;0.0
115;50;single_numeric_response;collider;economy;h;mpm;claude-3-haiku-20240307;0.0
116;50;single_numeric_response;collider;economy;h;mpm;claude-3-haiku-20240307;0.0
117;50;single_numeric_response;collider;economy;i;mpm;claude-3-haiku-20240307;0.0
118;75;single_numeric_response;collider;economy;j;mpm;claude-3-haiku-20240307;0.0
119;80;single_numeric_response;collider;economy;j;mpm;claude-3-haiku-20240307;0.0
120;80;single_numeric_response;collider;economy;k;mpm;claude-3-haiku-20240307;0.0
121;80;single_numeric_response;collider;economy;a;mmp;claude-3-haiku-20240307;0.0
122;80;single_numeric_response;collider;economy;a;mmp;claude-3-haiku-20240307;0.0
123;80;single_numeric_response;collider;economy;b;mmp;claude-3-haiku-20240307;0.0
124;80;single_numeric_response;collider;economy;b;mmp;claude-3-haiku-20240307;0.0
125;75;single_numeric_response;collider;economy;c;mmp;claude-3-haiku-20240307;0.0
126;75;single_numeric_response;collider;economy;c;mmp;claude-3-haiku-20240307;0.0
127;75;single_numeric_response;collider;economy;d;mmp;claude-3-haiku-20240307;0.0
128;80;single_numeric_response;collider;economy;d;mmp;claude-3-haiku-20240307;0.0
129;50;single_numeric_response;collider;economy;e;mmp;claude-3-haiku-20240307;0.0
130;50;single_numeric_response;collider;economy;e;mmp;claude-3-haiku-20240307;0.0
131;75;single_numeric_response;collider;economy;f;mmp;claude-3-haiku-20240307;0.0
132;80;single_numeric_response;collider;economy;f;mmp;claude-3-haiku-20240307;0.0
133;50;single_numeric_response;collider;economy;g;mmp;claude-3-haiku-20240307;0.0
134;50;single_numeric_response;collider;economy;g;mmp;claude-3-haiku-20240307;0.0
135;50;single_numeric_response;collider;economy;h;mmp;claude-3-haiku-20240307;0.0
136;50;single_numeric_response;collider;economy;h;mmp;claude-3-haiku-20240307;0.0
137;50;single_numeric_response;collider;economy;i;mmp;claude-3-haiku-20240307;0.0
138;75;single_numeric_response;collider;economy;j;mmp;claude-3-haiku-20240307;0.0
139;80;single_numeric_response;collider;economy;j;mmp;claude-3-haiku-20240307;0.0
140;90;single_numeric_response;collider;economy;k;mmp;claude-3-haiku-20240307;0.0
161;80;single_numeric_response;collider;sociology;a;ppp;claude-3-haiku-20240307;0.0
