id;response;prompt_category;graph;domain;task;cntbl_cond;subject;temperature
1;80;single_numeric_response;collider;economy;a;ppp;claude-3-opus-20240229;0.0
2;70;single_numeric_response;collider;economy;a;ppp;claude-3-opus-20240229;0.0
3;75;single_numeric_response;collider;economy;b;ppp;claude-3-opus-20240229;0.0
4;70;single_numeric_response;collider;economy;b;ppp;claude-3-opus-20240229;0.0
5;50;single_numeric_response;collider;economy;c;ppp;claude-3-opus-20240229;0.0
6;60;single_numeric_response;collider;economy;c;ppp;claude-3-opus-20240229;0.0
7;60;single_numeric_response;collider;economy;d;ppp;claude-3-opus-20240229;0.0
8;60;single_numeric_response;collider;economy;d;ppp;claude-3-opus-20240229;0.0
9;50;single_numeric_response;collider;economy;e;ppp;claude-3-opus-20240229;0.0
10;50;single_numeric_response;collider;economy;e;ppp;claude-3-opus-20240229;0.0
11;80;single_numeric_response;collider;economy;f;ppp;claude-3-opus-20240229;0.0
12;60;single_numeric_response;collider;economy;f;ppp;claude-3-opus-20240229;0.0
13;50;single_numeric_response;collider;economy;g;ppp;claude-3-opus-20240229;0.0
14;50;single_numeric_response;collider;economy;g;ppp;claude-3-opus-20240229;0.0
15;50;single_numeric_response;collider;economy;h;ppp;claude-3-opus-20240229;0.0
16;50;single_numeric_response;collider;economy;h;ppp;claude-3-opus-20240229;0.0
17;50;single_numeric_response;collider;economy;i;ppp;claude-3-opus-20240229;0.0
18;50;single_numeric_response;collider;economy;j;ppp;claude-3-opus-20240229;0.0
19;80;single_numeric_response;collider;economy;j;ppp;claude-3-opus-20240229;0.0
20;90;single_numeric_response;collider;economy;k;ppp;claude-3-opus-20240229;0.0
61;70;single_numeric_response;collider;economy;a;pmm;claude-3-opus-20240229;0.0
62;65;single_numeric_response;collider;economy;a;pmm;claude-3-opus-20240229;0.0
63;70;single_numeric_response;collider;economy;b;pmm;claude-3-opus-20240229;0.0
64;50;single_numeric_response;collider;economy;b;pmm;claude-3-opus-20240229;0.0
65;80;single_numeric_response;collider;economy;c;pmm;claude-3-opus-20240229;0.0
66;80;single_numeric_response;collider;economy;c;pmm;claude-3-opus-20240229;0.0
67;50;single_numeric_response;collider;economy;d;pmm;claude-3-opus-20240229;0.0
68;50;single_numeric_response;collider;economy;d;pmm;claude-3-opus-20240229;0.0
69;50;single_numeric_response;collider;economy;e;pmm;claude-3-opus-20240229;0.0
70;50;single_numeric_response;collider;economy;e;pmm;claude-3-opus-20240229;0.0
71;20;single_numeric_response;collider;economy;f;pmm;claude-3-opus-20240229;0.0
72;20;single_numeric_response;collider;economy;f;pmm;claude-3-opus-20240229;0.0
73;20;single_numeric_response;collider;economy;g;pmm;claude-3-opus-20240229;0.0
74;50;single_numeric_response;collider;economy;g;pmm;claude-3-opus-20240229;0.0
75;50;single_numeric_response;collider;economy;h;pmm;claude-3-opus-20240229;0.0
76;50;single_numeric_response;collider;economy;h;pmm;claude-3-opus-20240229;0.0
77;50;single_numeric_response;collider;economy;i;pmm;claude-3-opus-20240229;0.0
78;70;single_numeric_response;collider;economy;j;pmm;claude-3-opus-20240229;0.0
79;80;single_numeric_response;collider;economy;j;pmm;claude-3-opus-20240229;0.0
80;90;single_numeric_response;collider;economy;k;pmm;claude-3-opus-20240229;0.0
101;80;single_numeric_response;collider;economy;a;mpm;claude-3-opus-20240229;0.0
102;20;single_numeric_response;collider;economy;a;mpm;claude-3-opus-20240229;0.0
103;70;single_numeric_response;collider;economy;b;mpm;claude-3-opus-20240229;0.0
104;50;single_numeric_response;collider;economy;b;mpm;claude-3-opus-20240229;0.0
105;90;single_numeric_response;collider;economy;c;mpm;claude-3-opus-20240229;0.0
106;80;single_numeric_response;collider;economy;c;mpm;claude-3-opus-20240229;0.0
107;50;single_numeric_response;collider;economy;d;mpm;claude-3-opus-20240229;0.0
108;50;single_numeric_response;collider;economy;d;mpm;claude-3-opus-20240229;0.0
109;50;single_numeric_response;collider;economy;e;mpm;claude-3-opus-20240229;0.0
110;50;single_numeric_response;collider;economy;e;mpm;claude-3-opus-20240229;0.0
111;20;single_numeric_response;collider;economy;f;mpm;claude-3-opus-20240229;0.0
112;20;single_numeric_response;collider;economy;f;mpm;claude-3-opus-20240229;0.0
113;20;single_numeric_response;collider;economy;g;mpm;claude-3-opus-20240229;0.0
114;20;single_numeric_response;collider;economy;g;mpm;claude-3-opus-20240229;0.0
115;50;single_numeric_response;collider;economy;h;mpm;claude-3-opus-20240229;0.0
116;50;single_numeric_response;collider;economy;h;mpm;claude-3-opus-20240229;0.0
117;50;single_numeric_response;collider;economy;i;mpm;claude-3-opus-20240229;0.0
118;70;single_numeric_response;collider;economy;j;mpm;claude-3-opus-20240229;0.0
119;90;single_numeric_response;collider;economy;j;mpm;claude-3-opus-20240229;0.0
120;90;single_numeric_response;collider;economy;k;mpm;claude-3-opus-20240229;0.0
121;50;single_numeric_response;collider;economy;a;mmp;claude-3-opus-20240229;0.0
122;50;single_numeric_response;collider;economy;a;mmp;claude-3-opus-20240229;0.0
123;50;single_numeric_response;collider;economy;b;mmp;claude-3-opus-20240229;0.0
124;50;single_numeric_response;collider;economy;b;mmp;claude-3-opus-20240229;0.0
125;80;single_numeric_response;collider;economy;c;mmp;claude-3-opus-20240229;0.0
126;80;single_numeric_response;collider;economy;c;mmp;claude-3-opus-20240229;0.0
127;50;single_numeric_response;collider;economy;d;mmp;claude-3-opus-20240229;0.0
128;50;single_numeric_response;collider;economy;d;mmp;claude-3-opus-20240229;0.0
129;50;single_numeric_response;collider;economy;e;mmp;claude-3-opus-20240229;0.0
130;50;single_numeric_response;collider;economy;e;mmp;claude-3-opus-20240229;0.0
131;50;single_numeric_response;collider;economy;f;mmp;claude-3-opus-20240229;0.0
132;20;single_numeric_response;collider;economy;f;mmp;claude-3-opus-20240229;0.0
133;50;single_numeric_response;collider;economy;g;mmp;claude-3-opus-20240229;0.0
134;50;single_numeric_response;collider;economy;g;mmp;claude-3-opus-20240229;0.0
135;50;single_numeric_response;collider;economy;h;mmp;claude-3-opus-20240229;0.0
136;50;single_numeric_response;collider;economy;h;mmp;claude-3-opus-20240229;0.0
137;50;single_numeric_response;collider;economy;i;mmp;claude-3-opus-20240229;0.0
138;75;single_numeric_response;collider;economy;j;mmp;claude-3-opus-20240229;0.0
139;90;single_numeric_response;collider;economy;j;mmp;claude-3-opus-20240229;0.0
140;90;single_numeric_response;collider;economy;k;mmp;claude-3-opus-20240229;0.0
161;80;single_numeric_response;collider;sociology;a;ppp;claude-3-opus-20240229;0.0
162;75;single_numeric_response;collider;sociology;a;ppp;claude-3-opus-20240229;0.0
163;75;single_numeric_response;collider;sociology;b;ppp;claude-3-opus-20240229;0.0
164;50;single_numeric_response;collider;sociology;b;ppp;claude-3-opus-20240229;0.0
165;80;single_numeric_response;collider;sociology;c;ppp;claude-3-opus-20240229;0.0
166;80;single_numeric_response;collider;sociology;c;ppp;claude-3-opus-20240229;0.0
167;50;single_numeric_response;collider;sociology;d;ppp;claude-3-opus-20240229;0.0
168;50;single_numeric_response;collider;sociology;d;ppp;claude-3-opus-20240229;0.0
169;50;single_numeric_response;collider;sociology;e;ppp;claude-3-opus-20240229;0.0
170;50;single_numeric_response;collider;sociology;e;ppp;claude-3-opus-20240229;0.0
171;50;single_numeric_response;collider;sociology;f;ppp;claude-3-opus-20240229;0.0
172;50;single_numeric_response;collider;sociology;f;ppp;claude-3-opus-20240229;0.0
173;50;single_numeric_response;collider;sociology;g;ppp;claude-3-opus-20240229;0.0
174;50;single_numeric_response;collider;sociology;g;ppp;claude-3-opus-20240229;0.0
175;50;single_numeric_response;collider;sociology;h;ppp;claude-3-opus-20240229;0.0
176;50;single_numeric_response;collider;sociology;h;ppp;claude-3-opus-20240229;0.0
177;50;single_numeric_response;collider;sociology;i;ppp;claude-3-opus-20240229;0.0
178;75;single_numeric_response;collider;sociology;j;ppp;claude-3-opus-20240229;0.0
179;75;single_numeric_response;collider;sociology;j;ppp;claude-3-opus-20240229;0.0
180;90;single_numeric_response;collider;sociology;k;ppp;claude-3-opus-20240229;0.0
221;50;single_numeric_response;collider;sociology;a;pmm;claude-3-opus-20240229;0.0
222;50;single_numeric_response;collider;sociology;a;pmm;claude-3-opus-20240229;0.0
223;50;single_numeric_response;collider;sociology;b;pmm;claude-3-opus-20240229;0.0
224;50;single_numeric_response;collider;sociology;b;pmm;claude-3-opus-20240229;0.0
225;75;single_numeric_response;collider;sociology;c;pmm;claude-3-opus-20240229;0.0
226;70;single_numeric_response;collider;sociology;c;pmm;claude-3-opus-20240229;0.0
227;50;single_numeric_response;collider;sociology;d;pmm;claude-3-opus-20240229;0.0
228;50;single_numeric_response;collider;sociology;d;pmm;claude-3-opus-20240229;0.0
229;50;single_numeric_response;collider;sociology;e;pmm;claude-3-opus-20240229;0.0
230;50;single_numeric_response;collider;sociology;e;pmm;claude-3-opus-20240229;0.0
231;30;single_numeric_response;collider;sociology;f;pmm;claude-3-opus-20240229;0.0
232;30;single_numeric_response;collider;sociology;f;pmm;claude-3-opus-20240229;0.0
233;30;single_numeric_response;collider;sociology;g;pmm;claude-3-opus-20240229;0.0
234;50;single_numeric_response;collider;sociology;g;pmm;claude-3-opus-20240229;0.0
235;50;single_numeric_response;collider;sociology;h;pmm;claude-3-opus-20240229;0.0
236;50;single_numeric_response;collider;sociology;h;pmm;claude-3-opus-20240229;0.0
