id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;<response><likelihood>75</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;a;ppp;claude-opus-4-1-20250805;0.0
2;<response><likelihood>50</likelihood><confidence>40</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;a;ppp;claude-opus-4-1-20250805;0.0
3;<response><likelihood>75</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;b;ppp;claude-opus-4-1-20250805;0.0
4;<response><likelihood>50</likelihood><confidence>40</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;b;ppp;claude-opus-4-1-20250805;0.0
5;<response><likelihood>75</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;c;ppp;claude-opus-4-1-20250805;0.0
6;<response><likelihood>75</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;c;ppp;claude-opus-4-1-20250805;0.0
7;<response><likelihood>50</likelihood><confidence>20</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;d;ppp;claude-opus-4-1-20250805;0.0
8;<response><likelihood>50</likelihood><confidence>75</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;d;ppp;claude-opus-4-1-20250805;0.0
9;<response><likelihood>50</likelihood><confidence>75</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;e;ppp;claude-opus-4-1-20250805;0.0
10;<response><likelihood>50</likelihood><confidence>75</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;e;ppp;claude-opus-4-1-20250805;0.0
11;<response><likelihood>25</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;f;ppp;claude-opus-4-1-20250805;0.0
12;<response><likelihood>25</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;f;ppp;claude-opus-4-1-20250805;0.0
13;<response><likelihood>25</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;g;ppp;claude-opus-4-1-20250805;0.0
14;<response><likelihood>25</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;g;ppp;claude-opus-4-1-20250805;0.0
15;<response><likelihood>25</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;h;ppp;claude-opus-4-1-20250805;0.0
16;<response><likelihood>50</likelihood><confidence>75</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;h;ppp;claude-opus-4-1-20250805;0.0
17;<response><likelihood>20</likelihood><confidence>75</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;i;ppp;claude-opus-4-1-20250805;0.0
18;<response><likelihood>50</likelihood><confidence>75</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;j;ppp;claude-opus-4-1-20250805;0.0
19;<response><likelihood>75</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;j;ppp;claude-opus-4-1-20250805;0.0
20;<response><likelihood>85</likelihood><confidence>75</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;k;ppp;claude-opus-4-1-20250805;0.0
61;<response><likelihood>75</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;a;pmm;claude-opus-4-1-20250805;0.0
62;<response><likelihood>25</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;a;pmm;claude-opus-4-1-20250805;0.0
63;<response><likelihood>50</likelihood><confidence>40</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;b;pmm;claude-opus-4-1-20250805;0.0
64;<response><likelihood>50</likelihood><confidence>40</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;b;pmm;claude-opus-4-1-20250805;0.0
65;<response><likelihood>75</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;c;pmm;claude-opus-4-1-20250805;0.0
66;<response><likelihood>75</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;c;pmm;claude-opus-4-1-20250805;0.0
67;<response><likelihood>50</likelihood><confidence>20</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;d;pmm;claude-opus-4-1-20250805;0.0
68;<response><likelihood>50</likelihood><confidence>20</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;d;pmm;claude-opus-4-1-20250805;0.0
69;<response><likelihood>50</likelihood><confidence>75</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;e;pmm;claude-opus-4-1-20250805;0.0
70;<response><likelihood>50</likelihood><confidence>20</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;e;pmm;claude-opus-4-1-20250805;0.0
71;<response><likelihood>25</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;f;pmm;claude-opus-4-1-20250805;0.0
72;<response><likelihood>25</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;f;pmm;claude-opus-4-1-20250805;0.0
73;<response><likelihood>25</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;g;pmm;claude-opus-4-1-20250805;0.0
74;<response><likelihood>25</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;g;pmm;claude-opus-4-1-20250805;0.0
75;<response><likelihood>20</likelihood><confidence>75</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;h;pmm;claude-opus-4-1-20250805;0.0
76;<response><likelihood>50</likelihood><confidence>75</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;h;pmm;claude-opus-4-1-20250805;0.0
77;<response><likelihood>20</likelihood><confidence>75</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;i;pmm;claude-opus-4-1-20250805;0.0
78;<response><likelihood>65</likelihood><confidence>75</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;j;pmm;claude-opus-4-1-20250805;0.0
79;<response><likelihood>75</likelihood><confidence>80</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;j;pmm;claude-opus-4-1-20250805;0.0
80;<response><likelihood>85</likelihood><confidence>75</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;k;pmm;claude-opus-4-1-20250805;0.0
101;<response><likelihood>75</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;a;mpm;claude-opus-4-1-20250805;0.0
102;<response><likelihood>25</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;a;mpm;claude-opus-4-1-20250805;0.0
103;<response><likelihood>60</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;b;mpm;claude-opus-4-1-20250805;0.0
104;<response><likelihood>50</likelihood><confidence>40</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;b;mpm;claude-opus-4-1-20250805;0.0
105;<response><likelihood>75</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;c;mpm;claude-opus-4-1-20250805;0.0
106;<response><likelihood>75</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;c;mpm;claude-opus-4-1-20250805;0.0
107;<response><likelihood>50</likelihood><confidence>20</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;d;mpm;claude-opus-4-1-20250805;0.0
108;<response><likelihood>50</likelihood><confidence>20</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;d;mpm;claude-opus-4-1-20250805;0.0
109;<response><likelihood>50</likelihood><confidence>75</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;e;mpm;claude-opus-4-1-20250805;0.0
110;<response><likelihood>50</likelihood><confidence>75</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;e;mpm;claude-opus-4-1-20250805;0.0
111;<response><likelihood>25</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;f;mpm;claude-opus-4-1-20250805;0.0
112;<response><likelihood>20</likelihood><confidence>75</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;f;mpm;claude-opus-4-1-20250805;0.0
113;<response><likelihood>25</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;realistic;collider;economy;g;mpm;claude-opus-4-1-20250805;0.0
