id;response;prompt_category;graph;domain;task;cntbl_cond;subject;temperature
1;75;single_numeric_response;collider;economy;a;ppp;claude-opus-4-20250514;0.0
2;75;single_numeric_response;collider;economy;a;ppp;claude-opus-4-20250514;0.0
3;75;single_numeric_response;collider;economy;b;ppp;claude-opus-4-20250514;0.0
4;75;single_numeric_response;collider;economy;b;ppp;claude-opus-4-20250514;0.0
5;75;single_numeric_response;collider;economy;c;ppp;claude-opus-4-20250514;0.0
6;75;single_numeric_response;collider;economy;c;ppp;claude-opus-4-20250514;0.0
7;50;single_numeric_response;collider;economy;d;ppp;claude-opus-4-20250514;0.0
8;50;single_numeric_response;collider;economy;d;ppp;claude-opus-4-20250514;0.0
9;50;single_numeric_response;collider;economy;e;ppp;claude-opus-4-20250514;0.0
10;50;single_numeric_response;collider;economy;e;ppp;claude-opus-4-20250514;0.0
11;25;single_numeric_response;collider;economy;f;ppp;claude-opus-4-20250514;0.0
12;25;single_numeric_response;collider;economy;f;ppp;claude-opus-4-20250514;0.0
13;25;single_numeric_response;collider;economy;g;ppp;claude-opus-4-20250514;0.0
14;50;single_numeric_response;collider;economy;g;ppp;claude-opus-4-20250514;0.0
15;25;single_numeric_response;collider;economy;h;ppp;claude-opus-4-20250514;0.0
16;50;single_numeric_response;collider;economy;h;ppp;claude-opus-4-20250514;0.0
17;25;single_numeric_response;collider;economy;i;ppp;claude-opus-4-20250514;0.0
18;50;single_numeric_response;collider;economy;j;ppp;claude-opus-4-20250514;0.0
19;75;single_numeric_response;collider;economy;j;ppp;claude-opus-4-20250514;0.0
20;85;single_numeric_response;collider;economy;k;ppp;claude-opus-4-20250514;0.0
61;75;single_numeric_response;collider;economy;a;pmm;claude-opus-4-20250514;0.0
62;50;single_numeric_response;collider;economy;a;pmm;claude-opus-4-20250514;0.0
63;50;single_numeric_response;collider;economy;b;pmm;claude-opus-4-20250514;0.0
64;50;single_numeric_response;collider;economy;b;pmm;claude-opus-4-20250514;0.0
65;75;single_numeric_response;collider;economy;c;pmm;claude-opus-4-20250514;0.0
66;75;single_numeric_response;collider;economy;c;pmm;claude-opus-4-20250514;0.0
67;50;single_numeric_response;collider;economy;d;pmm;claude-opus-4-20250514;0.0
68;50;single_numeric_response;collider;economy;d;pmm;claude-opus-4-20250514;0.0
69;50;single_numeric_response;collider;economy;e;pmm;claude-opus-4-20250514;0.0
70;50;single_numeric_response;collider;economy;e;pmm;claude-opus-4-20250514;0.0
71;25;single_numeric_response;collider;economy;f;pmm;claude-opus-4-20250514;0.0
72;0;single_numeric_response;collider;economy;f;pmm;claude-opus-4-20250514;0.0
73;25;single_numeric_response;collider;economy;g;pmm;claude-opus-4-20250514;0.0
74;50;single_numeric_response;collider;economy;g;pmm;claude-opus-4-20250514;0.0
75;20;single_numeric_response;collider;economy;h;pmm;claude-opus-4-20250514;0.0
76;50;single_numeric_response;collider;economy;h;pmm;claude-opus-4-20250514;0.0
77;15;single_numeric_response;collider;economy;i;pmm;claude-opus-4-20250514;0.0
78;75;single_numeric_response;collider;economy;j;pmm;claude-opus-4-20250514;0.0
79;75;single_numeric_response;collider;economy;j;pmm;claude-opus-4-20250514;0.0
80;95;single_numeric_response;collider;economy;k;pmm;claude-opus-4-20250514;0.0
101;75;single_numeric_response;collider;economy;a;mpm;claude-opus-4-20250514;0.0
102;50;single_numeric_response;collider;economy;a;mpm;claude-opus-4-20250514;0.0
103;75;single_numeric_response;collider;economy;b;mpm;claude-opus-4-20250514;0.0
104;50;single_numeric_response;collider;economy;b;mpm;claude-opus-4-20250514;0.0
105;75;single_numeric_response;collider;economy;c;mpm;claude-opus-4-20250514;0.0
106;75;single_numeric_response;collider;economy;c;mpm;claude-opus-4-20250514;0.0
107;50;single_numeric_response;collider;economy;d;mpm;claude-opus-4-20250514;0.0
108;50;single_numeric_response;collider;economy;d;mpm;claude-opus-4-20250514;0.0
109;50;single_numeric_response;collider;economy;e;mpm;claude-opus-4-20250514;0.0
110;50;single_numeric_response;collider;economy;e;mpm;claude-opus-4-20250514;0.0
111;20;single_numeric_response;collider;economy;f;mpm;claude-opus-4-20250514;0.0
112;0;single_numeric_response;collider;economy;f;mpm;claude-opus-4-20250514;0.0
113;25;single_numeric_response;collider;economy;g;mpm;claude-opus-4-20250514;0.0
114;50;single_numeric_response;collider;economy;g;mpm;claude-opus-4-20250514;0.0
115;25;single_numeric_response;collider;economy;h;mpm;claude-opus-4-20250514;0.0
116;50;single_numeric_response;collider;economy;h;mpm;claude-opus-4-20250514;0.0
117;50;single_numeric_response;collider;economy;i;mpm;claude-opus-4-20250514;0.0
118;50;single_numeric_response;collider;economy;j;mpm;claude-opus-4-20250514;0.0
119;85;single_numeric_response;collider;economy;j;mpm;claude-opus-4-20250514;0.0
120;95;single_numeric_response;collider;economy;k;mpm;claude-opus-4-20250514;0.0
121;75;single_numeric_response;collider;economy;a;mmp;claude-opus-4-20250514;0.0
122;50;single_numeric_response;collider;economy;a;mmp;claude-opus-4-20250514;0.0
123;50;single_numeric_response;collider;economy;b;mmp;claude-opus-4-20250514;0.0
124;50;single_numeric_response;collider;economy;b;mmp;claude-opus-4-20250514;0.0
125;75;single_numeric_response;collider;economy;c;mmp;claude-opus-4-20250514;0.0
126;75;single_numeric_response;collider;economy;c;mmp;claude-opus-4-20250514;0.0
