id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;75;N/A;N/A;numeric;realistic;collider;economy;a;ppp;claude-opus-4-20250514;0.0
2;50;N/A;N/A;numeric;realistic;collider;economy;a;ppp;claude-opus-4-20250514;0.0
3;75;N/A;N/A;numeric;realistic;collider;economy;b;ppp;claude-opus-4-20250514;0.0
4;50;N/A;N/A;numeric;realistic;collider;economy;b;ppp;claude-opus-4-20250514;0.0
5;75;N/A;N/A;numeric;realistic;collider;economy;c;ppp;claude-opus-4-20250514;0.0
6;75;N/A;N/A;numeric;realistic;collider;economy;c;ppp;claude-opus-4-20250514;0.0
7;50;N/A;N/A;numeric;realistic;collider;economy;d;ppp;claude-opus-4-20250514;0.0
8;50;N/A;N/A;numeric;realistic;collider;economy;d;ppp;claude-opus-4-20250514;0.0
9;50;N/A;N/A;numeric;realistic;collider;economy;e;ppp;claude-opus-4-20250514;0.0
10;50;N/A;N/A;numeric;realistic;collider;economy;e;ppp;claude-opus-4-20250514;0.0
11;25;N/A;N/A;numeric;realistic;collider;economy;f;ppp;claude-opus-4-20250514;0.0
12;20;N/A;N/A;numeric;realistic;collider;economy;f;ppp;claude-opus-4-20250514;0.0
13;25;N/A;N/A;numeric;realistic;collider;economy;g;ppp;claude-opus-4-20250514;0.0
14;50;N/A;N/A;numeric;realistic;collider;economy;g;ppp;claude-opus-4-20250514;0.0
15;20;N/A;N/A;numeric;realistic;collider;economy;h;ppp;claude-opus-4-20250514;0.0
16;50;N/A;N/A;numeric;realistic;collider;economy;h;ppp;claude-opus-4-20250514;0.0
17;20;N/A;N/A;numeric;realistic;collider;economy;i;ppp;claude-opus-4-20250514;0.0
18;50;N/A;N/A;numeric;realistic;collider;economy;j;ppp;claude-opus-4-20250514;0.0
19;75;N/A;N/A;numeric;realistic;collider;economy;j;ppp;claude-opus-4-20250514;0.0
20;85;N/A;N/A;numeric;realistic;collider;economy;k;ppp;claude-opus-4-20250514;0.0
61;75;N/A;N/A;numeric;realistic;collider;economy;a;pmm;claude-opus-4-20250514;0.0
62;50;N/A;N/A;numeric;realistic;collider;economy;a;pmm;claude-opus-4-20250514;0.0
63;75;N/A;N/A;numeric;realistic;collider;economy;b;pmm;claude-opus-4-20250514;0.0
64;50;N/A;N/A;numeric;realistic;collider;economy;b;pmm;claude-opus-4-20250514;0.0
65;75;N/A;N/A;numeric;realistic;collider;economy;c;pmm;claude-opus-4-20250514;0.0
66;75;N/A;N/A;numeric;realistic;collider;economy;c;pmm;claude-opus-4-20250514;0.0
67;50;N/A;N/A;numeric;realistic;collider;economy;d;pmm;claude-opus-4-20250514;0.0
68;50;N/A;N/A;numeric;realistic;collider;economy;d;pmm;claude-opus-4-20250514;0.0
69;50;N/A;N/A;numeric;realistic;collider;economy;e;pmm;claude-opus-4-20250514;0.0
70;50;N/A;N/A;numeric;realistic;collider;economy;e;pmm;claude-opus-4-20250514;0.0
71;20;N/A;N/A;numeric;realistic;collider;economy;f;pmm;claude-opus-4-20250514;0.0
72;0;N/A;N/A;numeric;realistic;collider;economy;f;pmm;claude-opus-4-20250514;0.0
73;25;N/A;N/A;numeric;realistic;collider;economy;g;pmm;claude-opus-4-20250514;0.0
74;50;N/A;N/A;numeric;realistic;collider;economy;g;pmm;claude-opus-4-20250514;0.0
75;20;N/A;N/A;numeric;realistic;collider;economy;h;pmm;claude-opus-4-20250514;0.0
