id;response;prompt_category;graph;domain;task;cntbl_cond;subject;temperature
1;"50
";single_numeric_response;collider;economy;a;ppp;gemini-1.5-pro;0.7
2;"50
";single_numeric_response;collider;economy;a;ppp;gemini-1.5-pro;0.7
3;"75
";single_numeric_response;collider;economy;b;ppp;gemini-1.5-pro;0.7
4;"75
";single_numeric_response;collider;economy;b;ppp;gemini-1.5-pro;0.7
5;"75
";single_numeric_response;collider;economy;c;ppp;gemini-1.5-pro;0.7
6;"75
";single_numeric_response;collider;economy;c;ppp;gemini-1.5-pro;0.7
7;"50
";single_numeric_response;collider;economy;d;ppp;gemini-1.5-pro;0.7
8;"50
";single_numeric_response;collider;economy;d;ppp;gemini-1.5-pro;0.7
9;"50
";single_numeric_response;collider;economy;e;ppp;gemini-1.5-pro;0.7
10;"50
";single_numeric_response;collider;economy;e;ppp;gemini-1.5-pro;0.7
11;"50
";single_numeric_response;collider;economy;f;ppp;gemini-1.5-pro;0.7
12;"50
";single_numeric_response;collider;economy;f;ppp;gemini-1.5-pro;0.7
13;"25
";single_numeric_response;collider;economy;g;ppp;gemini-1.5-pro;0.7
14;"50
";single_numeric_response;collider;economy;g;ppp;gemini-1.5-pro;0.7
15;"50
";single_numeric_response;collider;economy;h;ppp;gemini-1.5-pro;0.7
16;"0
";single_numeric_response;collider;economy;h;ppp;gemini-1.5-pro;0.7
17;"0
";single_numeric_response;collider;economy;i;ppp;gemini-1.5-pro;0.7
18;"100
";single_numeric_response;collider;economy;j;ppp;gemini-1.5-pro;0.7
19;"100
";single_numeric_response;collider;economy;j;ppp;gemini-1.5-pro;0.7
20;"100
";single_numeric_response;collider;economy;k;ppp;gemini-1.5-pro;0.7
61;"50
";single_numeric_response;collider;economy;a;pmm;gemini-1.5-pro;0.7
62;"50
";single_numeric_response;collider;economy;a;pmm;gemini-1.5-pro;0.7
63;"75
";single_numeric_response;collider;economy;b;pmm;gemini-1.5-pro;0.7
64;"75
";single_numeric_response;collider;economy;b;pmm;gemini-1.5-pro;0.7
65;"75
";single_numeric_response;collider;economy;c;pmm;gemini-1.5-pro;0.7
66;"75
";single_numeric_response;collider;economy;c;pmm;gemini-1.5-pro;0.7
67;"50
";single_numeric_response;collider;economy;d;pmm;gemini-1.5-pro;0.7
68;"50
";single_numeric_response;collider;economy;d;pmm;gemini-1.5-pro;0.7
69;"50
";single_numeric_response;collider;economy;e;pmm;gemini-1.5-pro;0.7
70;"50
";single_numeric_response;collider;economy;e;pmm;gemini-1.5-pro;0.7
71;"0
";single_numeric_response;collider;economy;f;pmm;gemini-1.5-pro;0.7
72;"0
";single_numeric_response;collider;economy;f;pmm;gemini-1.5-pro;0.7
73;"25
";single_numeric_response;collider;economy;g;pmm;gemini-1.5-pro;0.7
74;"20
";single_numeric_response;collider;economy;g;pmm;gemini-1.5-pro;0.7
75;"0
";single_numeric_response;collider;economy;h;pmm;gemini-1.5-pro;0.7
76;"0
";single_numeric_response;collider;economy;h;pmm;gemini-1.5-pro;0.7
77;"0
";single_numeric_response;collider;economy;i;pmm;gemini-1.5-pro;0.7
78;"100
";single_numeric_response;collider;economy;j;pmm;gemini-1.5-pro;0.7
79;"100
";single_numeric_response;collider;economy;j;pmm;gemini-1.5-pro;0.7
80;"100
";single_numeric_response;collider;economy;k;pmm;gemini-1.5-pro;0.7
101;"50
";single_numeric_response;collider;economy;a;mpm;gemini-1.5-pro;0.7
102;"50
";single_numeric_response;collider;economy;a;mpm;gemini-1.5-pro;0.7
103;"75
";single_numeric_response;collider;economy;b;mpm;gemini-1.5-pro;0.7
104;"50
";single_numeric_response;collider;economy;b;mpm;gemini-1.5-pro;0.7
105;"75
";single_numeric_response;collider;economy;c;mpm;gemini-1.5-pro;0.7
106;"75
";single_numeric_response;collider;economy;c;mpm;gemini-1.5-pro;0.7
107;"50
";single_numeric_response;collider;economy;d;mpm;gemini-1.5-pro;0.7
108;"50
";single_numeric_response;collider;economy;d;mpm;gemini-1.5-pro;0.7
109;"50
";single_numeric_response;collider;economy;e;mpm;gemini-1.5-pro;0.7
110;"50
";single_numeric_response;collider;economy;e;mpm;gemini-1.5-pro;0.7
111;"50
";single_numeric_response;collider;economy;f;mpm;gemini-1.5-pro;0.7
112;"0
";single_numeric_response;collider;economy;f;mpm;gemini-1.5-pro;0.7
113;"0
";single_numeric_response;collider;economy;g;mpm;gemini-1.5-pro;0.7
114;"20
";single_numeric_response;collider;economy;g;mpm;gemini-1.5-pro;0.7
115;"50
";single_numeric_response;collider;economy;h;mpm;gemini-1.5-pro;0.7
116;"0
";single_numeric_response;collider;economy;h;mpm;gemini-1.5-pro;0.7
117;"0
";single_numeric_response;collider;economy;i;mpm;gemini-1.5-pro;0.7
118;"100
";single_numeric_response;collider;economy;j;mpm;gemini-1.5-pro;0.7
119;"100
";single_numeric_response;collider;economy;j;mpm;gemini-1.5-pro;0.7
120;"100
";single_numeric_response;collider;economy;k;mpm;gemini-1.5-pro;0.7
121;"50
";single_numeric_response;collider;economy;a;mmp;gemini-1.5-pro;0.7
122;"50
";single_numeric_response;collider;economy;a;mmp;gemini-1.5-pro;0.7
123;"75
";single_numeric_response;collider;economy;b;mmp;gemini-1.5-pro;0.7
124;"50
";single_numeric_response;collider;economy;b;mmp;gemini-1.5-pro;0.7
125;"75
";single_numeric_response;collider;economy;c;mmp;gemini-1.5-pro;0.7
126;"75
";single_numeric_response;collider;economy;c;mmp;gemini-1.5-pro;0.7
127;"50
";single_numeric_response;collider;economy;d;mmp;gemini-1.5-pro;0.7
128;"50
";single_numeric_response;collider;economy;d;mmp;gemini-1.5-pro;0.7
129;"50
";single_numeric_response;collider;economy;e;mmp;gemini-1.5-pro;0.7
130;"50
";single_numeric_response;collider;economy;e;mmp;gemini-1.5-pro;0.7
131;"0
";single_numeric_response;collider;economy;f;mmp;gemini-1.5-pro;0.7
132;"20
";single_numeric_response;collider;economy;f;mmp;gemini-1.5-pro;0.7
133;"0
";single_numeric_response;collider;economy;g;mmp;gemini-1.5-pro;0.7
134;"0
";single_numeric_response;collider;economy;g;mmp;gemini-1.5-pro;0.7
135;"0
";single_numeric_response;collider;economy;h;mmp;gemini-1.5-pro;0.7
136;"50
";single_numeric_response;collider;economy;h;mmp;gemini-1.5-pro;0.7
137;"0
";single_numeric_response;collider;economy;i;mmp;gemini-1.5-pro;0.7
138;"100
";single_numeric_response;collider;economy;j;mmp;gemini-1.5-pro;0.7
139;"100
";single_numeric_response;collider;economy;j;mmp;gemini-1.5-pro;0.7
140;"100
";single_numeric_response;collider;economy;k;mmp;gemini-1.5-pro;0.7
161;"50
";single_numeric_response;collider;sociology;a;ppp;gemini-1.5-pro;0.7
162;"50
";single_numeric_response;collider;sociology;a;ppp;gemini-1.5-pro;0.7
163;"75
";single_numeric_response;collider;sociology;b;ppp;gemini-1.5-pro;0.7
164;"75
";single_numeric_response;collider;sociology;b;ppp;gemini-1.5-pro;0.7
165;"75
";single_numeric_response;collider;sociology;c;ppp;gemini-1.5-pro;0.7
166;"75
";single_numeric_response;collider;sociology;c;ppp;gemini-1.5-pro;0.7
167;"50
";single_numeric_response;collider;sociology;d;ppp;gemini-1.5-pro;0.7
168;"50
";single_numeric_response;collider;sociology;d;ppp;gemini-1.5-pro;0.7
