id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;100;N/A;N/A;numeric;realistic;collider;economy;a;ppp;gemini-2.5-flash-lite;0.0
2;75;N/A;N/A;numeric;realistic;collider;economy;a;ppp;gemini-2.5-flash-lite;0.0
3;50;N/A;N/A;numeric;realistic;collider;economy;b;ppp;gemini-2.5-flash-lite;0.0
4;50;N/A;N/A;numeric;realistic;collider;economy;b;ppp;gemini-2.5-flash-lite;0.0
5;0;N/A;N/A;numeric;realistic;collider;economy;c;ppp;gemini-2.5-flash-lite;0.0
6;0;N/A;N/A;numeric;realistic;collider;economy;c;ppp;gemini-2.5-flash-lite;0.0
7;50;N/A;N/A;numeric;realistic;collider;economy;d;ppp;gemini-2.5-flash-lite;0.0
8;0;N/A;N/A;numeric;realistic;collider;economy;d;ppp;gemini-2.5-flash-lite;0.0
9;50;N/A;N/A;numeric;realistic;collider;economy;e;ppp;gemini-2.5-flash-lite;0.0
10;50;N/A;N/A;numeric;realistic;collider;economy;e;ppp;gemini-2.5-flash-lite;0.0
11;50;N/A;N/A;numeric;realistic;collider;economy;f;ppp;gemini-2.5-flash-lite;0.0
12;75;N/A;N/A;numeric;realistic;collider;economy;f;ppp;gemini-2.5-flash-lite;0.0
13;50;N/A;N/A;numeric;realistic;collider;economy;g;ppp;gemini-2.5-flash-lite;0.0
14;50;N/A;N/A;numeric;realistic;collider;economy;g;ppp;gemini-2.5-flash-lite;0.0
15;0;N/A;N/A;numeric;realistic;collider;economy;h;ppp;gemini-2.5-flash-lite;0.0
16;50;N/A;N/A;numeric;realistic;collider;economy;h;ppp;gemini-2.5-flash-lite;0.0
17;50;N/A;N/A;numeric;realistic;collider;economy;i;ppp;gemini-2.5-flash-lite;0.0
18;50;N/A;N/A;numeric;realistic;collider;economy;j;ppp;gemini-2.5-flash-lite;0.0
19;75;N/A;N/A;numeric;realistic;collider;economy;j;ppp;gemini-2.5-flash-lite;0.0
20;100;N/A;N/A;numeric;realistic;collider;economy;k;ppp;gemini-2.5-flash-lite;0.0
61;75;N/A;N/A;numeric;realistic;collider;economy;a;pmm;gemini-2.5-flash-lite;0.0
62;50;N/A;N/A;numeric;realistic;collider;economy;a;pmm;gemini-2.5-flash-lite;0.0
63;75;N/A;N/A;numeric;realistic;collider;economy;b;pmm;gemini-2.5-flash-lite;0.0
64;100;N/A;N/A;numeric;realistic;collider;economy;b;pmm;gemini-2.5-flash-lite;0.0
65;50;N/A;N/A;numeric;realistic;collider;economy;c;pmm;gemini-2.5-flash-lite;0.0
66;50;N/A;N/A;numeric;realistic;collider;economy;c;pmm;gemini-2.5-flash-lite;0.0
67;50;N/A;N/A;numeric;realistic;collider;economy;d;pmm;gemini-2.5-flash-lite;0.0
68;50;N/A;N/A;numeric;realistic;collider;economy;d;pmm;gemini-2.5-flash-lite;0.0
69;50;N/A;N/A;numeric;realistic;collider;economy;e;pmm;gemini-2.5-flash-lite;0.0
70;50;N/A;N/A;numeric;realistic;collider;economy;e;pmm;gemini-2.5-flash-lite;0.0
71;0;N/A;N/A;numeric;realistic;collider;economy;f;pmm;gemini-2.5-flash-lite;0.0
72;50;N/A;N/A;numeric;realistic;collider;economy;f;pmm;gemini-2.5-flash-lite;0.0
73;50;N/A;N/A;numeric;realistic;collider;economy;g;pmm;gemini-2.5-flash-lite;0.0
74;50;N/A;N/A;numeric;realistic;collider;economy;g;pmm;gemini-2.5-flash-lite;0.0
75;50;N/A;N/A;numeric;realistic;collider;economy;h;pmm;gemini-2.5-flash-lite;0.0
76;50;N/A;N/A;numeric;realistic;collider;economy;h;pmm;gemini-2.5-flash-lite;0.0
