id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;50;N/A;N/A;numeric;realistic;collider;economy;a;ppp;gemini-2.5-pro;0.0
2;50;N/A;N/A;numeric;realistic;collider;economy;a;ppp;gemini-2.5-pro;0.0
3;67;N/A;N/A;numeric;realistic;collider;economy;b;ppp;gemini-2.5-pro;0.0
4;67;N/A;N/A;numeric;realistic;collider;economy;b;ppp;gemini-2.5-pro;0.0
5;95;N/A;N/A;numeric;realistic;collider;economy;c;ppp;gemini-2.5-pro;0.0
6;100;N/A;N/A;numeric;realistic;collider;economy;c;ppp;gemini-2.5-pro;0.0
7;50;N/A;N/A;numeric;realistic;collider;economy;d;ppp;gemini-2.5-pro;0.0
8;50;N/A;N/A;numeric;realistic;collider;economy;d;ppp;gemini-2.5-pro;0.0
9;50;N/A;N/A;numeric;realistic;collider;economy;e;ppp;gemini-2.5-pro;0.0
10;50;N/A;N/A;numeric;realistic;collider;economy;e;ppp;gemini-2.5-pro;0.0
11;10;N/A;N/A;numeric;realistic;collider;economy;f;ppp;gemini-2.5-pro;0.0
12;10;N/A;N/A;numeric;realistic;collider;economy;f;ppp;gemini-2.5-pro;0.0
13;10;N/A;N/A;numeric;realistic;collider;economy;g;ppp;gemini-2.5-pro;0.0
14;0;N/A;N/A;numeric;realistic;collider;economy;g;ppp;gemini-2.5-pro;0.0
15;0;N/A;N/A;numeric;realistic;collider;economy;h;ppp;gemini-2.5-pro;0.0
16;0;N/A;N/A;numeric;realistic;collider;economy;h;ppp;gemini-2.5-pro;0.0
17;0;N/A;N/A;numeric;realistic;collider;economy;i;ppp;gemini-2.5-pro;0.0
18;50;N/A;N/A;numeric;realistic;collider;economy;j;ppp;gemini-2.5-pro;0.0
19;90;N/A;N/A;numeric;realistic;collider;economy;j;ppp;gemini-2.5-pro;0.0
20;100;N/A;N/A;numeric;realistic;collider;economy;k;ppp;gemini-2.5-pro;0.0
61;50;N/A;N/A;numeric;realistic;collider;economy;a;pmm;gemini-2.5-pro;0.0
62;50;N/A;N/A;numeric;realistic;collider;economy;a;pmm;gemini-2.5-pro;0.0
63;67;N/A;N/A;numeric;realistic;collider;economy;b;pmm;gemini-2.5-pro;0.0
64;67;N/A;N/A;numeric;realistic;collider;economy;b;pmm;gemini-2.5-pro;0.0
65;100;N/A;N/A;numeric;realistic;collider;economy;c;pmm;gemini-2.5-pro;0.0
