id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;85;N/A;N/A;numeric;realistic;collider;economy;a;ppp;gpt-3.5-turbo;0.0
2;85;N/A;N/A;numeric;realistic;collider;economy;a;ppp;gpt-3.5-turbo;0.0
3;85;N/A;N/A;numeric;realistic;collider;economy;b;ppp;gpt-3.5-turbo;0.0
4;85;N/A;N/A;numeric;realistic;collider;economy;b;ppp;gpt-3.5-turbo;0.0
5;80;N/A;N/A;numeric;realistic;collider;economy;c;ppp;gpt-3.5-turbo;0.0
6;80;N/A;N/A;numeric;realistic;collider;economy;c;ppp;gpt-3.5-turbo;0.0
7;85;N/A;N/A;numeric;realistic;collider;economy;d;ppp;gpt-3.5-turbo;0.0
8;85;N/A;N/A;numeric;realistic;collider;economy;d;ppp;gpt-3.5-turbo;0.0
9;75;N/A;N/A;numeric;realistic;collider;economy;e;ppp;gpt-3.5-turbo;0.0
10;75;N/A;N/A;numeric;realistic;collider;economy;e;ppp;gpt-3.5-turbo;0.0
11;80;N/A;N/A;numeric;realistic;collider;economy;f;ppp;gpt-3.5-turbo;0.0
12;80;N/A;N/A;numeric;realistic;collider;economy;f;ppp;gpt-3.5-turbo;0.0
13;75;N/A;N/A;numeric;realistic;collider;economy;g;ppp;gpt-3.5-turbo;0.0
14;75;N/A;N/A;numeric;realistic;collider;economy;g;ppp;gpt-3.5-turbo;0.0
15;75;N/A;N/A;numeric;realistic;collider;economy;h;ppp;gpt-3.5-turbo;0.0
16;75;N/A;N/A;numeric;realistic;collider;economy;h;ppp;gpt-3.5-turbo;0.0
17;75;N/A;N/A;numeric;realistic;collider;economy;i;ppp;gpt-3.5-turbo;0.0
18;85;N/A;N/A;numeric;realistic;collider;economy;j;ppp;gpt-3.5-turbo;0.0
19;85;N/A;N/A;numeric;realistic;collider;economy;j;ppp;gpt-3.5-turbo;0.0
20;85;N/A;N/A;numeric;realistic;collider;economy;k;ppp;gpt-3.5-turbo;0.0
61;85;N/A;N/A;numeric;realistic;collider;economy;a;pmm;gpt-3.5-turbo;0.0
62;80;N/A;N/A;numeric;realistic;collider;economy;a;pmm;gpt-3.5-turbo;0.0
63;80;N/A;N/A;numeric;realistic;collider;economy;b;pmm;gpt-3.5-turbo;0.0
64;80;N/A;N/A;numeric;realistic;collider;economy;b;pmm;gpt-3.5-turbo;0.0
65;80;N/A;N/A;numeric;realistic;collider;economy;c;pmm;gpt-3.5-turbo;0.0
66;80;N/A;N/A;numeric;realistic;collider;economy;c;pmm;gpt-3.5-turbo;0.0
67;80;N/A;N/A;numeric;realistic;collider;economy;d;pmm;gpt-3.5-turbo;0.0
68;80;N/A;N/A;numeric;realistic;collider;economy;d;pmm;gpt-3.5-turbo;0.0
69;70;N/A;N/A;numeric;realistic;collider;economy;e;pmm;gpt-3.5-turbo;0.0
70;75;N/A;N/A;numeric;realistic;collider;economy;e;pmm;gpt-3.5-turbo;0.0
71;75;N/A;N/A;numeric;realistic;collider;economy;f;pmm;gpt-3.5-turbo;0.0
72;80;N/A;N/A;numeric;realistic;collider;economy;f;pmm;gpt-3.5-turbo;0.0
73;70;N/A;N/A;numeric;realistic;collider;economy;g;pmm;gpt-3.5-turbo;0.0
74;70;N/A;N/A;numeric;realistic;collider;economy;g;pmm;gpt-3.5-turbo;0.0
75;50;N/A;N/A;numeric;realistic;collider;economy;h;pmm;gpt-3.5-turbo;0.0
76;70;N/A;N/A;numeric;realistic;collider;economy;h;pmm;gpt-3.5-turbo;0.0
77;75;N/A;N/A;numeric;realistic;collider;economy;i;pmm;gpt-3.5-turbo;0.0
78;85;N/A;N/A;numeric;realistic;collider;economy;j;pmm;gpt-3.5-turbo;0.0
79;85;N/A;N/A;numeric;realistic;collider;economy;j;pmm;gpt-3.5-turbo;0.0
80;85;N/A;N/A;numeric;realistic;collider;economy;k;pmm;gpt-3.5-turbo;0.0
101;80;N/A;N/A;numeric;realistic;collider;economy;a;mpm;gpt-3.5-turbo;0.0
102;80;N/A;N/A;numeric;realistic;collider;economy;a;mpm;gpt-3.5-turbo;0.0
103;80;N/A;N/A;numeric;realistic;collider;economy;b;mpm;gpt-3.5-turbo;0.0
104;80;N/A;N/A;numeric;realistic;collider;economy;b;mpm;gpt-3.5-turbo;0.0
105;80;N/A;N/A;numeric;realistic;collider;economy;c;mpm;gpt-3.5-turbo;0.0
106;70;N/A;N/A;numeric;realistic;collider;economy;c;mpm;gpt-3.5-turbo;0.0
107;75;N/A;N/A;numeric;realistic;collider;economy;d;mpm;gpt-3.5-turbo;0.0
108;70;N/A;N/A;numeric;realistic;collider;economy;d;mpm;gpt-3.5-turbo;0.0
109;75;N/A;N/A;numeric;realistic;collider;economy;e;mpm;gpt-3.5-turbo;0.0
110;70;N/A;N/A;numeric;realistic;collider;economy;e;mpm;gpt-3.5-turbo;0.0
111;70;N/A;N/A;numeric;realistic;collider;economy;f;mpm;gpt-3.5-turbo;0.0
112;70;N/A;N/A;numeric;realistic;collider;economy;f;mpm;gpt-3.5-turbo;0.0
113;70;N/A;N/A;numeric;realistic;collider;economy;g;mpm;gpt-3.5-turbo;0.0
114;70;N/A;N/A;numeric;realistic;collider;economy;g;mpm;gpt-3.5-turbo;0.0
115;75;N/A;N/A;numeric;realistic;collider;economy;h;mpm;gpt-3.5-turbo;0.0
116;50;N/A;N/A;numeric;realistic;collider;economy;h;mpm;gpt-3.5-turbo;0.0
117;70;N/A;N/A;numeric;realistic;collider;economy;i;mpm;gpt-3.5-turbo;0.0
118;70;N/A;N/A;numeric;realistic;collider;economy;j;mpm;gpt-3.5-turbo;0.0
119;80;N/A;N/A;numeric;realistic;collider;economy;j;mpm;gpt-3.5-turbo;0.0
120;80;N/A;N/A;numeric;realistic;collider;economy;k;mpm;gpt-3.5-turbo;0.0
121;80;N/A;N/A;numeric;realistic;collider;economy;a;mmp;gpt-3.5-turbo;0.0
122;80;N/A;N/A;numeric;realistic;collider;economy;a;mmp;gpt-3.5-turbo;0.0
123;85;N/A;N/A;numeric;realistic;collider;economy;b;mmp;gpt-3.5-turbo;0.0
124;75;N/A;N/A;numeric;realistic;collider;economy;b;mmp;gpt-3.5-turbo;0.0
125;75;N/A;N/A;numeric;realistic;collider;economy;c;mmp;gpt-3.5-turbo;0.0
126;75;N/A;N/A;numeric;realistic;collider;economy;c;mmp;gpt-3.5-turbo;0.0
127;75;N/A;N/A;numeric;realistic;collider;economy;d;mmp;gpt-3.5-turbo;0.0
128;75;N/A;N/A;numeric;realistic;collider;economy;d;mmp;gpt-3.5-turbo;0.0
129;50;N/A;N/A;numeric;realistic;collider;economy;e;mmp;gpt-3.5-turbo;0.0
130;50;N/A;N/A;numeric;realistic;collider;economy;e;mmp;gpt-3.5-turbo;0.0
131;75;N/A;N/A;numeric;realistic;collider;economy;f;mmp;gpt-3.5-turbo;0.0
132;75;N/A;N/A;numeric;realistic;collider;economy;f;mmp;gpt-3.5-turbo;0.0
133;75;N/A;N/A;numeric;realistic;collider;economy;g;mmp;gpt-3.5-turbo;0.0
134;50;N/A;N/A;numeric;realistic;collider;economy;g;mmp;gpt-3.5-turbo;0.0
135;50;N/A;N/A;numeric;realistic;collider;economy;h;mmp;gpt-3.5-turbo;0.0
136;50;N/A;N/A;numeric;realistic;collider;economy;h;mmp;gpt-3.5-turbo;0.0
