id;response;prompt_category;graph;domain;task;cntbl_cond;subject;temperature
1;85;single_numeric_response;collider;economy;a;ppp;gpt-3.5-turbo;0.7
2;85;single_numeric_response;collider;economy;a;ppp;gpt-3.5-turbo;0.7
3;90;single_numeric_response;collider;economy;b;ppp;gpt-3.5-turbo;0.7
4;80;single_numeric_response;collider;economy;b;ppp;gpt-3.5-turbo;0.7
5;80;single_numeric_response;collider;economy;c;ppp;gpt-3.5-turbo;0.7
6;80;single_numeric_response;collider;economy;c;ppp;gpt-3.5-turbo;0.7
7;80;single_numeric_response;collider;economy;d;ppp;gpt-3.5-turbo;0.7
8;85;single_numeric_response;collider;economy;d;ppp;gpt-3.5-turbo;0.7
9;75;single_numeric_response;collider;economy;e;ppp;gpt-3.5-turbo;0.7
10;80;single_numeric_response;collider;economy;e;ppp;gpt-3.5-turbo;0.7
11;85;single_numeric_response;collider;economy;f;ppp;gpt-3.5-turbo;0.7
12;85;single_numeric_response;collider;economy;f;ppp;gpt-3.5-turbo;0.7
13;85;single_numeric_response;collider;economy;g;ppp;gpt-3.5-turbo;0.7
14;80;single_numeric_response;collider;economy;g;ppp;gpt-3.5-turbo;0.7
15;50;single_numeric_response;collider;economy;h;ppp;gpt-3.5-turbo;0.7
16;50;single_numeric_response;collider;economy;h;ppp;gpt-3.5-turbo;0.7
17;50;single_numeric_response;collider;economy;i;ppp;gpt-3.5-turbo;0.7
18;85;single_numeric_response;collider;economy;j;ppp;gpt-3.5-turbo;0.7
19;85;single_numeric_response;collider;economy;j;ppp;gpt-3.5-turbo;0.7
20;85;single_numeric_response;collider;economy;k;ppp;gpt-3.5-turbo;0.7
61;90;single_numeric_response;collider;economy;a;pmm;gpt-3.5-turbo;0.7
62;75;single_numeric_response;collider;economy;a;pmm;gpt-3.5-turbo;0.7
63;75;single_numeric_response;collider;economy;b;pmm;gpt-3.5-turbo;0.7
64;80;single_numeric_response;collider;economy;b;pmm;gpt-3.5-turbo;0.7
65;80;single_numeric_response;collider;economy;c;pmm;gpt-3.5-turbo;0.7
66;75;single_numeric_response;collider;economy;c;pmm;gpt-3.5-turbo;0.7
67;80;single_numeric_response;collider;economy;d;pmm;gpt-3.5-turbo;0.7
68;75;single_numeric_response;collider;economy;d;pmm;gpt-3.5-turbo;0.7
69;70;single_numeric_response;collider;economy;e;pmm;gpt-3.5-turbo;0.7
70;75;single_numeric_response;collider;economy;e;pmm;gpt-3.5-turbo;0.7
71;60;single_numeric_response;collider;economy;f;pmm;gpt-3.5-turbo;0.7
72;50;single_numeric_response;collider;economy;f;pmm;gpt-3.5-turbo;0.7
73;70;single_numeric_response;collider;economy;g;pmm;gpt-3.5-turbo;0.7
74;70;single_numeric_response;collider;economy;g;pmm;gpt-3.5-turbo;0.7
75;75;single_numeric_response;collider;economy;h;pmm;gpt-3.5-turbo;0.7
76;50;single_numeric_response;collider;economy;h;pmm;gpt-3.5-turbo;0.7
77;75;single_numeric_response;collider;economy;i;pmm;gpt-3.5-turbo;0.7
78;85;single_numeric_response;collider;economy;j;pmm;gpt-3.5-turbo;0.7
79;80;single_numeric_response;collider;economy;j;pmm;gpt-3.5-turbo;0.7
80;90;single_numeric_response;collider;economy;k;pmm;gpt-3.5-turbo;0.7
101;75;single_numeric_response;collider;economy;a;mpm;gpt-3.5-turbo;0.7
102;85;single_numeric_response;collider;economy;a;mpm;gpt-3.5-turbo;0.7
103;80;single_numeric_response;collider;economy;b;mpm;gpt-3.5-turbo;0.7
104;80;single_numeric_response;collider;economy;b;mpm;gpt-3.5-turbo;0.7
105;75;single_numeric_response;collider;economy;c;mpm;gpt-3.5-turbo;0.7
106;70;single_numeric_response;collider;economy;c;mpm;gpt-3.5-turbo;0.7
107;50;single_numeric_response;collider;economy;d;mpm;gpt-3.5-turbo;0.7
108;75;single_numeric_response;collider;economy;d;mpm;gpt-3.5-turbo;0.7
109;70;single_numeric_response;collider;economy;e;mpm;gpt-3.5-turbo;0.7
110;50;single_numeric_response;collider;economy;e;mpm;gpt-3.5-turbo;0.7
111;50;single_numeric_response;collider;economy;f;mpm;gpt-3.5-turbo;0.7
112;75;single_numeric_response;collider;economy;f;mpm;gpt-3.5-turbo;0.7
113;70;single_numeric_response;collider;economy;g;mpm;gpt-3.5-turbo;0.7
114;75;single_numeric_response;collider;economy;g;mpm;gpt-3.5-turbo;0.7
115;70;single_numeric_response;collider;economy;h;mpm;gpt-3.5-turbo;0.7
116;50;single_numeric_response;collider;economy;h;mpm;gpt-3.5-turbo;0.7
117;70;single_numeric_response;collider;economy;i;mpm;gpt-3.5-turbo;0.7
118;80;single_numeric_response;collider;economy;j;mpm;gpt-3.5-turbo;0.7
119;85;single_numeric_response;collider;economy;j;mpm;gpt-3.5-turbo;0.7
120;90;single_numeric_response;collider;economy;k;mpm;gpt-3.5-turbo;0.7
121;85;single_numeric_response;collider;economy;a;mmp;gpt-3.5-turbo;0.7
122;80;single_numeric_response;collider;economy;a;mmp;gpt-3.5-turbo;0.7
123;85;single_numeric_response;collider;economy;b;mmp;gpt-3.5-turbo;0.7
124;85;single_numeric_response;collider;economy;b;mmp;gpt-3.5-turbo;0.7
125;80;single_numeric_response;collider;economy;c;mmp;gpt-3.5-turbo;0.7
126;50;single_numeric_response;collider;economy;c;mmp;gpt-3.5-turbo;0.7
127;80;single_numeric_response;collider;economy;d;mmp;gpt-3.5-turbo;0.7
128;75;single_numeric_response;collider;economy;d;mmp;gpt-3.5-turbo;0.7
129;70;single_numeric_response;collider;economy;e;mmp;gpt-3.5-turbo;0.7
130;70;single_numeric_response;collider;economy;e;mmp;gpt-3.5-turbo;0.7
131;75;single_numeric_response;collider;economy;f;mmp;gpt-3.5-turbo;0.7
132;75;single_numeric_response;collider;economy;f;mmp;gpt-3.5-turbo;0.7
133;75;single_numeric_response;collider;economy;g;mmp;gpt-3.5-turbo;0.7
