id;response;prompt_category;graph;domain;task;cntbl_cond;subject;temperature
1;50;single_numeric_response;collider;economy;a;ppp;gpt-4.1-mini;0.0
2;50;single_numeric_response;collider;economy;a;ppp;gpt-4.1-mini;0.0
3;50;single_numeric_response;collider;economy;b;ppp;gpt-4.1-mini;0.0
4;50;single_numeric_response;collider;economy;b;ppp;gpt-4.1-mini;0.0
5;70;single_numeric_response;collider;economy;c;ppp;gpt-4.1-mini;0.0
6;80;single_numeric_response;collider;economy;c;ppp;gpt-4.1-mini;0.0
7;50;single_numeric_response;collider;economy;d;ppp;gpt-4.1-mini;0.0
8;50;single_numeric_response;collider;economy;d;ppp;gpt-4.1-mini;0.0
9;50;single_numeric_response;collider;economy;e;ppp;gpt-4.1-mini;0.0
10;50;single_numeric_response;collider;economy;e;ppp;gpt-4.1-mini;0.0
11;0;single_numeric_response;collider;economy;f;ppp;gpt-4.1-mini;0.0
12;0;single_numeric_response;collider;economy;f;ppp;gpt-4.1-mini;0.0
13;20;single_numeric_response;collider;economy;g;ppp;gpt-4.1-mini;0.0
14;0;single_numeric_response;collider;economy;g;ppp;gpt-4.1-mini;0.0
15;0;single_numeric_response;collider;economy;h;ppp;gpt-4.1-mini;0.0
16;50;single_numeric_response;collider;economy;h;ppp;gpt-4.1-mini;0.0
17;50;single_numeric_response;collider;economy;i;ppp;gpt-4.1-mini;0.0
18;70;single_numeric_response;collider;economy;j;ppp;gpt-4.1-mini;0.0
19;70;single_numeric_response;collider;economy;j;ppp;gpt-4.1-mini;0.0
20;100;single_numeric_response;collider;economy;k;ppp;gpt-4.1-mini;0.0
61;50;single_numeric_response;collider;economy;a;pmm;gpt-4.1-mini;0.0
62;50;single_numeric_response;collider;economy;a;pmm;gpt-4.1-mini;0.0
63;70;single_numeric_response;collider;economy;b;pmm;gpt-4.1-mini;0.0
64;50;single_numeric_response;collider;economy;b;pmm;gpt-4.1-mini;0.0
65;100;single_numeric_response;collider;economy;c;pmm;gpt-4.1-mini;0.0
66;100;single_numeric_response;collider;economy;c;pmm;gpt-4.1-mini;0.0
67;50;single_numeric_response;collider;economy;d;pmm;gpt-4.1-mini;0.0
68;50;single_numeric_response;collider;economy;d;pmm;gpt-4.1-mini;0.0
69;50;single_numeric_response;collider;economy;e;pmm;gpt-4.1-mini;0.0
