id;response;prompt_category;graph;domain;task;cntbl_cond;subject;temperature
1;70;single_numeric_response;collider;economy;a;ppp;gpt-4;0.0
2;50;single_numeric_response;collider;economy;a;ppp;gpt-4;0.0
3;50;single_numeric_response;collider;economy;b;ppp;gpt-4;0.0
4;50;single_numeric_response;collider;economy;b;ppp;gpt-4;0.0
5;50;single_numeric_response;collider;economy;c;ppp;gpt-4;0.0
6;70;single_numeric_response;collider;economy;c;ppp;gpt-4;0.0
7;50;single_numeric_response;collider;economy;d;ppp;gpt-4;0.0
8;50;single_numeric_response;collider;economy;d;ppp;gpt-4;0.0
9;50;single_numeric_response;collider;economy;e;ppp;gpt-4;0.0
10;50;single_numeric_response;collider;economy;e;ppp;gpt-4;0.0
11;50;single_numeric_response;collider;economy;f;ppp;gpt-4;0.0
12;50;single_numeric_response;collider;economy;f;ppp;gpt-4;0.0
13;50;single_numeric_response;collider;economy;g;ppp;gpt-4;0.0
14;50;single_numeric_response;collider;economy;g;ppp;gpt-4;0.0
15;50;single_numeric_response;collider;economy;h;ppp;gpt-4;0.0
16;50;single_numeric_response;collider;economy;h;ppp;gpt-4;0.0
17;50;single_numeric_response;collider;economy;i;ppp;gpt-4;0.0
18;50;single_numeric_response;collider;economy;j;ppp;gpt-4;0.0
19;75;single_numeric_response;collider;economy;j;ppp;gpt-4;0.0
20;90;single_numeric_response;collider;economy;k;ppp;gpt-4;0.0
61;50;single_numeric_response;collider;economy;a;pmm;gpt-4;0.0
62;50;single_numeric_response;collider;economy;a;pmm;gpt-4;0.0
63;50;single_numeric_response;collider;economy;b;pmm;gpt-4;0.0
64;50;single_numeric_response;collider;economy;b;pmm;gpt-4;0.0
65;70;single_numeric_response;collider;economy;c;pmm;gpt-4;0.0
66;70;single_numeric_response;collider;economy;c;pmm;gpt-4;0.0
67;50;single_numeric_response;collider;economy;d;pmm;gpt-4;0.0
68;50;single_numeric_response;collider;economy;d;pmm;gpt-4;0.0
69;50;single_numeric_response;collider;economy;e;pmm;gpt-4;0.0
70;50;single_numeric_response;collider;economy;e;pmm;gpt-4;0.0
71;50;single_numeric_response;collider;economy;f;pmm;gpt-4;0.0
72;50;single_numeric_response;collider;economy;f;pmm;gpt-4;0.0
73;50;single_numeric_response;collider;economy;g;pmm;gpt-4;0.0
74;50;single_numeric_response;collider;economy;g;pmm;gpt-4;0.0
75;50;single_numeric_response;collider;economy;h;pmm;gpt-4;0.0
76;50;single_numeric_response;collider;economy;h;pmm;gpt-4;0.0
77;0;single_numeric_response;collider;economy;i;pmm;gpt-4;0.0
78;75;single_numeric_response;collider;economy;j;pmm;gpt-4;0.0
79;100;single_numeric_response;collider;economy;j;pmm;gpt-4;0.0
80;100;single_numeric_response;collider;economy;k;pmm;gpt-4;0.0
101;50;single_numeric_response;collider;economy;a;mpm;gpt-4;0.0
102;50;single_numeric_response;collider;economy;a;mpm;gpt-4;0.0
103;50;single_numeric_response;collider;economy;b;mpm;gpt-4;0.0
104;50;single_numeric_response;collider;economy;b;mpm;gpt-4;0.0
105;70;single_numeric_response;collider;economy;c;mpm;gpt-4;0.0
106;70;single_numeric_response;collider;economy;c;mpm;gpt-4;0.0
107;50;single_numeric_response;collider;economy;d;mpm;gpt-4;0.0
108;50;single_numeric_response;collider;economy;d;mpm;gpt-4;0.0
109;50;single_numeric_response;collider;economy;e;mpm;gpt-4;0.0
110;50;single_numeric_response;collider;economy;e;mpm;gpt-4;0.0
111;50;single_numeric_response;collider;economy;f;mpm;gpt-4;0.0
112;50;single_numeric_response;collider;economy;f;mpm;gpt-4;0.0
113;50;single_numeric_response;collider;economy;g;mpm;gpt-4;0.0
114;50;single_numeric_response;collider;economy;g;mpm;gpt-4;0.0
115;50;single_numeric_response;collider;economy;h;mpm;gpt-4;0.0
116;50;single_numeric_response;collider;economy;h;mpm;gpt-4;0.0
117;50;single_numeric_response;collider;economy;i;mpm;gpt-4;0.0
118;75;single_numeric_response;collider;economy;j;mpm;gpt-4;0.0
119;90;single_numeric_response;collider;economy;j;mpm;gpt-4;0.0
120;100;single_numeric_response;collider;economy;k;mpm;gpt-4;0.0
121;50;single_numeric_response;collider;economy;a;mmp;gpt-4;0.0
122;50;single_numeric_response;collider;economy;a;mmp;gpt-4;0.0
123;50;single_numeric_response;collider;economy;b;mmp;gpt-4;0.0
124;50;single_numeric_response;collider;economy;b;mmp;gpt-4;0.0
125;70;single_numeric_response;collider;economy;c;mmp;gpt-4;0.0
126;100;single_numeric_response;collider;economy;c;mmp;gpt-4;0.0
127;50;single_numeric_response;collider;economy;d;mmp;gpt-4;0.0
128;50;single_numeric_response;collider;economy;d;mmp;gpt-4;0.0
129;50;single_numeric_response;collider;economy;e;mmp;gpt-4;0.0
130;50;single_numeric_response;collider;economy;e;mmp;gpt-4;0.0
131;50;single_numeric_response;collider;economy;f;mmp;gpt-4;0.0
132;50;single_numeric_response;collider;economy;f;mmp;gpt-4;0.0
133;50;single_numeric_response;collider;economy;g;mmp;gpt-4;0.0
134;50;single_numeric_response;collider;economy;g;mmp;gpt-4;0.0
135;50;single_numeric_response;collider;economy;h;mmp;gpt-4;0.0
136;50;single_numeric_response;collider;economy;h;mmp;gpt-4;0.0
137;50;single_numeric_response;collider;economy;i;mmp;gpt-4;0.0
138;75;single_numeric_response;collider;economy;j;mmp;gpt-4;0.0
139;80;single_numeric_response;collider;economy;j;mmp;gpt-4;0.0
140;100;single_numeric_response;collider;economy;k;mmp;gpt-4;0.0
161;50;single_numeric_response;collider;sociology;a;ppp;gpt-4;0.0
162;50;single_numeric_response;collider;sociology;a;ppp;gpt-4;0.0
163;50;single_numeric_response;collider;sociology;b;ppp;gpt-4;0.0
164;50;single_numeric_response;collider;sociology;b;ppp;gpt-4;0.0
165;70;single_numeric_response;collider;sociology;c;ppp;gpt-4;0.0
166;100;single_numeric_response;collider;sociology;c;ppp;gpt-4;0.0
167;50;single_numeric_response;collider;sociology;d;ppp;gpt-4;0.0
168;50;single_numeric_response;collider;sociology;d;ppp;gpt-4;0.0
169;50;single_numeric_response;collider;sociology;e;ppp;gpt-4;0.0
170;50;single_numeric_response;collider;sociology;e;ppp;gpt-4;0.0
171;50;single_numeric_response;collider;sociology;f;ppp;gpt-4;0.0
172;50;single_numeric_response;collider;sociology;f;ppp;gpt-4;0.0
173;50;single_numeric_response;collider;sociology;g;ppp;gpt-4;0.0
174;50;single_numeric_response;collider;sociology;g;ppp;gpt-4;0.0
175;50;single_numeric_response;collider;sociology;h;ppp;gpt-4;0.0
176;50;single_numeric_response;collider;sociology;h;ppp;gpt-4;0.0
177;50;single_numeric_response;collider;sociology;i;ppp;gpt-4;0.0
178;50;single_numeric_response;collider;sociology;j;ppp;gpt-4;0.0
179;75;single_numeric_response;collider;sociology;j;ppp;gpt-4;0.0
180;100;single_numeric_response;collider;sociology;k;ppp;gpt-4;0.0
221;50;single_numeric_response;collider;sociology;a;pmm;gpt-4;0.0
222;50;single_numeric_response;collider;sociology;a;pmm;gpt-4;0.0
223;50;single_numeric_response;collider;sociology;b;pmm;gpt-4;0.0
224;50;single_numeric_response;collider;sociology;b;pmm;gpt-4;0.0
225;70;single_numeric_response;collider;sociology;c;pmm;gpt-4;0.0
226;100;single_numeric_response;collider;sociology;c;pmm;gpt-4;0.0
227;50;single_numeric_response;collider;sociology;d;pmm;gpt-4;0.0
228;50;single_numeric_response;collider;sociology;d;pmm;gpt-4;0.0
229;50;single_numeric_response;collider;sociology;e;pmm;gpt-4;0.0
230;50;single_numeric_response;collider;sociology;e;pmm;gpt-4;0.0
231;50;single_numeric_response;collider;sociology;f;pmm;gpt-4;0.0
232;50;single_numeric_response;collider;sociology;f;pmm;gpt-4;0.0
233;50;single_numeric_response;collider;sociology;g;pmm;gpt-4;0.0
234;50;single_numeric_response;collider;sociology;g;pmm;gpt-4;0.0
235;50;single_numeric_response;collider;sociology;h;pmm;gpt-4;0.0
236;50;single_numeric_response;collider;sociology;h;pmm;gpt-4;0.0
237;50;single_numeric_response;collider;sociology;i;pmm;gpt-4;0.0
238;75;single_numeric_response;collider;sociology;j;pmm;gpt-4;0.0
239;75;single_numeric_response;collider;sociology;j;pmm;gpt-4;0.0
