id;response;prompt_category;graph;domain;task;cntbl_cond;subject;temperature
1;50;single_numeric_response;collider;economy;a;ppp;gpt-4o;0.7
2;50;single_numeric_response;collider;economy;a;ppp;gpt-4o;0.7
3;50;single_numeric_response;collider;economy;b;ppp;gpt-4o;0.7
4;50;single_numeric_response;collider;economy;b;ppp;gpt-4o;0.7
5;100;single_numeric_response;collider;economy;c;ppp;gpt-4o;0.7
6;100;single_numeric_response;collider;economy;c;ppp;gpt-4o;0.7
7;50;single_numeric_response;collider;economy;d;ppp;gpt-4o;0.7
8;50;single_numeric_response;collider;economy;d;ppp;gpt-4o;0.7
9;50;single_numeric_response;collider;economy;e;ppp;gpt-4o;0.7
10;50;single_numeric_response;collider;economy;e;ppp;gpt-4o;0.7
11;0;single_numeric_response;collider;economy;f;ppp;gpt-4o;0.7
12;0;single_numeric_response;collider;economy;f;ppp;gpt-4o;0.7
13;0;single_numeric_response;collider;economy;g;ppp;gpt-4o;0.7
14;50;single_numeric_response;collider;economy;g;ppp;gpt-4o;0.7
15;0;single_numeric_response;collider;economy;h;ppp;gpt-4o;0.7
16;0;single_numeric_response;collider;economy;h;ppp;gpt-4o;0.7
17;0;single_numeric_response;collider;economy;i;ppp;gpt-4o;0.7
18;100;single_numeric_response;collider;economy;j;ppp;gpt-4o;0.7
19;100;single_numeric_response;collider;economy;j;ppp;gpt-4o;0.7
20;100;single_numeric_response;collider;economy;k;ppp;gpt-4o;0.7
61;50;single_numeric_response;collider;economy;a;pmm;gpt-4o;0.7
62;50;single_numeric_response;collider;economy;a;pmm;gpt-4o;0.7
63;50;single_numeric_response;collider;economy;b;pmm;gpt-4o;0.7
64;50;single_numeric_response;collider;economy;b;pmm;gpt-4o;0.7
65;100;single_numeric_response;collider;economy;c;pmm;gpt-4o;0.7
66;100;single_numeric_response;collider;economy;c;pmm;gpt-4o;0.7
67;50;single_numeric_response;collider;economy;d;pmm;gpt-4o;0.7
68;50;single_numeric_response;collider;economy;d;pmm;gpt-4o;0.7
69;50;single_numeric_response;collider;economy;e;pmm;gpt-4o;0.7
70;50;single_numeric_response;collider;economy;e;pmm;gpt-4o;0.7
71;0;single_numeric_response;collider;economy;f;pmm;gpt-4o;0.7
72;0;single_numeric_response;collider;economy;f;pmm;gpt-4o;0.7
73;0;single_numeric_response;collider;economy;g;pmm;gpt-4o;0.7
74;0;single_numeric_response;collider;economy;g;pmm;gpt-4o;0.7
75;0;single_numeric_response;collider;economy;h;pmm;gpt-4o;0.7
76;0;single_numeric_response;collider;economy;h;pmm;gpt-4o;0.7
77;0;single_numeric_response;collider;economy;i;pmm;gpt-4o;0.7
78;100;single_numeric_response;collider;economy;j;pmm;gpt-4o;0.7
79;100;single_numeric_response;collider;economy;j;pmm;gpt-4o;0.7
80;100;single_numeric_response;collider;economy;k;pmm;gpt-4o;0.7
101;0;single_numeric_response;collider;economy;a;mpm;gpt-4o;0.7
102;50;single_numeric_response;collider;economy;a;mpm;gpt-4o;0.7
103;50;single_numeric_response;collider;economy;b;mpm;gpt-4o;0.7
104;50;single_numeric_response;collider;economy;b;mpm;gpt-4o;0.7
105;100;single_numeric_response;collider;economy;c;mpm;gpt-4o;0.7
106;100;single_numeric_response;collider;economy;c;mpm;gpt-4o;0.7
107;50;single_numeric_response;collider;economy;d;mpm;gpt-4o;0.7
108;50;single_numeric_response;collider;economy;d;mpm;gpt-4o;0.7
109;0;single_numeric_response;collider;economy;e;mpm;gpt-4o;0.7
110;100;single_numeric_response;collider;economy;e;mpm;gpt-4o;0.7
111;0;single_numeric_response;collider;economy;f;mpm;gpt-4o;0.7
112;0;single_numeric_response;collider;economy;f;mpm;gpt-4o;0.7
113;0;single_numeric_response;collider;economy;g;mpm;gpt-4o;0.7
114;0;single_numeric_response;collider;economy;g;mpm;gpt-4o;0.7
115;0;single_numeric_response;collider;economy;h;mpm;gpt-4o;0.7
116;0;single_numeric_response;collider;economy;h;mpm;gpt-4o;0.7
117;0;single_numeric_response;collider;economy;i;mpm;gpt-4o;0.7
118;100;single_numeric_response;collider;economy;j;mpm;gpt-4o;0.7
119;100;single_numeric_response;collider;economy;j;mpm;gpt-4o;0.7
120;100;single_numeric_response;collider;economy;k;mpm;gpt-4o;0.7
121;50;single_numeric_response;collider;economy;a;mmp;gpt-4o;0.7
122;50;single_numeric_response;collider;economy;a;mmp;gpt-4o;0.7
123;50;single_numeric_response;collider;economy;b;mmp;gpt-4o;0.7
124;50;single_numeric_response;collider;economy;b;mmp;gpt-4o;0.7
125;100;single_numeric_response;collider;economy;c;mmp;gpt-4o;0.7
126;100;single_numeric_response;collider;economy;c;mmp;gpt-4o;0.7
127;0;single_numeric_response;collider;economy;d;mmp;gpt-4o;0.7
128;50;single_numeric_response;collider;economy;d;mmp;gpt-4o;0.7
129;50;single_numeric_response;collider;economy;e;mmp;gpt-4o;0.7
130;50;single_numeric_response;collider;economy;e;mmp;gpt-4o;0.7
131;0;single_numeric_response;collider;economy;f;mmp;gpt-4o;0.7
132;0;single_numeric_response;collider;economy;f;mmp;gpt-4o;0.7
133;0;single_numeric_response;collider;economy;g;mmp;gpt-4o;0.7
134;0;single_numeric_response;collider;economy;g;mmp;gpt-4o;0.7
135;0;single_numeric_response;collider;economy;h;mmp;gpt-4o;0.7
136;0;single_numeric_response;collider;economy;h;mmp;gpt-4o;0.7
137;0;single_numeric_response;collider;economy;i;mmp;gpt-4o;0.7
138;100;single_numeric_response;collider;economy;j;mmp;gpt-4o;0.7
139;100;single_numeric_response;collider;economy;j;mmp;gpt-4o;0.7
140;100;single_numeric_response;collider;economy;k;mmp;gpt-4o;0.7
161;50;single_numeric_response;collider;sociology;a;ppp;gpt-4o;0.7
162;50;single_numeric_response;collider;sociology;a;ppp;gpt-4o;0.7
163;50;single_numeric_response;collider;sociology;b;ppp;gpt-4o;0.7
164;50;single_numeric_response;collider;sociology;b;ppp;gpt-4o;0.7
165;100;single_numeric_response;collider;sociology;c;ppp;gpt-4o;0.7
166;100;single_numeric_response;collider;sociology;c;ppp;gpt-4o;0.7
167;50;single_numeric_response;collider;sociology;d;ppp;gpt-4o;0.7
168;50;single_numeric_response;collider;sociology;d;ppp;gpt-4o;0.7
169;50;single_numeric_response;collider;sociology;e;ppp;gpt-4o;0.7
170;50;single_numeric_response;collider;sociology;e;ppp;gpt-4o;0.7
171;0;single_numeric_response;collider;sociology;f;ppp;gpt-4o;0.7
172;0;single_numeric_response;collider;sociology;f;ppp;gpt-4o;0.7
173;0;single_numeric_response;collider;sociology;g;ppp;gpt-4o;0.7
174;50;single_numeric_response;collider;sociology;g;ppp;gpt-4o;0.7
175;0;single_numeric_response;collider;sociology;h;ppp;gpt-4o;0.7
176;0;single_numeric_response;collider;sociology;h;ppp;gpt-4o;0.7
177;0;single_numeric_response;collider;sociology;i;ppp;gpt-4o;0.7
178;100;single_numeric_response;collider;sociology;j;ppp;gpt-4o;0.7
179;100;single_numeric_response;collider;sociology;j;ppp;gpt-4o;0.7
180;100;single_numeric_response;collider;sociology;k;ppp;gpt-4o;0.7
221;0;single_numeric_response;collider;sociology;a;pmm;gpt-4o;0.7
222;0;single_numeric_response;collider;sociology;a;pmm;gpt-4o;0.7
223;50;single_numeric_response;collider;sociology;b;pmm;gpt-4o;0.7
224;50;single_numeric_response;collider;sociology;b;pmm;gpt-4o;0.7
225;100;single_numeric_response;collider;sociology;c;pmm;gpt-4o;0.7
226;100;single_numeric_response;collider;sociology;c;pmm;gpt-4o;0.7
227;0;single_numeric_response;collider;sociology;d;pmm;gpt-4o;0.7
228;50;single_numeric_response;collider;sociology;d;pmm;gpt-4o;0.7
229;50;single_numeric_response;collider;sociology;e;pmm;gpt-4o;0.7
230;50;single_numeric_response;collider;sociology;e;pmm;gpt-4o;0.7
231;0;single_numeric_response;collider;sociology;f;pmm;gpt-4o;0.7
232;0;single_numeric_response;collider;sociology;f;pmm;gpt-4o;0.7
233;0;single_numeric_response;collider;sociology;g;pmm;gpt-4o;0.7
234;0;single_numeric_response;collider;sociology;g;pmm;gpt-4o;0.7
235;0;single_numeric_response;collider;sociology;h;pmm;gpt-4o;0.7
236;0;single_numeric_response;collider;sociology;h;pmm;gpt-4o;0.7
237;0;single_numeric_response;collider;sociology;i;pmm;gpt-4o;0.7
238;100;single_numeric_response;collider;sociology;j;pmm;gpt-4o;0.7
