id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;75;minimal;low;numeric;realistic;collider;economy;a;ppp;gpt-5-mini;0.0
2;60;minimal;low;numeric;realistic;collider;economy;a;ppp;gpt-5-mini;0.0
3;60;minimal;low;numeric;realistic;collider;economy;b;ppp;gpt-5-mini;0.0
4;50;minimal;low;numeric;realistic;collider;economy;b;ppp;gpt-5-mini;0.0
5;50;minimal;low;numeric;realistic;collider;economy;c;ppp;gpt-5-mini;0.0
6;30;minimal;low;numeric;realistic;collider;economy;c;ppp;gpt-5-mini;0.0
7;50;minimal;low;numeric;realistic;collider;economy;d;ppp;gpt-5-mini;0.0
8;50;minimal;low;numeric;realistic;collider;economy;d;ppp;gpt-5-mini;0.0
9;50;minimal;low;numeric;realistic;collider;economy;e;ppp;gpt-5-mini;0.0
10;50;minimal;low;numeric;realistic;collider;economy;e;ppp;gpt-5-mini;0.0
11;33;minimal;low;numeric;realistic;collider;economy;f;ppp;gpt-5-mini;0.0
12;20;minimal;low;numeric;realistic;collider;economy;f;ppp;gpt-5-mini;0.0
13;30;minimal;low;numeric;realistic;collider;economy;g;ppp;gpt-5-mini;0.0
14;50;minimal;low;numeric;realistic;collider;economy;g;ppp;gpt-5-mini;0.0
15;10;minimal;low;numeric;realistic;collider;economy;h;ppp;gpt-5-mini;0.0
16;50;minimal;low;numeric;realistic;collider;economy;h;ppp;gpt-5-mini;0.0
17;20;minimal;low;numeric;realistic;collider;economy;i;ppp;gpt-5-mini;0.0
18;70;minimal;low;numeric;realistic;collider;economy;j;ppp;gpt-5-mini;0.0
19;75;minimal;low;numeric;realistic;collider;economy;j;ppp;gpt-5-mini;0.0
20;85;minimal;low;numeric;realistic;collider;economy;k;ppp;gpt-5-mini;0.0
61;50;minimal;low;numeric;realistic;collider;economy;a;pmm;gpt-5-mini;0.0
62;50;minimal;low;numeric;realistic;collider;economy;a;pmm;gpt-5-mini;0.0
63;60;minimal;low;numeric;realistic;collider;economy;b;pmm;gpt-5-mini;0.0
64;50;minimal;low;numeric;realistic;collider;economy;b;pmm;gpt-5-mini;0.0
65;60;minimal;low;numeric;realistic;collider;economy;c;pmm;gpt-5-mini;0.0
66;50;minimal;low;numeric;realistic;collider;economy;c;pmm;gpt-5-mini;0.0
67;30;minimal;low;numeric;realistic;collider;economy;d;pmm;gpt-5-mini;0.0
68;20;minimal;low;numeric;realistic;collider;economy;d;pmm;gpt-5-mini;0.0
69;50;minimal;low;numeric;realistic;collider;economy;e;pmm;gpt-5-mini;0.0
70;50;minimal;low;numeric;realistic;collider;economy;e;pmm;gpt-5-mini;0.0
71;50;minimal;low;numeric;realistic;collider;economy;f;pmm;gpt-5-mini;0.0
72;50;minimal;low;numeric;realistic;collider;economy;f;pmm;gpt-5-mini;0.0
73;10;minimal;low;numeric;realistic;collider;economy;g;pmm;gpt-5-mini;0.0
74;30;minimal;low;numeric;realistic;collider;economy;g;pmm;gpt-5-mini;0.0
75;20;minimal;low;numeric;realistic;collider;economy;h;pmm;gpt-5-mini;0.0
76;50;minimal;low;numeric;realistic;collider;economy;h;pmm;gpt-5-mini;0.0
77;5;minimal;low;numeric;realistic;collider;economy;i;pmm;gpt-5-mini;0.0
78;70;minimal;low;numeric;realistic;collider;economy;j;pmm;gpt-5-mini;0.0
79;70;minimal;low;numeric;realistic;collider;economy;j;pmm;gpt-5-mini;0.0
80;85;minimal;low;numeric;realistic;collider;economy;k;pmm;gpt-5-mini;0.0
101;50;minimal;low;numeric;realistic;collider;economy;a;mpm;gpt-5-mini;0.0
102;50;minimal;low;numeric;realistic;collider;economy;a;mpm;gpt-5-mini;0.0
103;60;minimal;low;numeric;realistic;collider;economy;b;mpm;gpt-5-mini;0.0
104;50;minimal;low;numeric;realistic;collider;economy;b;mpm;gpt-5-mini;0.0
105;50;minimal;low;numeric;realistic;collider;economy;c;mpm;gpt-5-mini;0.0
106;50;minimal;low;numeric;realistic;collider;economy;c;mpm;gpt-5-mini;0.0
107;50;minimal;low;numeric;realistic;collider;economy;d;mpm;gpt-5-mini;0.0
108;50;minimal;low;numeric;realistic;collider;economy;d;mpm;gpt-5-mini;0.0
109;50;minimal;low;numeric;realistic;collider;economy;e;mpm;gpt-5-mini;0.0
110;50;minimal;low;numeric;realistic;collider;economy;e;mpm;gpt-5-mini;0.0
111;50;minimal;low;numeric;realistic;collider;economy;f;mpm;gpt-5-mini;0.0
112;50;minimal;low;numeric;realistic;collider;economy;f;mpm;gpt-5-mini;0.0
113;20;minimal;low;numeric;realistic;collider;economy;g;mpm;gpt-5-mini;0.0
114;50;minimal;low;numeric;realistic;collider;economy;g;mpm;gpt-5-mini;0.0
115;50;minimal;low;numeric;realistic;collider;economy;h;mpm;gpt-5-mini;0.0
116;50;minimal;low;numeric;realistic;collider;economy;h;mpm;gpt-5-mini;0.0
117;20;minimal;low;numeric;realistic;collider;economy;i;mpm;gpt-5-mini;0.0
118;70;minimal;low;numeric;realistic;collider;economy;j;mpm;gpt-5-mini;0.0
119;80;minimal;low;numeric;realistic;collider;economy;j;mpm;gpt-5-mini;0.0
120;92;minimal;low;numeric;realistic;collider;economy;k;mpm;gpt-5-mini;0.0
121;67;minimal;low;numeric;realistic;collider;economy;a;mmp;gpt-5-mini;0.0
122;50;minimal;low;numeric;realistic;collider;economy;a;mmp;gpt-5-mini;0.0
123;50;minimal;low;numeric;realistic;collider;economy;b;mmp;gpt-5-mini;0.0
124;50;minimal;low;numeric;realistic;collider;economy;b;mmp;gpt-5-mini;0.0
125;67;minimal;low;numeric;realistic;collider;economy;c;mmp;gpt-5-mini;0.0
126;50;minimal;low;numeric;realistic;collider;economy;c;mmp;gpt-5-mini;0.0
127;50;minimal;low;numeric;realistic;collider;economy;d;mmp;gpt-5-mini;0.0
128;30;minimal;low;numeric;realistic;collider;economy;d;mmp;gpt-5-mini;0.0
129;50;minimal;low;numeric;realistic;collider;economy;e;mmp;gpt-5-mini;0.0
130;50;minimal;low;numeric;realistic;collider;economy;e;mmp;gpt-5-mini;0.0
131;50;minimal;low;numeric;realistic;collider;economy;f;mmp;gpt-5-mini;0.0
132;50;minimal;low;numeric;realistic;collider;economy;f;mmp;gpt-5-mini;0.0
133;33;minimal;low;numeric;realistic;collider;economy;g;mmp;gpt-5-mini;0.0
134;50;minimal;low;numeric;realistic;collider;economy;g;mmp;gpt-5-mini;0.0
135;50;minimal;low;numeric;realistic;collider;economy;h;mmp;gpt-5-mini;0.0
136;50;minimal;low;numeric;realistic;collider;economy;h;mmp;gpt-5-mini;0.0
137;5;minimal;low;numeric;realistic;collider;economy;i;mmp;gpt-5-mini;0.0
138;75;minimal;low;numeric;realistic;collider;economy;j;mmp;gpt-5-mini;0.0
139;80;minimal;low;numeric;realistic;collider;economy;j;mmp;gpt-5-mini;0.0
140;95;minimal;low;numeric;realistic;collider;economy;k;mmp;gpt-5-mini;0.0
161;50;minimal;low;numeric;realistic;collider;sociology;a;ppp;gpt-5-mini;0.0
162;33;minimal;low;numeric;realistic;collider;sociology;a;ppp;gpt-5-mini;0.0
163;50;minimal;low;numeric;realistic;collider;sociology;b;ppp;gpt-5-mini;0.0
164;50;minimal;low;numeric;realistic;collider;sociology;b;ppp;gpt-5-mini;0.0
165;67;minimal;low;numeric;realistic;collider;sociology;c;ppp;gpt-5-mini;0.0
