id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;60;high;low;numeric;realistic;collider;economy;a;ppp;gpt-5-nano;0.0
2;25;high;low;numeric;realistic;collider;economy;a;ppp;gpt-5-nano;0.0
3;57;high;low;numeric;realistic;collider;economy;b;ppp;gpt-5-nano;0.0
4;50;high;low;numeric;realistic;collider;economy;b;ppp;gpt-5-nano;0.0
5;50;high;low;numeric;realistic;collider;economy;c;ppp;gpt-5-nano;0.0
6;50;high;low;numeric;realistic;collider;economy;c;ppp;gpt-5-nano;0.0
7;50;high;low;numeric;realistic;collider;economy;d;ppp;gpt-5-nano;0.0
8;50;high;low;numeric;realistic;collider;economy;d;ppp;gpt-5-nano;0.0
9;50;high;low;numeric;realistic;collider;economy;e;ppp;gpt-5-nano;0.0
10;50;high;low;numeric;realistic;collider;economy;e;ppp;gpt-5-nano;0.0
11;0;high;low;numeric;realistic;collider;economy;f;ppp;gpt-5-nano;0.0
12;20;high;low;numeric;realistic;collider;economy;f;ppp;gpt-5-nano;0.0
13;0;high;low;numeric;realistic;collider;economy;g;ppp;gpt-5-nano;0.0
14;20;high;low;numeric;realistic;collider;economy;g;ppp;gpt-5-nano;0.0
15;0;high;low;numeric;realistic;collider;economy;h;ppp;gpt-5-nano;0.0
16;0;high;low;numeric;realistic;collider;economy;h;ppp;gpt-5-nano;0.0
17;0;high;low;numeric;realistic;collider;economy;i;ppp;gpt-5-nano;0.0
18;75;high;low;numeric;realistic;collider;economy;j;ppp;gpt-5-nano;0.0
19;100;high;low;numeric;realistic;collider;economy;j;ppp;gpt-5-nano;0.0
20;90;high;low;numeric;realistic;collider;economy;k;ppp;gpt-5-nano;0.0
61;50;high;low;numeric;realistic;collider;economy;a;pmm;gpt-5-nano;0.0
62;50;high;low;numeric;realistic;collider;economy;a;pmm;gpt-5-nano;0.0
63;50;high;low;numeric;realistic;collider;economy;b;pmm;gpt-5-nano;0.0
64;50;high;low;numeric;realistic;collider;economy;b;pmm;gpt-5-nano;0.0
