id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;80;low;low;numeric;realistic;collider;economy;a;ppp;gpt-5-nano;0.0
2;30;low;low;numeric;realistic;collider;economy;a;ppp;gpt-5-nano;0.0
3;60;low;low;numeric;realistic;collider;economy;b;ppp;gpt-5-nano;0.0
4;60;low;low;numeric;realistic;collider;economy;b;ppp;gpt-5-nano;0.0
5;60;low;low;numeric;realistic;collider;economy;c;ppp;gpt-5-nano;0.0
6;60;low;low;numeric;realistic;collider;economy;c;ppp;gpt-5-nano;0.0
7;50;low;low;numeric;realistic;collider;economy;d;ppp;gpt-5-nano;0.0
8;20;low;low;numeric;realistic;collider;economy;d;ppp;gpt-5-nano;0.0
9;50;low;low;numeric;realistic;collider;economy;e;ppp;gpt-5-nano;0.0
10;50;low;low;numeric;realistic;collider;economy;e;ppp;gpt-5-nano;0.0
11;25;low;low;numeric;realistic;collider;economy;f;ppp;gpt-5-nano;0.0
12;25;low;low;numeric;realistic;collider;economy;f;ppp;gpt-5-nano;0.0
13;20;low;low;numeric;realistic;collider;economy;g;ppp;gpt-5-nano;0.0
14;50;low;low;numeric;realistic;collider;economy;g;ppp;gpt-5-nano;0.0
15;25;low;low;numeric;realistic;collider;economy;h;ppp;gpt-5-nano;0.0
16;40;low;low;numeric;realistic;collider;economy;h;ppp;gpt-5-nano;0.0
17;30;low;low;numeric;realistic;collider;economy;i;ppp;gpt-5-nano;0.0
18;70;low;low;numeric;realistic;collider;economy;j;ppp;gpt-5-nano;0.0
19;80;low;low;numeric;realistic;collider;economy;j;ppp;gpt-5-nano;0.0
20;90;low;low;numeric;realistic;collider;economy;k;ppp;gpt-5-nano;0.0
61;40;low;low;numeric;realistic;collider;economy;a;pmm;gpt-5-nano;0.0
62;40;low;low;numeric;realistic;collider;economy;a;pmm;gpt-5-nano;0.0
63;50;low;low;numeric;realistic;collider;economy;b;pmm;gpt-5-nano;0.0
64;50;low;low;numeric;realistic;collider;economy;b;pmm;gpt-5-nano;0.0
65;70;low;low;numeric;realistic;collider;economy;c;pmm;gpt-5-nano;0.0
66;85;low;low;numeric;realistic;collider;economy;c;pmm;gpt-5-nano;0.0
67;0;low;low;numeric;realistic;collider;economy;d;pmm;gpt-5-nano;0.0
68;50;low;low;numeric;realistic;collider;economy;d;pmm;gpt-5-nano;0.0
69;50;low;low;numeric;realistic;collider;economy;e;pmm;gpt-5-nano;0.0
70;50;low;low;numeric;realistic;collider;economy;e;pmm;gpt-5-nano;0.0
71;20;low;low;numeric;realistic;collider;economy;f;pmm;gpt-5-nano;0.0
72;20;low;low;numeric;realistic;collider;economy;f;pmm;gpt-5-nano;0.0
73;20;low;low;numeric;realistic;collider;economy;g;pmm;gpt-5-nano;0.0
74;20;low;low;numeric;realistic;collider;economy;g;pmm;gpt-5-nano;0.0
75;20;low;low;numeric;realistic;collider;economy;h;pmm;gpt-5-nano;0.0
76;0;low;low;numeric;realistic;collider;economy;h;pmm;gpt-5-nano;0.0
77;20;low;low;numeric;realistic;collider;economy;i;pmm;gpt-5-nano;0.0
78;80;low;low;numeric;realistic;collider;economy;j;pmm;gpt-5-nano;0.0
79;85;low;low;numeric;realistic;collider;economy;j;pmm;gpt-5-nano;0.0
80;95;low;low;numeric;realistic;collider;economy;k;pmm;gpt-5-nano;0.0
101;40;low;low;numeric;realistic;collider;economy;a;mpm;gpt-5-nano;0.0
102;30;low;low;numeric;realistic;collider;economy;a;mpm;gpt-5-nano;0.0
103;40;low;low;numeric;realistic;collider;economy;b;mpm;gpt-5-nano;0.0
104;40;low;low;numeric;realistic;collider;economy;b;mpm;gpt-5-nano;0.0
105;65;low;low;numeric;realistic;collider;economy;c;mpm;gpt-5-nano;0.0
106;40;low;low;numeric;realistic;collider;economy;c;mpm;gpt-5-nano;0.0
107;40;low;low;numeric;realistic;collider;economy;d;mpm;gpt-5-nano;0.0
108;50;low;low;numeric;realistic;collider;economy;d;mpm;gpt-5-nano;0.0
109;50;low;low;numeric;realistic;collider;economy;e;mpm;gpt-5-nano;0.0
