id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;25;medium;low;numeric;realistic;collider;economy;a;ppp;gpt-5-nano;0.0
2;25;medium;low;numeric;realistic;collider;economy;a;ppp;gpt-5-nano;0.0
3;70;medium;low;numeric;realistic;collider;economy;b;ppp;gpt-5-nano;0.0
4;67;medium;low;numeric;realistic;collider;economy;b;ppp;gpt-5-nano;0.0
5;60;medium;low;numeric;realistic;collider;economy;c;ppp;gpt-5-nano;0.0
6;70;medium;low;numeric;realistic;collider;economy;c;ppp;gpt-5-nano;0.0
7;50;medium;low;numeric;realistic;collider;economy;d;ppp;gpt-5-nano;0.0
8;50;medium;low;numeric;realistic;collider;economy;d;ppp;gpt-5-nano;0.0
9;50;medium;low;numeric;realistic;collider;economy;e;ppp;gpt-5-nano;0.0
10;50;medium;low;numeric;realistic;collider;economy;e;ppp;gpt-5-nano;0.0
11;20;medium;low;numeric;realistic;collider;economy;f;ppp;gpt-5-nano;0.0
12;20;medium;low;numeric;realistic;collider;economy;f;ppp;gpt-5-nano;0.0
13;20;medium;low;numeric;realistic;collider;economy;g;ppp;gpt-5-nano;0.0
14;25;medium;low;numeric;realistic;collider;economy;g;ppp;gpt-5-nano;0.0
15;20;medium;low;numeric;realistic;collider;economy;h;ppp;gpt-5-nano;0.0
16;0;medium;low;numeric;realistic;collider;economy;h;ppp;gpt-5-nano;0.0
17;0;medium;low;numeric;realistic;collider;economy;i;ppp;gpt-5-nano;0.0
18;70;medium;low;numeric;realistic;collider;economy;j;ppp;gpt-5-nano;0.0
19;100;medium;low;numeric;realistic;collider;economy;j;ppp;gpt-5-nano;0.0
20;90;medium;low;numeric;realistic;collider;economy;k;ppp;gpt-5-nano;0.0
61;50;medium;low;numeric;realistic;collider;economy;a;pmm;gpt-5-nano;0.0
62;30;medium;low;numeric;realistic;collider;economy;a;pmm;gpt-5-nano;0.0
63;50;medium;low;numeric;realistic;collider;economy;b;pmm;gpt-5-nano;0.0
64;50;medium;low;numeric;realistic;collider;economy;b;pmm;gpt-5-nano;0.0
65;90;medium;low;numeric;realistic;collider;economy;c;pmm;gpt-5-nano;0.0
66;50;medium;low;numeric;realistic;collider;economy;c;pmm;gpt-5-nano;0.0
67;50;medium;low;numeric;realistic;collider;economy;d;pmm;gpt-5-nano;0.0
68;50;medium;low;numeric;realistic;collider;economy;d;pmm;gpt-5-nano;0.0
69;50;medium;low;numeric;realistic;collider;economy;e;pmm;gpt-5-nano;0.0
70;50;medium;low;numeric;realistic;collider;economy;e;pmm;gpt-5-nano;0.0
71;20;medium;low;numeric;realistic;collider;economy;f;pmm;gpt-5-nano;0.0
72;25;medium;low;numeric;realistic;collider;economy;f;pmm;gpt-5-nano;0.0
73;0;medium;low;numeric;realistic;collider;economy;g;pmm;gpt-5-nano;0.0
74;0;medium;low;numeric;realistic;collider;economy;g;pmm;gpt-5-nano;0.0
75;0;medium;low;numeric;realistic;collider;economy;h;pmm;gpt-5-nano;0.0
76;0;medium;low;numeric;realistic;collider;economy;h;pmm;gpt-5-nano;0.0
