id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;75;minimal;low;numeric;realistic;collider;economy;a;ppp;gpt-5-nano;0.0
2;72;minimal;low;numeric;realistic;collider;economy;a;ppp;gpt-5-nano;0.0
3;0;minimal;low;numeric;realistic;collider;economy;b;ppp;gpt-5-nano;0.0
4;60;minimal;low;numeric;realistic;collider;economy;b;ppp;gpt-5-nano;0.0
5;70;minimal;low;numeric;realistic;collider;economy;c;ppp;gpt-5-nano;0.0
6;60;minimal;low;numeric;realistic;collider;economy;c;ppp;gpt-5-nano;0.0
7;0;minimal;low;numeric;realistic;collider;economy;d;ppp;gpt-5-nano;0.0
8;70;minimal;low;numeric;realistic;collider;economy;d;ppp;gpt-5-nano;0.0
9;55;minimal;low;numeric;realistic;collider;economy;e;ppp;gpt-5-nano;0.0
10;40;minimal;low;numeric;realistic;collider;economy;e;ppp;gpt-5-nano;0.0
11;50;minimal;low;numeric;realistic;collider;economy;f;ppp;gpt-5-nano;0.0
12;60;minimal;low;numeric;realistic;collider;economy;f;ppp;gpt-5-nano;0.0
13;60;minimal;low;numeric;realistic;collider;economy;g;ppp;gpt-5-nano;0.0
14;60;minimal;low;numeric;realistic;collider;economy;g;ppp;gpt-5-nano;0.0
15;40;minimal;low;numeric;realistic;collider;economy;h;ppp;gpt-5-nano;0.0
16;50;minimal;low;numeric;realistic;collider;economy;h;ppp;gpt-5-nano;0.0
17;50;minimal;low;numeric;realistic;collider;economy;i;ppp;gpt-5-nano;0.0
18;60;minimal;low;numeric;realistic;collider;economy;j;ppp;gpt-5-nano;0.0
19;70;minimal;low;numeric;realistic;collider;economy;j;ppp;gpt-5-nano;0.0
20;70;minimal;low;numeric;realistic;collider;economy;k;ppp;gpt-5-nano;0.0
61;70;minimal;low;numeric;realistic;collider;economy;a;pmm;gpt-5-nano;0.0
62;0;minimal;low;numeric;realistic;collider;economy;a;pmm;gpt-5-nano;0.0
63;60;minimal;low;numeric;realistic;collider;economy;b;pmm;gpt-5-nano;0.0
64;60;minimal;low;numeric;realistic;collider;economy;b;pmm;gpt-5-nano;0.0
65;70;minimal;low;numeric;realistic;collider;economy;c;pmm;gpt-5-nano;0.0
66;60;minimal;low;numeric;realistic;collider;economy;c;pmm;gpt-5-nano;0.0
67;70;minimal;low;numeric;realistic;collider;economy;d;pmm;gpt-5-nano;0.0
68;70;minimal;low;numeric;realistic;collider;economy;d;pmm;gpt-5-nano;0.0
69;70;minimal;low;numeric;realistic;collider;economy;e;pmm;gpt-5-nano;0.0
70;42;minimal;low;numeric;realistic;collider;economy;e;pmm;gpt-5-nano;0.0
71;40;minimal;low;numeric;realistic;collider;economy;f;pmm;gpt-5-nano;0.0
72;55;minimal;low;numeric;realistic;collider;economy;f;pmm;gpt-5-nano;0.0
73;40;minimal;low;numeric;realistic;collider;economy;g;pmm;gpt-5-nano;0.0
