id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;40;low;low;numeric;realistic;collider;economy;a;ppp;gpt-5;0.0
2;50;low;low;numeric;realistic;collider;economy;a;ppp;gpt-5;0.0
3;67;low;low;numeric;realistic;collider;economy;b;ppp;gpt-5;0.0
4;67;low;low;numeric;realistic;collider;economy;b;ppp;gpt-5;0.0
5;100;low;low;numeric;realistic;collider;economy;c;ppp;gpt-5;0.0
6;100;low;low;numeric;realistic;collider;economy;c;ppp;gpt-5;0.0
7;25;low;low;numeric;realistic;collider;economy;d;ppp;gpt-5;0.0
8;50;low;low;numeric;realistic;collider;economy;d;ppp;gpt-5;0.0
9;45;low;low;numeric;realistic;collider;economy;e;ppp;gpt-5;0.0
10;50;low;low;numeric;realistic;collider;economy;e;ppp;gpt-5;0.0
11;10;low;low;numeric;realistic;collider;economy;f;ppp;gpt-5;0.0
12;20;low;low;numeric;realistic;collider;economy;f;ppp;gpt-5;0.0
13;20;low;low;numeric;realistic;collider;economy;g;ppp;gpt-5;0.0
14;0;low;low;numeric;realistic;collider;economy;g;ppp;gpt-5;0.0
15;15;low;low;numeric;realistic;collider;economy;h;ppp;gpt-5;0.0
16;20;low;low;numeric;realistic;collider;economy;h;ppp;gpt-5;0.0
17;10;low;low;numeric;realistic;collider;economy;i;ppp;gpt-5;0.0
18;70;low;low;numeric;realistic;collider;economy;j;ppp;gpt-5;0.0
19;70;low;low;numeric;realistic;collider;economy;j;ppp;gpt-5;0.0
20;95;low;low;numeric;realistic;collider;economy;k;ppp;gpt-5;0.0
61;52;low;low;numeric;realistic;collider;economy;a;pmm;gpt-5;0.0
62;50;low;low;numeric;realistic;collider;economy;a;pmm;gpt-5;0.0
63;50;low;low;numeric;realistic;collider;economy;b;pmm;gpt-5;0.0
64;50;low;low;numeric;realistic;collider;economy;b;pmm;gpt-5;0.0
65;80;low;low;numeric;realistic;collider;economy;c;pmm;gpt-5;0.0
66;100;low;low;numeric;realistic;collider;economy;c;pmm;gpt-5;0.0
67;50;low;low;numeric;realistic;collider;economy;d;pmm;gpt-5;0.0
68;50;low;low;numeric;realistic;collider;economy;d;pmm;gpt-5;0.0
69;50;low;low;numeric;realistic;collider;economy;e;pmm;gpt-5;0.0
70;50;low;low;numeric;realistic;collider;economy;e;pmm;gpt-5;0.0
71;10;low;low;numeric;realistic;collider;economy;f;pmm;gpt-5;0.0
72;20;low;low;numeric;realistic;collider;economy;f;pmm;gpt-5;0.0
73;0;low;low;numeric;realistic;collider;economy;g;pmm;gpt-5;0.0
74;0;low;low;numeric;realistic;collider;economy;g;pmm;gpt-5;0.0
75;10;low;low;numeric;realistic;collider;economy;h;pmm;gpt-5;0.0
76;0;low;low;numeric;realistic;collider;economy;h;pmm;gpt-5;0.0
77;0;low;low;numeric;realistic;collider;economy;i;pmm;gpt-5;0.0
78;70;low;low;numeric;realistic;collider;economy;j;pmm;gpt-5;0.0
79;75;low;low;numeric;realistic;collider;economy;j;pmm;gpt-5;0.0
80;92;low;low;numeric;realistic;collider;economy;k;pmm;gpt-5;0.0
101;25;low;low;numeric;realistic;collider;economy;a;mpm;gpt-5;0.0
102;30;low;low;numeric;realistic;collider;economy;a;mpm;gpt-5;0.0
103;50;low;low;numeric;realistic;collider;economy;b;mpm;gpt-5;0.0
104;67;low;low;numeric;realistic;collider;economy;b;mpm;gpt-5;0.0
105;100;low;low;numeric;realistic;collider;economy;c;mpm;gpt-5;0.0
106;100;low;low;numeric;realistic;collider;economy;c;mpm;gpt-5;0.0
107;50;low;low;numeric;realistic;collider;economy;d;mpm;gpt-5;0.0
108;50;low;low;numeric;realistic;collider;economy;d;mpm;gpt-5;0.0
109;50;low;low;numeric;realistic;collider;economy;e;mpm;gpt-5;0.0
110;50;low;low;numeric;realistic;collider;economy;e;mpm;gpt-5;0.0
111;10;low;low;numeric;realistic;collider;economy;f;mpm;gpt-5;0.0
112;10;low;low;numeric;realistic;collider;economy;f;mpm;gpt-5;0.0
113;0;low;low;numeric;realistic;collider;economy;g;mpm;gpt-5;0.0
114;0;low;low;numeric;realistic;collider;economy;g;mpm;gpt-5;0.0
115;0;low;low;numeric;realistic;collider;economy;h;mpm;gpt-5;0.0
116;10;low;low;numeric;realistic;collider;economy;h;mpm;gpt-5;0.0
117;0;low;low;numeric;realistic;collider;economy;i;mpm;gpt-5;0.0
118;70;low;low;numeric;realistic;collider;economy;j;mpm;gpt-5;0.0
119;80;low;low;numeric;realistic;collider;economy;j;mpm;gpt-5;0.0
120;90;low;low;numeric;realistic;collider;economy;k;mpm;gpt-5;0.0
121;50;low;low;numeric;realistic;collider;economy;a;mmp;gpt-5;0.0
122;30;low;low;numeric;realistic;collider;economy;a;mmp;gpt-5;0.0
123;67;low;low;numeric;realistic;collider;economy;b;mmp;gpt-5;0.0
124;50;low;low;numeric;realistic;collider;economy;b;mmp;gpt-5;0.0
125;100;low;low;numeric;realistic;collider;economy;c;mmp;gpt-5;0.0
126;100;low;low;numeric;realistic;collider;economy;c;mmp;gpt-5;0.0
127;50;low;low;numeric;realistic;collider;economy;d;mmp;gpt-5;0.0
128;50;low;low;numeric;realistic;collider;economy;d;mmp;gpt-5;0.0
129;50;low;low;numeric;realistic;collider;economy;e;mmp;gpt-5;0.0
130;50;low;low;numeric;realistic;collider;economy;e;mmp;gpt-5;0.0
131;10;low;low;numeric;realistic;collider;economy;f;mmp;gpt-5;0.0
132;20;low;low;numeric;realistic;collider;economy;f;mmp;gpt-5;0.0
133;0;low;low;numeric;realistic;collider;economy;g;mmp;gpt-5;0.0
134;0;low;low;numeric;realistic;collider;economy;g;mmp;gpt-5;0.0
135;10;low;low;numeric;realistic;collider;economy;h;mmp;gpt-5;0.0
136;0;low;low;numeric;realistic;collider;economy;h;mmp;gpt-5;0.0
137;10;low;low;numeric;realistic;collider;economy;i;mmp;gpt-5;0.0
138;70;low;low;numeric;realistic;collider;economy;j;mmp;gpt-5;0.0
139;80;low;low;numeric;realistic;collider;economy;j;mmp;gpt-5;0.0
140;90;low;low;numeric;realistic;collider;economy;k;mmp;gpt-5;0.0
161;40;low;low;numeric;realistic;collider;sociology;a;ppp;gpt-5;0.0
162;50;low;low;numeric;realistic;collider;sociology;a;ppp;gpt-5;0.0
163;67;low;low;numeric;realistic;collider;sociology;b;ppp;gpt-5;0.0
164;67;low;low;numeric;realistic;collider;sociology;b;ppp;gpt-5;0.0
165;100;low;low;numeric;realistic;collider;sociology;c;ppp;gpt-5;0.0
166;100;low;low;numeric;realistic;collider;sociology;c;ppp;gpt-5;0.0
167;50;low;low;numeric;realistic;collider;sociology;d;ppp;gpt-5;0.0
168;50;low;low;numeric;realistic;collider;sociology;d;ppp;gpt-5;0.0
169;50;low;low;numeric;realistic;collider;sociology;e;ppp;gpt-5;0.0
170;50;low;low;numeric;realistic;collider;sociology;e;ppp;gpt-5;0.0
171;10;low;low;numeric;realistic;collider;sociology;f;ppp;gpt-5;0.0
