id;response;prompt_category;graph;domain;task;cntbl_cond;subject;temperature
1;50;single_numeric_response;collider;economy;a;ppp;o3-mini;0.0
2;50;single_numeric_response;collider;economy;a;ppp;o3-mini;0.0
3;50;single_numeric_response;collider;economy;b;ppp;o3-mini;0.0
4;67;single_numeric_response;collider;economy;b;ppp;o3-mini;0.0
5;100;single_numeric_response;collider;economy;c;ppp;o3-mini;0.0
6;100;single_numeric_response;collider;economy;c;ppp;o3-mini;0.0
7;50;single_numeric_response;collider;economy;d;ppp;o3-mini;0.0
8;50;single_numeric_response;collider;economy;d;ppp;o3-mini;0.0
9;50;single_numeric_response;collider;economy;e;ppp;o3-mini;0.0
10;50;single_numeric_response;collider;economy;e;ppp;o3-mini;0.0
11;0;single_numeric_response;collider;economy;f;ppp;o3-mini;0.0
12;0;single_numeric_response;collider;economy;f;ppp;o3-mini;0.0
13;0;single_numeric_response;collider;economy;g;ppp;o3-mini;0.0
14;0;single_numeric_response;collider;economy;g;ppp;o3-mini;0.0
15;0;single_numeric_response;collider;economy;h;ppp;o3-mini;0.0
16;0;single_numeric_response;collider;economy;h;ppp;o3-mini;0.0
17;0;single_numeric_response;collider;economy;i;ppp;o3-mini;0.0
18;90;single_numeric_response;collider;economy;j;ppp;o3-mini;0.0
19;100;single_numeric_response;collider;economy;j;ppp;o3-mini;0.0
20;100;single_numeric_response;collider;economy;k;ppp;o3-mini;0.0
61;30;single_numeric_response;collider;economy;a;pmm;o3-mini;0.0
62;25;single_numeric_response;collider;economy;a;pmm;o3-mini;0.0
63;50;single_numeric_response;collider;economy;b;pmm;o3-mini;0.0
64;50;single_numeric_response;collider;economy;b;pmm;o3-mini;0.0
65;100;single_numeric_response;collider;economy;c;pmm;o3-mini;0.0
66;100;single_numeric_response;collider;economy;c;pmm;o3-mini;0.0
67;50;single_numeric_response;collider;economy;d;pmm;o3-mini;0.0
68;50;single_numeric_response;collider;economy;d;pmm;o3-mini;0.0
69;50;single_numeric_response;collider;economy;e;pmm;o3-mini;0.0
70;50;single_numeric_response;collider;economy;e;pmm;o3-mini;0.0
71;0;single_numeric_response;collider;economy;f;pmm;o3-mini;0.0
72;0;single_numeric_response;collider;economy;f;pmm;o3-mini;0.0
73;0;single_numeric_response;collider;economy;g;pmm;o3-mini;0.0
74;0;single_numeric_response;collider;economy;g;pmm;o3-mini;0.0
75;0;single_numeric_response;collider;economy;h;pmm;o3-mini;0.0
76;0;single_numeric_response;collider;economy;h;pmm;o3-mini;0.0
77;0;single_numeric_response;collider;economy;i;pmm;o3-mini;0.0
78;90;single_numeric_response;collider;economy;j;pmm;o3-mini;0.0
79;90;single_numeric_response;collider;economy;j;pmm;o3-mini;0.0
80;100;single_numeric_response;collider;economy;k;pmm;o3-mini;0.0
101;0;single_numeric_response;collider;economy;a;mpm;o3-mini;0.0
102;10;single_numeric_response;collider;economy;a;mpm;o3-mini;0.0
103;50;single_numeric_response;collider;economy;b;mpm;o3-mini;0.0
104;50;single_numeric_response;collider;economy;b;mpm;o3-mini;0.0
105;100;single_numeric_response;collider;economy;c;mpm;o3-mini;0.0
106;100;single_numeric_response;collider;economy;c;mpm;o3-mini;0.0
107;50;single_numeric_response;collider;economy;d;mpm;o3-mini;0.0
108;50;single_numeric_response;collider;economy;d;mpm;o3-mini;0.0
109;50;single_numeric_response;collider;economy;e;mpm;o3-mini;0.0
110;100;single_numeric_response;collider;economy;e;mpm;o3-mini;0.0
111;0;single_numeric_response;collider;economy;f;mpm;o3-mini;0.0
112;0;single_numeric_response;collider;economy;f;mpm;o3-mini;0.0
113;0;single_numeric_response;collider;economy;g;mpm;o3-mini;0.0
114;0;single_numeric_response;collider;economy;g;mpm;o3-mini;0.0
115;0;single_numeric_response;collider;economy;h;mpm;o3-mini;0.0
116;0;single_numeric_response;collider;economy;h;mpm;o3-mini;0.0
117;0;single_numeric_response;collider;economy;i;mpm;o3-mini;0.0
118;80;single_numeric_response;collider;economy;j;mpm;o3-mini;0.0
119;100;single_numeric_response;collider;economy;j;mpm;o3-mini;0.0
120;100;single_numeric_response;collider;economy;k;mpm;o3-mini;0.0
121;50;single_numeric_response;collider;economy;a;mmp;o3-mini;0.0
122;50;single_numeric_response;collider;economy;a;mmp;o3-mini;0.0
123;67;single_numeric_response;collider;economy;b;mmp;o3-mini;0.0
124;67;single_numeric_response;collider;economy;b;mmp;o3-mini;0.0
125;100;single_numeric_response;collider;economy;c;mmp;o3-mini;0.0
126;100;single_numeric_response;collider;economy;c;mmp;o3-mini;0.0
127;50;single_numeric_response;collider;economy;d;mmp;o3-mini;0.0
128;50;single_numeric_response;collider;economy;d;mmp;o3-mini;0.0
129;50;single_numeric_response;collider;economy;e;mmp;o3-mini;0.0
130;50;single_numeric_response;collider;economy;e;mmp;o3-mini;0.0
131;0;single_numeric_response;collider;economy;f;mmp;o3-mini;0.0
132;0;single_numeric_response;collider;economy;f;mmp;o3-mini;0.0
133;0;single_numeric_response;collider;economy;g;mmp;o3-mini;0.0
134;0;single_numeric_response;collider;economy;g;mmp;o3-mini;0.0
135;0;single_numeric_response;collider;economy;h;mmp;o3-mini;0.0
136;0;single_numeric_response;collider;economy;h;mmp;o3-mini;0.0
137;0;single_numeric_response;collider;economy;i;mmp;o3-mini;0.0
138;100;single_numeric_response;collider;economy;j;mmp;o3-mini;0.0
139;100;single_numeric_response;collider;economy;j;mmp;o3-mini;0.0
140;100;single_numeric_response;collider;economy;k;mmp;o3-mini;0.0
161;50;single_numeric_response;collider;sociology;a;ppp;o3-mini;0.0
162;50;single_numeric_response;collider;sociology;a;ppp;o3-mini;0.0
163;50;single_numeric_response;collider;sociology;b;ppp;o3-mini;0.0
164;50;single_numeric_response;collider;sociology;b;ppp;o3-mini;0.0
165;90;single_numeric_response;collider;sociology;c;ppp;o3-mini;0.0
166;100;single_numeric_response;collider;sociology;c;ppp;o3-mini;0.0
167;50;single_numeric_response;collider;sociology;d;ppp;o3-mini;0.0
168;50;single_numeric_response;collider;sociology;d;ppp;o3-mini;0.0
169;50;single_numeric_response;collider;sociology;e;ppp;o3-mini;0.0
170;50;single_numeric_response;collider;sociology;e;ppp;o3-mini;0.0
171;0;single_numeric_response;collider;sociology;f;ppp;o3-mini;0.0
172;0;single_numeric_response;collider;sociology;f;ppp;o3-mini;0.0
173;0;single_numeric_response;collider;sociology;g;ppp;o3-mini;0.0
174;0;single_numeric_response;collider;sociology;g;ppp;o3-mini;0.0
175;0;single_numeric_response;collider;sociology;h;ppp;o3-mini;0.0
176;0;single_numeric_response;collider;sociology;h;ppp;o3-mini;0.0
177;0;single_numeric_response;collider;sociology;i;ppp;o3-mini;0.0
178;100;single_numeric_response;collider;sociology;j;ppp;o3-mini;0.0
179;100;single_numeric_response;collider;sociology;j;ppp;o3-mini;0.0
180;100;single_numeric_response;collider;sociology;k;ppp;o3-mini;0.0
221;50;single_numeric_response;collider;sociology;a;pmm;o3-mini;0.0
222;50;single_numeric_response;collider;sociology;a;pmm;o3-mini;0.0
223;50;single_numeric_response;collider;sociology;b;pmm;o3-mini;0.0
224;50;single_numeric_response;collider;sociology;b;pmm;o3-mini;0.0
225;100;single_numeric_response;collider;sociology;c;pmm;o3-mini;0.0
226;100;single_numeric_response;collider;sociology;c;pmm;o3-mini;0.0
227;50;single_numeric_response;collider;sociology;d;pmm;o3-mini;0.0
228;50;single_numeric_response;collider;sociology;d;pmm;o3-mini;0.0
229;50;single_numeric_response;collider;sociology;e;pmm;o3-mini;0.0
230;50;single_numeric_response;collider;sociology;e;pmm;o3-mini;0.0
231;0;single_numeric_response;collider;sociology;f;pmm;o3-mini;0.0
232;0;single_numeric_response;collider;sociology;f;pmm;o3-mini;0.0
233;0;single_numeric_response;collider;sociology;g;pmm;o3-mini;0.0
234;0;single_numeric_response;collider;sociology;g;pmm;o3-mini;0.0
235;0;single_numeric_response;collider;sociology;h;pmm;o3-mini;0.0
236;0;single_numeric_response;collider;sociology;h;pmm;o3-mini;0.0
237;0;single_numeric_response;collider;sociology;i;pmm;o3-mini;0.0
238;80;single_numeric_response;collider;sociology;j;pmm;o3-mini;0.0
239;80;single_numeric_response;collider;sociology;j;pmm;o3-mini;0.0
240;100;single_numeric_response;collider;sociology;k;pmm;o3-mini;0.0
261;50;single_numeric_response;collider;sociology;a;mpm;o3-mini;0.0
262;50;single_numeric_response;collider;sociology;a;mpm;o3-mini;0.0
263;50;single_numeric_response;collider;sociology;b;mpm;o3-mini;0.0
264;50;single_numeric_response;collider;sociology;b;mpm;o3-mini;0.0
265;100;single_numeric_response;collider;sociology;c;mpm;o3-mini;0.0
266;100;single_numeric_response;collider;sociology;c;mpm;o3-mini;0.0
267;50;single_numeric_response;collider;sociology;d;mpm;o3-mini;0.0
268;50;single_numeric_response;collider;sociology;d;mpm;o3-mini;0.0
269;50;single_numeric_response;collider;sociology;e;mpm;o3-mini;0.0
270;50;single_numeric_response;collider;sociology;e;mpm;o3-mini;0.0
271;0;single_numeric_response;collider;sociology;f;mpm;o3-mini;0.0
272;0;single_numeric_response;collider;sociology;f;mpm;o3-mini;0.0
273;0;single_numeric_response;collider;sociology;g;mpm;o3-mini;0.0
274;0;single_numeric_response;collider;sociology;g;mpm;o3-mini;0.0
275;0;single_numeric_response;collider;sociology;h;mpm;o3-mini;0.0
276;0;single_numeric_response;collider;sociology;h;mpm;o3-mini;0.0
277;0;single_numeric_response;collider;sociology;i;mpm;o3-mini;0.0
278;80;single_numeric_response;collider;sociology;j;mpm;o3-mini;0.0
279;90;single_numeric_response;collider;sociology;j;mpm;o3-mini;0.0
280;100;single_numeric_response;collider;sociology;k;mpm;o3-mini;0.0
281;50;single_numeric_response;collider;sociology;a;mmp;o3-mini;0.0
282;50;single_numeric_response;collider;sociology;a;mmp;o3-mini;0.0
283;50;single_numeric_response;collider;sociology;b;mmp;o3-mini;0.0
284;50;single_numeric_response;collider;sociology;b;mmp;o3-mini;0.0
285;100;single_numeric_response;collider;sociology;c;mmp;o3-mini;0.0
286;100;single_numeric_response;collider;sociology;c;mmp;o3-mini;0.0
287;50;single_numeric_response;collider;sociology;d;mmp;o3-mini;0.0
288;50;single_numeric_response;collider;sociology;d;mmp;o3-mini;0.0
289;50;single_numeric_response;collider;sociology;e;mmp;o3-mini;0.0
290;50;single_numeric_response;collider;sociology;e;mmp;o3-mini;0.0
291;0;single_numeric_response;collider;sociology;f;mmp;o3-mini;0.0
292;0;single_numeric_response;collider;sociology;f;mmp;o3-mini;0.0
293;0;single_numeric_response;collider;sociology;g;mmp;o3-mini;0.0
294;0;single_numeric_response;collider;sociology;g;mmp;o3-mini;0.0
295;0;single_numeric_response;collider;sociology;h;mmp;o3-mini;0.0
296;0;single_numeric_response;collider;sociology;h;mmp;o3-mini;0.0
297;0;single_numeric_response;collider;sociology;i;mmp;o3-mini;0.0
298;100;single_numeric_response;collider;sociology;j;mmp;o3-mini;0.0
299;100;single_numeric_response;collider;sociology;j;mmp;o3-mini;0.0
300;100;single_numeric_response;collider;sociology;k;mmp;o3-mini;0.0
321;50;single_numeric_response;collider;weather;a;ppp;o3-mini;0.0
322;20;single_numeric_response;collider;weather;a;ppp;o3-mini;0.0
323;50;single_numeric_response;collider;weather;b;ppp;o3-mini;0.0
324;50;single_numeric_response;collider;weather;b;ppp;o3-mini;0.0
325;100;single_numeric_response;collider;weather;c;ppp;o3-mini;0.0
326;100;single_numeric_response;collider;weather;c;ppp;o3-mini;0.0
327;50;single_numeric_response;collider;weather;d;ppp;o3-mini;0.0
328;50;single_numeric_response;collider;weather;d;ppp;o3-mini;0.0
329;50;single_numeric_response;collider;weather;e;ppp;o3-mini;0.0
330;50;single_numeric_response;collider;weather;e;ppp;o3-mini;0.0
331;0;single_numeric_response;collider;weather;f;ppp;o3-mini;0.0
332;0;single_numeric_response;collider;weather;f;ppp;o3-mini;0.0
333;0;single_numeric_response;collider;weather;g;ppp;o3-mini;0.0
334;0;single_numeric_response;collider;weather;g;ppp;o3-mini;0.0
335;0;single_numeric_response;collider;weather;h;ppp;o3-mini;0.0
336;0;single_numeric_response;collider;weather;h;ppp;o3-mini;0.0
337;0;single_numeric_response;collider;weather;i;ppp;o3-mini;0.0
338;100;single_numeric_response;collider;weather;j;ppp;o3-mini;0.0
339;100;single_numeric_response;collider;weather;j;ppp;o3-mini;0.0
340;100;single_numeric_response;collider;weather;k;ppp;o3-mini;0.0
381;0;single_numeric_response;collider;weather;a;pmm;o3-mini;0.0
382;0;single_numeric_response;collider;weather;a;pmm;o3-mini;0.0
383;50;single_numeric_response;collider;weather;b;pmm;o3-mini;0.0
384;50;single_numeric_response;collider;weather;b;pmm;o3-mini;0.0
385;100;single_numeric_response;collider;weather;c;pmm;o3-mini;0.0
386;100;single_numeric_response;collider;weather;c;pmm;o3-mini;0.0
387;50;single_numeric_response;collider;weather;d;pmm;o3-mini;0.0
388;50;single_numeric_response;collider;weather;d;pmm;o3-mini;0.0
389;50;single_numeric_response;collider;weather;e;pmm;o3-mini;0.0
390;50;single_numeric_response;collider;weather;e;pmm;o3-mini;0.0
391;0;single_numeric_response;collider;weather;f;pmm;o3-mini;0.0
392;0;single_numeric_response;collider;weather;f;pmm;o3-mini;0.0
393;0;single_numeric_response;collider;weather;g;pmm;o3-mini;0.0
394;0;single_numeric_response;collider;weather;g;pmm;o3-mini;0.0
395;0;single_numeric_response;collider;weather;h;pmm;o3-mini;0.0
396;0;single_numeric_response;collider;weather;h;pmm;o3-mini;0.0
397;0;single_numeric_response;collider;weather;i;pmm;o3-mini;0.0
398;100;single_numeric_response;collider;weather;j;pmm;o3-mini;0.0
399;100;single_numeric_response;collider;weather;j;pmm;o3-mini;0.0
400;100;single_numeric_response;collider;weather;k;pmm;o3-mini;0.0
421;50;single_numeric_response;collider;weather;a;mpm;o3-mini;0.0
422;50;single_numeric_response;collider;weather;a;mpm;o3-mini;0.0
423;50;single_numeric_response;collider;weather;b;mpm;o3-mini;0.0
424;50;single_numeric_response;collider;weather;b;mpm;o3-mini;0.0
425;100;single_numeric_response;collider;weather;c;mpm;o3-mini;0.0
426;100;single_numeric_response;collider;weather;c;mpm;o3-mini;0.0
427;50;single_numeric_response;collider;weather;d;mpm;o3-mini;0.0
428;50;single_numeric_response;collider;weather;d;mpm;o3-mini;0.0
429;50;single_numeric_response;collider;weather;e;mpm;o3-mini;0.0
430;100;single_numeric_response;collider;weather;e;mpm;o3-mini;0.0
431;0;single_numeric_response;collider;weather;f;mpm;o3-mini;0.0
432;0;single_numeric_response;collider;weather;f;mpm;o3-mini;0.0
433;0;single_numeric_response;collider;weather;g;mpm;o3-mini;0.0
434;0;single_numeric_response;collider;weather;g;mpm;o3-mini;0.0
435;0;single_numeric_response;collider;weather;h;mpm;o3-mini;0.0
436;0;single_numeric_response;collider;weather;h;mpm;o3-mini;0.0
437;0;single_numeric_response;collider;weather;i;mpm;o3-mini;0.0
438;80;single_numeric_response;collider;weather;j;mpm;o3-mini;0.0
439;100;single_numeric_response;collider;weather;j;mpm;o3-mini;0.0
440;100;single_numeric_response;collider;weather;k;mpm;o3-mini;0.0
