id;response;prompt_category;graph;domain;task;cntbl_cond;subject;temperature
1;34;single_numeric_response;collider;economy;a;ppp;o3;0.0
2;52;single_numeric_response;collider;economy;a;ppp;o3;0.0
3;70;single_numeric_response;collider;economy;b;ppp;o3;0.0
4;55;single_numeric_response;collider;economy;b;ppp;o3;0.0
5;88;single_numeric_response;collider;economy;c;ppp;o3;0.0
6;90;single_numeric_response;collider;economy;c;ppp;o3;0.0
7;50;single_numeric_response;collider;economy;d;ppp;o3;0.0
8;50;single_numeric_response;collider;economy;d;ppp;o3;0.0
9;50;single_numeric_response;collider;economy;e;ppp;o3;0.0
10;50;single_numeric_response;collider;economy;e;ppp;o3;0.0
11;20;single_numeric_response;collider;economy;f;ppp;o3;0.0
12;20;single_numeric_response;collider;economy;f;ppp;o3;0.0
13;25;single_numeric_response;collider;economy;g;ppp;o3;0.0
14;12;single_numeric_response;collider;economy;g;ppp;o3;0.0
15;5;single_numeric_response;collider;economy;h;ppp;o3;0.0
16;25;single_numeric_response;collider;economy;h;ppp;o3;0.0
17;25;single_numeric_response;collider;economy;i;ppp;o3;0.0
18;70;single_numeric_response;collider;economy;j;ppp;o3;0.0
19;75;single_numeric_response;collider;economy;j;ppp;o3;0.0
20;90;single_numeric_response;collider;economy;k;ppp;o3;0.0
61;40;single_numeric_response;collider;economy;a;pmm;o3;0.0
62;35;single_numeric_response;collider;economy;a;pmm;o3;0.0
63;55;single_numeric_response;collider;economy;b;pmm;o3;0.0
64;57;single_numeric_response;collider;economy;b;pmm;o3;0.0
65;77;single_numeric_response;collider;economy;c;pmm;o3;0.0
66;65;single_numeric_response;collider;economy;c;pmm;o3;0.0
67;50;single_numeric_response;collider;economy;d;pmm;o3;0.0
68;50;single_numeric_response;collider;economy;d;pmm;o3;0.0
69;50;single_numeric_response;collider;economy;e;pmm;o3;0.0
70;50;single_numeric_response;collider;economy;e;pmm;o3;0.0
71;20;single_numeric_response;collider;economy;f;pmm;o3;0.0
72;20;single_numeric_response;collider;economy;f;pmm;o3;0.0
73;15;single_numeric_response;collider;economy;g;pmm;o3;0.0
74;10;single_numeric_response;collider;economy;g;pmm;o3;0.0
75;12;single_numeric_response;collider;economy;h;pmm;o3;0.0
76;30;single_numeric_response;collider;economy;h;pmm;o3;0.0
77;20;single_numeric_response;collider;economy;i;pmm;o3;0.0
78;70;single_numeric_response;collider;economy;j;pmm;o3;0.0
79;65;single_numeric_response;collider;economy;j;pmm;o3;0.0
80;87;single_numeric_response;collider;economy;k;pmm;o3;0.0
101;35;single_numeric_response;collider;economy;a;mpm;o3;0.0
102;35;single_numeric_response;collider;economy;a;mpm;o3;0.0
103;67;single_numeric_response;collider;economy;b;mpm;o3;0.0
104;59;single_numeric_response;collider;economy;b;mpm;o3;0.0
105;78;single_numeric_response;collider;economy;c;mpm;o3;0.0
106;80;single_numeric_response;collider;economy;c;mpm;o3;0.0
107;50;single_numeric_response;collider;economy;d;mpm;o3;0.0
108;50;single_numeric_response;collider;economy;d;mpm;o3;0.0
109;30;single_numeric_response;collider;economy;e;mpm;o3;0.0
110;30;single_numeric_response;collider;economy;e;mpm;o3;0.0
111;20;single_numeric_response;collider;economy;f;mpm;o3;0.0
112;15;single_numeric_response;collider;economy;f;mpm;o3;0.0
113;20;single_numeric_response;collider;economy;g;mpm;o3;0.0
114;25;single_numeric_response;collider;economy;g;mpm;o3;0.0
115;20;single_numeric_response;collider;economy;h;mpm;o3;0.0
116;15;single_numeric_response;collider;economy;h;mpm;o3;0.0
117;25;single_numeric_response;collider;economy;i;mpm;o3;0.0
118;70;single_numeric_response;collider;economy;j;mpm;o3;0.0
119;75;single_numeric_response;collider;economy;j;mpm;o3;0.0
120;90;single_numeric_response;collider;economy;k;mpm;o3;0.0
121;55;single_numeric_response;collider;economy;a;mmp;o3;0.0
122;40;single_numeric_response;collider;economy;a;mmp;o3;0.0
123;50;single_numeric_response;collider;economy;b;mmp;o3;0.0
124;57;single_numeric_response;collider;economy;b;mmp;o3;0.0
125;80;single_numeric_response;collider;economy;c;mmp;o3;0.0
126;75;single_numeric_response;collider;economy;c;mmp;o3;0.0
127;50;single_numeric_response;collider;economy;d;mmp;o3;0.0
128;50;single_numeric_response;collider;economy;d;mmp;o3;0.0
129;50;single_numeric_response;collider;economy;e;mmp;o3;0.0
