id;response;prompt_category;graph;domain;task;cntbl_cond;subject;temperature
1;<response><likelihood>40</likelihood><confidence>30</confidence></response>; numeric-conf;collider;economy;a;ppp;o3;0.0
2;<response><likelihood>40</likelihood><confidence>30</confidence></response>; numeric-conf;collider;economy;a;ppp;o3;0.0
3;<response><likelihood>60</likelihood><confidence>25</confidence></response>; numeric-conf;collider;economy;b;ppp;o3;0.0
4;<response><likelihood>67</likelihood><confidence>35</confidence></response>; numeric-conf;collider;economy;b;ppp;o3;0.0
5;<response><likelihood>77</likelihood><confidence>60</confidence></response>; numeric-conf;collider;economy;c;ppp;o3;0.0
6;<response><likelihood>86</likelihood><confidence>60</confidence></response>; numeric-conf;collider;economy;c;ppp;o3;0.0
7;<response><likelihood>50</likelihood><confidence>20</confidence></response>; numeric-conf;collider;economy;d;ppp;o3;0.0
8;<response><likelihood>50</likelihood><confidence>30</confidence></response>; numeric-conf;collider;economy;d;ppp;o3;0.0
9;<response><likelihood>50</likelihood><confidence>30</confidence></response>; numeric-conf;collider;economy;e;ppp;o3;0.0
10;<response><likelihood>50</likelihood><confidence>30</confidence></response>; numeric-conf;collider;economy;e;ppp;o3;0.0
11;<response><likelihood>10</likelihood><confidence>60</confidence></response>; numeric-conf;collider;economy;f;ppp;o3;0.0
12;<response><likelihood>25</likelihood><confidence>40</confidence></response>; numeric-conf;collider;economy;f;ppp;o3;0.0
13;<response><likelihood>15</likelihood><confidence>40</confidence></response>; numeric-conf;collider;economy;g;ppp;o3;0.0
14;<response><likelihood>20</likelihood><confidence>55</confidence></response>; numeric-conf;collider;economy;g;ppp;o3;0.0
15;<response><likelihood>20</likelihood><confidence>60</confidence></response>; numeric-conf;collider;economy;h;ppp;o3;0.0
16;<response><likelihood>5</likelihood><confidence>80</confidence></response>; numeric-conf;collider;economy;h;ppp;o3;0.0
17;<response><likelihood>10</likelihood><confidence>60</confidence></response>; numeric-conf;collider;economy;i;ppp;o3;0.0
18;<response><likelihood>70</likelihood><confidence>40</confidence></response>; numeric-conf;collider;economy;j;ppp;o3;0.0
19;<response><likelihood>75</likelihood><confidence>40</confidence></response>; numeric-conf;collider;economy;j;ppp;o3;0.0
20;<response><likelihood>85</likelihood><confidence>75</confidence></response>; numeric-conf;collider;economy;k;ppp;o3;0.0
61;<response><likelihood>30</likelihood><confidence>40</confidence></response>; numeric-conf;collider;economy;a;pmm;o3;0.0
62;<response><likelihood>35</likelihood><confidence>25</confidence></response>; numeric-conf;collider;economy;a;pmm;o3;0.0
63;<response><likelihood>55</likelihood><confidence>25</confidence></response>; numeric-conf;collider;economy;b;pmm;o3;0.0
64;<response><likelihood>60</likelihood><confidence>35</confidence></response>; numeric-conf;collider;economy;b;pmm;o3;0.0
65;<response><likelihood>75</likelihood><confidence>45</confidence></response>; numeric-conf;collider;economy;c;pmm;o3;0.0
66;<response><likelihood>75</likelihood><confidence>35</confidence></response>; numeric-conf;collider;economy;c;pmm;o3;0.0
67;<response><likelihood>30</likelihood><confidence>40</confidence></response>; numeric-conf;collider;economy;d;pmm;o3;0.0
68;<response><likelihood>50</likelihood><confidence>20</confidence></response>; numeric-conf;collider;economy;d;pmm;o3;0.0
69;<response><likelihood>40</likelihood><confidence>25</confidence></response>; numeric-conf;collider;economy;e;pmm;o3;0.0
70;<response><likelihood>50</likelihood><confidence>60</confidence></response>; numeric-conf;collider;economy;e;pmm;o3;0.0
71;<response><likelihood>10</likelihood><confidence>60</confidence></response>; numeric-conf;collider;economy;f;pmm;o3;0.0
72;<response><likelihood>8</likelihood><confidence>35</confidence></response>; numeric-conf;collider;economy;f;pmm;o3;0.0
73;<response><likelihood>10</likelihood><confidence>35</confidence></response>; numeric-conf;collider;economy;g;pmm;o3;0.0
74;<response><likelihood>15</likelihood><confidence>60</confidence></response>; numeric-conf;collider;economy;g;pmm;o3;0.0
75;<response><likelihood>10</likelihood><confidence>35</confidence></response>; numeric-conf;collider;economy;h;pmm;o3;0.0
76;<response><likelihood>10</likelihood><confidence>45</confidence></response>; numeric-conf;collider;economy;h;pmm;o3;0.0
77;<response><likelihood>15</likelihood><confidence>40</confidence></response>; numeric-conf;collider;economy;i;pmm;o3;0.0
78;<response><likelihood>70</likelihood><confidence>50</confidence></response>; numeric-conf;collider;economy;j;pmm;o3;0.0
79;<response><likelihood>60</likelihood><confidence>50</confidence></response>; numeric-conf;collider;economy;j;pmm;o3;0.0
80;<response><likelihood>90</likelihood><confidence>70</confidence></response>; numeric-conf;collider;economy;k;pmm;o3;0.0
101;<response><likelihood>40</likelihood><confidence>25</confidence></response>; numeric-conf;collider;economy;a;mpm;o3;0.0
102;<response><likelihood>30</likelihood><confidence>40</confidence></response>; numeric-conf;collider;economy;a;mpm;o3;0.0
103;<response><likelihood>67</likelihood><confidence>35</confidence></response>; numeric-conf;collider;economy;b;mpm;o3;0.0
104;<response><likelihood>67</likelihood><confidence>35</confidence></response>; numeric-conf;collider;economy;b;mpm;o3;0.0
105;<response><likelihood>90</likelihood><confidence>70</confidence></response>; numeric-conf;collider;economy;c;mpm;o3;0.0
106;<response><likelihood>70</likelihood><confidence>40</confidence></response>; numeric-conf;collider;economy;c;mpm;o3;0.0
107;<response><likelihood>50</likelihood><confidence>20</confidence></response>; numeric-conf;collider;economy;d;mpm;o3;0.0
108;<response><likelihood>50</likelihood><confidence>20</confidence></response>; numeric-conf;collider;economy;d;mpm;o3;0.0
109;<response><likelihood>50</likelihood><confidence>25</confidence></response>; numeric-conf;collider;economy;e;mpm;o3;0.0
110;<response><likelihood>50</likelihood><confidence>25</confidence></response>; numeric-conf;collider;economy;e;mpm;o3;0.0
111;<response><likelihood>15</likelihood><confidence>35</confidence></response>; numeric-conf;collider;economy;f;mpm;o3;0.0
112;<response><likelihood>25</likelihood><confidence>60</confidence></response>; numeric-conf;collider;economy;f;mpm;o3;0.0
113;<response><likelihood>5</likelihood><confidence>70</confidence></response>; numeric-conf;collider;economy;g;mpm;o3;0.0
114;<response><likelihood>20</likelihood><confidence>25</confidence></response>; numeric-conf;collider;economy;g;mpm;o3;0.0
115;<response><likelihood>0</likelihood><confidence>90</confidence></response>; numeric-conf;collider;economy;h;mpm;o3;0.0
116;<response><likelihood>5</likelihood><confidence>80</confidence></response>; numeric-conf;collider;economy;h;mpm;o3;0.0
117;<response><likelihood>20</likelihood><confidence>35</confidence></response>; numeric-conf;collider;economy;i;mpm;o3;0.0
118;<response><likelihood>75</likelihood><confidence>60</confidence></response>; numeric-conf;collider;economy;j;mpm;o3;0.0
119;<response><likelihood>73</likelihood><confidence>60</confidence></response>; numeric-conf;collider;economy;j;mpm;o3;0.0
120;<response><likelihood>90</likelihood><confidence>75</confidence></response>; numeric-conf;collider;economy;k;mpm;o3;0.0
121;<response><likelihood>30</likelihood><confidence>40</confidence></response>; numeric-conf;collider;economy;a;mmp;o3;0.0
122;<response><likelihood>25</likelihood><confidence>45</confidence></response>; numeric-conf;collider;economy;a;mmp;o3;0.0
123;<response><likelihood>55</likelihood><confidence>35</confidence></response>; numeric-conf;collider;economy;b;mmp;o3;0.0
124;<response><likelihood>67</likelihood><confidence>35</confidence></response>; numeric-conf;collider;economy;b;mmp;o3;0.0
125;<response><likelihood>85</likelihood><confidence>60</confidence></response>; numeric-conf;collider;economy;c;mmp;o3;0.0
126;<response><likelihood>85</likelihood><confidence>40</confidence></response>; numeric-conf;collider;economy;c;mmp;o3;0.0
127;<response><likelihood>50</likelihood><confidence>30</confidence></response>; numeric-conf;collider;economy;d;mmp;o3;0.0
128;<response><likelihood>50</likelihood><confidence>20</confidence></response>; numeric-conf;collider;economy;d;mmp;o3;0.0
129;<response><likelihood>40</likelihood><confidence>30</confidence></response>; numeric-conf;collider;economy;e;mmp;o3;0.0
130;<response><likelihood>50</likelihood><confidence>30</confidence></response>; numeric-conf;collider;economy;e;mmp;o3;0.0
131;<response><likelihood>10</likelihood><confidence>45</confidence></response>; numeric-conf;collider;economy;f;mmp;o3;0.0
132;<response><likelihood>20</likelihood><confidence>40</confidence></response>; numeric-conf;collider;economy;f;mmp;o3;0.0
133;<response><likelihood>10</likelihood><confidence>30</confidence></response>; numeric-conf;collider;economy;g;mmp;o3;0.0
134;<response><likelihood>10</likelihood><confidence>75</confidence></response>; numeric-conf;collider;economy;g;mmp;o3;0.0
135;<response><likelihood>10</likelihood><confidence>30</confidence></response>; numeric-conf;collider;economy;h;mmp;o3;0.0
136;<response><likelihood>20</likelihood><confidence>40</confidence></response>; numeric-conf;collider;economy;h;mmp;o3;0.0
137;<response><likelihood>18</likelihood><confidence>40</confidence></response>; numeric-conf;collider;economy;i;mmp;o3;0.0
138;<response><likelihood>75</likelihood><confidence>35</confidence></response>; numeric-conf;collider;economy;j;mmp;o3;0.0
139;<response><likelihood>75</likelihood><confidence>45</confidence></response>; numeric-conf;collider;economy;j;mmp;o3;0.0
140;<response><likelihood>90</likelihood><confidence>35</confidence></response>; numeric-conf;collider;economy;k;mmp;o3;0.0
161;<response><likelihood>35</likelihood><confidence>30</confidence></response>; numeric-conf;collider;sociology;a;ppp;o3;0.0
162;<response><likelihood>60</likelihood><confidence>40</confidence></response>; numeric-conf;collider;sociology;a;ppp;o3;0.0
163;<response><likelihood>60</likelihood><confidence>35</confidence></response>; numeric-conf;collider;sociology;b;ppp;o3;0.0
164;<response><likelihood>45</likelihood><confidence>30</confidence></response>; numeric-conf;collider;sociology;b;ppp;o3;0.0
165;<response><likelihood>80</likelihood><confidence>40</confidence></response>; numeric-conf;collider;sociology;c;ppp;o3;0.0
166;<response><likelihood>100</likelihood><confidence>95</confidence></response>; numeric-conf;collider;sociology;c;ppp;o3;0.0
167;<response><likelihood>50</likelihood><confidence>30</confidence></response>; numeric-conf;collider;sociology;d;ppp;o3;0.0
168;<response><likelihood>50</likelihood><confidence>20</confidence></response>; numeric-conf;collider;sociology;d;ppp;o3;0.0
169;<response><likelihood>40</likelihood><confidence>30</confidence></response>; numeric-conf;collider;sociology;e;ppp;o3;0.0
170;<response><likelihood>50</likelihood><confidence>20</confidence></response>; numeric-conf;collider;sociology;e;ppp;o3;0.0
171;<response><likelihood>20</likelihood><confidence>50</confidence></response>; numeric-conf;collider;sociology;f;ppp;o3;0.0
172;<response><likelihood>33</likelihood><confidence>40</confidence></response>; numeric-conf;collider;sociology;f;ppp;o3;0.0
173;<response><likelihood>5</likelihood><confidence>85</confidence></response>; numeric-conf;collider;sociology;g;ppp;o3;0.0
174;<response><likelihood>0</likelihood><confidence>90</confidence></response>; numeric-conf;collider;sociology;g;ppp;o3;0.0
175;<response><likelihood>10</likelihood><confidence>40</confidence></response>; numeric-conf;collider;sociology;h;ppp;o3;0.0
176;<response><likelihood>2</likelihood><confidence>85</confidence></response>; numeric-conf;collider;sociology;h;ppp;o3;0.0
177;<response><likelihood>25</likelihood><confidence>35</confidence></response>; numeric-conf;collider;sociology;i;ppp;o3;0.0
178;<response><likelihood>75</likelihood><confidence>60</confidence></response>; numeric-conf;collider;sociology;j;ppp;o3;0.0
179;<response><likelihood>85</likelihood><confidence>70</confidence></response>; numeric-conf;collider;sociology;j;ppp;o3;0.0
180;<response><likelihood>92</likelihood><confidence>88</confidence></response>; numeric-conf;collider;sociology;k;ppp;o3;0.0
221;<response><likelihood>50</likelihood><confidence>45</confidence></response>; numeric-conf;collider;sociology;a;pmm;o3;0.0
222;<response><likelihood>50</likelihood><confidence>40</confidence></response>; numeric-conf;collider;sociology;a;pmm;o3;0.0
223;<response><likelihood>65</likelihood><confidence>35</confidence></response>; numeric-conf;collider;sociology;b;pmm;o3;0.0
224;<response><likelihood>67</likelihood><confidence>33</confidence></response>; numeric-conf;collider;sociology;b;pmm;o3;0.0
225;<response><likelihood>81</likelihood><confidence>48</confidence></response>; numeric-conf;collider;sociology;c;pmm;o3;0.0
226;<response><likelihood>80</likelihood><confidence>50</confidence></response>; numeric-conf;collider;sociology;c;pmm;o3;0.0
227;<response><likelihood>50</likelihood><confidence>45</confidence></response>; numeric-conf;collider;sociology;d;pmm;o3;0.0
228;<response><likelihood>50</likelihood><confidence>30</confidence></response>; numeric-conf;collider;sociology;d;pmm;o3;0.0
229;<response><likelihood>50</likelihood><confidence>30</confidence></response>; numeric-conf;collider;sociology;e;pmm;o3;0.0
230;<response><likelihood>50</likelihood><confidence>20</confidence></response>; numeric-conf;collider;sociology;e;pmm;o3;0.0
231;<response><likelihood>25</likelihood><confidence>40</confidence></response>; numeric-conf;collider;sociology;f;pmm;o3;0.0
232;<response><likelihood>25</likelihood><confidence>60</confidence></response>; numeric-conf;collider;sociology;f;pmm;o3;0.0
233;<response><likelihood>5</likelihood><confidence>90</confidence></response>; numeric-conf;collider;sociology;g;pmm;o3;0.0
234;<response><likelihood>0</likelihood><confidence>85</confidence></response>; numeric-conf;collider;sociology;g;pmm;o3;0.0
235;<response><likelihood>10</likelihood><confidence>60</confidence></response>; numeric-conf;collider;sociology;h;pmm;o3;0.0
236;<response><likelihood>5</likelihood><confidence>85</confidence></response>; numeric-conf;collider;sociology;h;pmm;o3;0.0
237;<response><likelihood>25</likelihood><confidence>30</confidence></response>; numeric-conf;collider;sociology;i;pmm;o3;0.0
238;<response><likelihood>70</likelihood><confidence>40</confidence></response>; numeric-conf;collider;sociology;j;pmm;o3;0.0
239;<response><likelihood>80</likelihood><confidence>60</confidence></response>; numeric-conf;collider;sociology;j;pmm;o3;0.0
