id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;a;ppp;claude-3-5-haiku-20241022;0.0
2;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;a;ppp;claude-3-5-haiku-20241022;0.0
3;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;b;ppp;claude-3-5-haiku-20241022;0.0
4;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;b;ppp;claude-3-5-haiku-20241022;0.0
5;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;c;ppp;claude-3-5-haiku-20241022;0.0
6;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;c;ppp;claude-3-5-haiku-20241022;0.0
7;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;d;ppp;claude-3-5-haiku-20241022;0.0
8;70;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;d;ppp;claude-3-5-haiku-20241022;0.0
9;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;e;ppp;claude-3-5-haiku-20241022;0.0
10;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;e;ppp;claude-3-5-haiku-20241022;0.0
11;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;f;ppp;claude-3-5-haiku-20241022;0.0
12;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;f;ppp;claude-3-5-haiku-20241022;0.0
13;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;g;ppp;claude-3-5-haiku-20241022;0.0
14;70;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;g;ppp;claude-3-5-haiku-20241022;0.0
15;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;h;ppp;claude-3-5-haiku-20241022;0.0
16;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;h;ppp;claude-3-5-haiku-20241022;0.0
17;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;i;ppp;claude-3-5-haiku-20241022;0.0
18;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;j;ppp;claude-3-5-haiku-20241022;0.0
19;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;j;ppp;claude-3-5-haiku-20241022;0.0
20;90;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;k;ppp;claude-3-5-haiku-20241022;0.0
61;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;a;pmm;claude-3-5-haiku-20241022;0.0
62;70;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;a;pmm;claude-3-5-haiku-20241022;0.0
63;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;b;pmm;claude-3-5-haiku-20241022;0.0
64;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;b;pmm;claude-3-5-haiku-20241022;0.0
65;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;c;pmm;claude-3-5-haiku-20241022;0.0
66;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;c;pmm;claude-3-5-haiku-20241022;0.0
67;70;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;d;pmm;claude-3-5-haiku-20241022;0.0
68;70;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;d;pmm;claude-3-5-haiku-20241022;0.0
69;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;e;pmm;claude-3-5-haiku-20241022;0.0
70;70;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;e;pmm;claude-3-5-haiku-20241022;0.0
71;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;f;pmm;claude-3-5-haiku-20241022;0.0
72;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;f;pmm;claude-3-5-haiku-20241022;0.0
