id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;a;ppp;claude-3-haiku-20240307;0.0
2;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;a;ppp;claude-3-haiku-20240307;0.0
3;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;b;ppp;claude-3-haiku-20240307;0.0
4;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;b;ppp;claude-3-haiku-20240307;0.0
5;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;c;ppp;claude-3-haiku-20240307;0.0
6;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;c;ppp;claude-3-haiku-20240307;0.0
7;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;d;ppp;claude-3-haiku-20240307;0.0
8;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;d;ppp;claude-3-haiku-20240307;0.0
9;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;e;ppp;claude-3-haiku-20240307;0.0
10;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;e;ppp;claude-3-haiku-20240307;0.0
11;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;f;ppp;claude-3-haiku-20240307;0.0
12;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;f;ppp;claude-3-haiku-20240307;0.0
13;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;g;ppp;claude-3-haiku-20240307;0.0
14;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;g;ppp;claude-3-haiku-20240307;0.0
15;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;h;ppp;claude-3-haiku-20240307;0.0
16;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;h;ppp;claude-3-haiku-20240307;0.0
17;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;i;ppp;claude-3-haiku-20240307;0.0
18;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;j;ppp;claude-3-haiku-20240307;0.0
19;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;j;ppp;claude-3-haiku-20240307;0.0
20;90;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;k;ppp;claude-3-haiku-20240307;0.0
61;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;a;pmm;claude-3-haiku-20240307;0.0
62;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;a;pmm;claude-3-haiku-20240307;0.0
63;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;b;pmm;claude-3-haiku-20240307;0.0
64;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;b;pmm;claude-3-haiku-20240307;0.0
65;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;c;pmm;claude-3-haiku-20240307;0.0
66;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;c;pmm;claude-3-haiku-20240307;0.0
67;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;d;pmm;claude-3-haiku-20240307;0.0
68;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;d;pmm;claude-3-haiku-20240307;0.0
69;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;e;pmm;claude-3-haiku-20240307;0.0
70;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;e;pmm;claude-3-haiku-20240307;0.0
71;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;f;pmm;claude-3-haiku-20240307;0.0
72;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;f;pmm;claude-3-haiku-20240307;0.0
73;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;g;pmm;claude-3-haiku-20240307;0.0
74;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;g;pmm;claude-3-haiku-20240307;0.0
75;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;h;pmm;claude-3-haiku-20240307;0.0
76;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;h;pmm;claude-3-haiku-20240307;0.0
77;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;i;pmm;claude-3-haiku-20240307;0.0
78;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;j;pmm;claude-3-haiku-20240307;0.0
79;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;j;pmm;claude-3-haiku-20240307;0.0
80;90;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;k;pmm;claude-3-haiku-20240307;0.0
101;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;a;mpm;claude-3-haiku-20240307;0.0
102;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;a;mpm;claude-3-haiku-20240307;0.0
103;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;b;mpm;claude-3-haiku-20240307;0.0
104;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;b;mpm;claude-3-haiku-20240307;0.0
105;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;c;mpm;claude-3-haiku-20240307;0.0
106;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;c;mpm;claude-3-haiku-20240307;0.0
107;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;d;mpm;claude-3-haiku-20240307;0.0
108;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;d;mpm;claude-3-haiku-20240307;0.0
109;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;e;mpm;claude-3-haiku-20240307;0.0
110;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;e;mpm;claude-3-haiku-20240307;0.0
111;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;f;mpm;claude-3-haiku-20240307;0.0
