id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;<response><likelihood>75</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;overloaded;collider;econ_ovl_d=soc;a;ppp;claude-opus-4-1-20250805;0.0
2;<response><likelihood>50</likelihood><confidence>65</confidence></response>;N/A;N/A;numeric-conf;overloaded;collider;econ_ovl_d=soc;a;ppp;claude-opus-4-1-20250805;0.0
3;<response><likelihood>75</likelihood><confidence>65</confidence></response>;N/A;N/A;numeric-conf;overloaded;collider;econ_ovl_d=soc;b;ppp;claude-opus-4-1-20250805;0.0
4;<response><likelihood>50</likelihood><confidence>40</confidence></response>;N/A;N/A;numeric-conf;overloaded;collider;econ_ovl_d=soc;b;ppp;claude-opus-4-1-20250805;0.0
5;<response><likelihood>75</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;overloaded;collider;econ_ovl_d=soc;c;ppp;claude-opus-4-1-20250805;0.0
6;<response><likelihood>75</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;overloaded;collider;econ_ovl_d=soc;c;ppp;claude-opus-4-1-20250805;0.0
7;<response><likelihood>50</likelihood><confidence>25</confidence></response>;N/A;N/A;numeric-conf;overloaded;collider;econ_ovl_d=soc;d;ppp;claude-opus-4-1-20250805;0.0
8;<response><likelihood>50</likelihood><confidence>20</confidence></response>;N/A;N/A;numeric-conf;overloaded;collider;econ_ovl_d=soc;d;ppp;claude-opus-4-1-20250805;0.0
9;<response><likelihood>50</likelihood><confidence>75</confidence></response>;N/A;N/A;numeric-conf;overloaded;collider;econ_ovl_d=soc;e;ppp;claude-opus-4-1-20250805;0.0
10;<response><likelihood>50</likelihood><confidence>20</confidence></response>;N/A;N/A;numeric-conf;overloaded;collider;econ_ovl_d=soc;e;ppp;claude-opus-4-1-20250805;0.0
11;<response><likelihood>25</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;overloaded;collider;econ_ovl_d=soc;f;ppp;claude-opus-4-1-20250805;0.0
12;<response><likelihood>25</likelihood><confidence>70</confidence></response>;N/A;N/A;numeric-conf;overloaded;collider;econ_ovl_d=soc;f;ppp;claude-opus-4-1-20250805;0.0
