id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;cntbl_cond;subject;temperature
1;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScovA3wb5fyNU6ZvhmBT'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-20250514;0.0
2;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScovEaJFU2jYJZ1Su6tF'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-20250514;0.0
3;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScovK6QhVCTwDLTcneT5'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-20250514;0.0
4;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScovPd1hF8CQqC7gxZ9q'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-20250514;0.0
5;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScovUArqj88euGec9V9x'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-20250514;0.0
6;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScovYhTr9SKK6FwZpHm6'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-20250514;0.0
7;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScovdK2UtjqXXnhFAn2b'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-20250514;0.0
8;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScovhpPiXpFi1REhNPBD'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-20250514;0.0
9;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScovnKkrsww51B62aTGX'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-20250514;0.0
10;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScovrrMy1o9ShxYczsM9'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-20250514;0.0
