id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;a;ppp;claude-sonnet-4-20250514;0.0
2;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;a;ppp;claude-sonnet-4-20250514;0.0
3;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;b;ppp;claude-sonnet-4-20250514;0.0
4;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;b;ppp;claude-sonnet-4-20250514;0.0
5;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;c;ppp;claude-sonnet-4-20250514;0.0
6;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;c;ppp;claude-sonnet-4-20250514;0.0
7;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;d;ppp;claude-sonnet-4-20250514;0.0
8;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;d;ppp;claude-sonnet-4-20250514;0.0
9;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;e;ppp;claude-sonnet-4-20250514;0.0
10;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;e;ppp;claude-sonnet-4-20250514;0.0
11;25;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;f;ppp;claude-sonnet-4-20250514;0.0
12;25;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;f;ppp;claude-sonnet-4-20250514;0.0
13;25;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;g;ppp;claude-sonnet-4-20250514;0.0
14;25;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;g;ppp;claude-sonnet-4-20250514;0.0
15;25;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;h;ppp;claude-sonnet-4-20250514;0.0
16;25;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;h;ppp;claude-sonnet-4-20250514;0.0
17;25;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;i;ppp;claude-sonnet-4-20250514;0.0
18;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;j;ppp;claude-sonnet-4-20250514;0.0
19;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;j;ppp;claude-sonnet-4-20250514;0.0
20;95;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;k;ppp;claude-sonnet-4-20250514;0.0
61;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;a;pmm;claude-sonnet-4-20250514;0.0
62;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;a;pmm;claude-sonnet-4-20250514;0.0
63;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;b;pmm;claude-sonnet-4-20250514;0.0
64;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;b;pmm;claude-sonnet-4-20250514;0.0
65;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;c;pmm;claude-sonnet-4-20250514;0.0
66;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;c;pmm;claude-sonnet-4-20250514;0.0
67;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;d;pmm;claude-sonnet-4-20250514;0.0
68;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;d;pmm;claude-sonnet-4-20250514;0.0
69;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;e;pmm;claude-sonnet-4-20250514;0.0
70;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;e;pmm;claude-sonnet-4-20250514;0.0
71;15;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;f;pmm;claude-sonnet-4-20250514;0.0
72;25;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;f;pmm;claude-sonnet-4-20250514;0.0
73;25;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;g;pmm;claude-sonnet-4-20250514;0.0
74;25;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;g;pmm;claude-sonnet-4-20250514;0.0
75;25;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;h;pmm;claude-sonnet-4-20250514;0.0
76;25;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;h;pmm;claude-sonnet-4-20250514;0.0
77;20;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;i;pmm;claude-sonnet-4-20250514;0.0
78;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;j;pmm;claude-sonnet-4-20250514;0.0
79;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;j;pmm;claude-sonnet-4-20250514;0.0
80;95;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;k;pmm;claude-sonnet-4-20250514;0.0
101;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;a;mpm;claude-sonnet-4-20250514;0.0
102;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;a;mpm;claude-sonnet-4-20250514;0.0
103;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;b;mpm;claude-sonnet-4-20250514;0.0
104;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;b;mpm;claude-sonnet-4-20250514;0.0
105;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;c;mpm;claude-sonnet-4-20250514;0.0
106;75;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;c;mpm;claude-sonnet-4-20250514;0.0
107;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;d;mpm;claude-sonnet-4-20250514;0.0
