id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;a;ppp;gpt-4.1-mini;0.0
2;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;a;ppp;gpt-4.1-mini;0.0
3;70;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;b;ppp;gpt-4.1-mini;0.0
4;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;b;ppp;gpt-4.1-mini;0.0
5;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;c;ppp;gpt-4.1-mini;0.0
6;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;c;ppp;gpt-4.1-mini;0.0
7;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;d;ppp;gpt-4.1-mini;0.0
8;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;d;ppp;gpt-4.1-mini;0.0
9;30;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;e;ppp;gpt-4.1-mini;0.0
10;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;e;ppp;gpt-4.1-mini;0.0
11;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;f;ppp;gpt-4.1-mini;0.0
12;20;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;f;ppp;gpt-4.1-mini;0.0
13;20;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;g;ppp;gpt-4.1-mini;0.0
14;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;g;ppp;gpt-4.1-mini;0.0
15;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;h;ppp;gpt-4.1-mini;0.0
16;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;h;ppp;gpt-4.1-mini;0.0
17;20;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;i;ppp;gpt-4.1-mini;0.0
18;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;j;ppp;gpt-4.1-mini;0.0
19;70;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;j;ppp;gpt-4.1-mini;0.0
20;100;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;k;ppp;gpt-4.1-mini;0.0
61;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;a;pmm;gpt-4.1-mini;0.0
62;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;a;pmm;gpt-4.1-mini;0.0
63;70;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;b;pmm;gpt-4.1-mini;0.0
64;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;b;pmm;gpt-4.1-mini;0.0
65;100;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;c;pmm;gpt-4.1-mini;0.0
66;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;c;pmm;gpt-4.1-mini;0.0
67;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;d;pmm;gpt-4.1-mini;0.0
68;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;d;pmm;gpt-4.1-mini;0.0
69;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;e;pmm;gpt-4.1-mini;0.0
70;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;e;pmm;gpt-4.1-mini;0.0
71;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;f;pmm;gpt-4.1-mini;0.0
72;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;f;pmm;gpt-4.1-mini;0.0
73;10;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;g;pmm;gpt-4.1-mini;0.0
74;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;g;pmm;gpt-4.1-mini;0.0
75;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;h;pmm;gpt-4.1-mini;0.0
76;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;h;pmm;gpt-4.1-mini;0.0
77;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;i;pmm;gpt-4.1-mini;0.0
78;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;j;pmm;gpt-4.1-mini;0.0
79;70;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;j;pmm;gpt-4.1-mini;0.0
80;100;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;k;pmm;gpt-4.1-mini;0.0
101;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;a;mpm;gpt-4.1-mini;0.0
102;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;a;mpm;gpt-4.1-mini;0.0
103;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;b;mpm;gpt-4.1-mini;0.0
104;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;b;mpm;gpt-4.1-mini;0.0
105;100;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;c;mpm;gpt-4.1-mini;0.0
106;100;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;c;mpm;gpt-4.1-mini;0.0
107;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;d;mpm;gpt-4.1-mini;0.0
108;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;d;mpm;gpt-4.1-mini;0.0
109;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;e;mpm;gpt-4.1-mini;0.0
110;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;e;mpm;gpt-4.1-mini;0.0
111;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;f;mpm;gpt-4.1-mini;0.0
112;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;f;mpm;gpt-4.1-mini;0.0
113;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;g;mpm;gpt-4.1-mini;0.0
114;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;g;mpm;gpt-4.1-mini;0.0
115;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;h;mpm;gpt-4.1-mini;0.0
116;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;h;mpm;gpt-4.1-mini;0.0
117;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;i;mpm;gpt-4.1-mini;0.0
118;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;j;mpm;gpt-4.1-mini;0.0
119;70;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;j;mpm;gpt-4.1-mini;0.0
120;100;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;k;mpm;gpt-4.1-mini;0.0
121;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;a;mmp;gpt-4.1-mini;0.0
122;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;a;mmp;gpt-4.1-mini;0.0
123;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;b;mmp;gpt-4.1-mini;0.0
124;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;b;mmp;gpt-4.1-mini;0.0
125;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;c;mmp;gpt-4.1-mini;0.0
126;100;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;c;mmp;gpt-4.1-mini;0.0
127;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;d;mmp;gpt-4.1-mini;0.0
128;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;d;mmp;gpt-4.1-mini;0.0
129;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;e;mmp;gpt-4.1-mini;0.0
130;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;e;mmp;gpt-4.1-mini;0.0
131;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;f;mmp;gpt-4.1-mini;0.0
132;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;f;mmp;gpt-4.1-mini;0.0
133;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;g;mmp;gpt-4.1-mini;0.0
134;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;g;mmp;gpt-4.1-mini;0.0
135;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;h;mmp;gpt-4.1-mini;0.0
136;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;h;mmp;gpt-4.1-mini;0.0
137;0;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;i;mmp;gpt-4.1-mini;0.0
138;50;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;j;mmp;gpt-4.1-mini;0.0
139;80;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;j;mmp;gpt-4.1-mini;0.0
140;100;N/A;N/A;numeric;overloaded;collider;econ_ovl_d=soc;k;mmp;gpt-4.1-mini;0.0
161;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_d=econ;a;ppp;gpt-4.1-mini;0.0
162;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_d=econ;a;ppp;gpt-4.1-mini;0.0
163;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_d=econ;b;ppp;gpt-4.1-mini;0.0
164;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_d=econ;b;ppp;gpt-4.1-mini;0.0
165;100;N/A;N/A;numeric;overloaded;collider;soc_ovl_d=econ;c;ppp;gpt-4.1-mini;0.0
166;80;N/A;N/A;numeric;overloaded;collider;soc_ovl_d=econ;c;ppp;gpt-4.1-mini;0.0
167;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_d=econ;d;ppp;gpt-4.1-mini;0.0
168;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_d=econ;d;ppp;gpt-4.1-mini;0.0
169;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_d=econ;e;ppp;gpt-4.1-mini;0.0
170;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_d=econ;e;ppp;gpt-4.1-mini;0.0
171;0;N/A;N/A;numeric;overloaded;collider;soc_ovl_d=econ;f;ppp;gpt-4.1-mini;0.0
172;0;N/A;N/A;numeric;overloaded;collider;soc_ovl_d=econ;f;ppp;gpt-4.1-mini;0.0
173;0;N/A;N/A;numeric;overloaded;collider;soc_ovl_d=econ;g;ppp;gpt-4.1-mini;0.0
174;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_d=econ;g;ppp;gpt-4.1-mini;0.0
175;0;N/A;N/A;numeric;overloaded;collider;soc_ovl_d=econ;h;ppp;gpt-4.1-mini;0.0
176;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_d=econ;h;ppp;gpt-4.1-mini;0.0
177;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_d=econ;i;ppp;gpt-4.1-mini;0.0
178;50;N/A;N/A;numeric;overloaded;collider;soc_ovl_d=econ;j;ppp;gpt-4.1-mini;0.0
