id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;30;low;low;numeric;overloaded;collider;econ_ovl_d=soc;a;ppp;gpt-5-mini;0.0
2;30;low;low;numeric;overloaded;collider;econ_ovl_d=soc;a;ppp;gpt-5-mini;0.0
3;67;low;low;numeric;overloaded;collider;econ_ovl_d=soc;b;ppp;gpt-5-mini;0.0
4;50;low;low;numeric;overloaded;collider;econ_ovl_d=soc;b;ppp;gpt-5-mini;0.0
5;80;low;low;numeric;overloaded;collider;econ_ovl_d=soc;c;ppp;gpt-5-mini;0.0
6;90;low;low;numeric;overloaded;collider;econ_ovl_d=soc;c;ppp;gpt-5-mini;0.0
7;50;low;low;numeric;overloaded;collider;econ_ovl_d=soc;d;ppp;gpt-5-mini;0.0
8;50;low;low;numeric;overloaded;collider;econ_ovl_d=soc;d;ppp;gpt-5-mini;0.0
9;50;low;low;numeric;overloaded;collider;econ_ovl_d=soc;e;ppp;gpt-5-mini;0.0
10;50;low;low;numeric;overloaded;collider;econ_ovl_d=soc;e;ppp;gpt-5-mini;0.0
11;20;low;low;numeric;overloaded;collider;econ_ovl_d=soc;f;ppp;gpt-5-mini;0.0
12;10;low;low;numeric;overloaded;collider;econ_ovl_d=soc;f;ppp;gpt-5-mini;0.0
13;20;low;low;numeric;overloaded;collider;econ_ovl_d=soc;g;ppp;gpt-5-mini;0.0
14;0;low;low;numeric;overloaded;collider;econ_ovl_d=soc;g;ppp;gpt-5-mini;0.0
15;20;low;low;numeric;overloaded;collider;econ_ovl_d=soc;h;ppp;gpt-5-mini;0.0
16;5;low;low;numeric;overloaded;collider;econ_ovl_d=soc;h;ppp;gpt-5-mini;0.0
17;10;low;low;numeric;overloaded;collider;econ_ovl_d=soc;i;ppp;gpt-5-mini;0.0
18;80;low;low;numeric;overloaded;collider;econ_ovl_d=soc;j;ppp;gpt-5-mini;0.0
19;80;low;low;numeric;overloaded;collider;econ_ovl_d=soc;j;ppp;gpt-5-mini;0.0
20;90;low;low;numeric;overloaded;collider;econ_ovl_d=soc;k;ppp;gpt-5-mini;0.0
61;30;low;low;numeric;overloaded;collider;econ_ovl_d=soc;a;pmm;gpt-5-mini;0.0
62;25;low;low;numeric;overloaded;collider;econ_ovl_d=soc;a;pmm;gpt-5-mini;0.0
63;67;low;low;numeric;overloaded;collider;econ_ovl_d=soc;b;pmm;gpt-5-mini;0.0
64;50;low;low;numeric;overloaded;collider;econ_ovl_d=soc;b;pmm;gpt-5-mini;0.0
65;70;low;low;numeric;overloaded;collider;econ_ovl_d=soc;c;pmm;gpt-5-mini;0.0
66;90;low;low;numeric;overloaded;collider;econ_ovl_d=soc;c;pmm;gpt-5-mini;0.0
67;50;low;low;numeric;overloaded;collider;econ_ovl_d=soc;d;pmm;gpt-5-mini;0.0
68;50;low;low;numeric;overloaded;collider;econ_ovl_d=soc;d;pmm;gpt-5-mini;0.0
69;50;low;low;numeric;overloaded;collider;econ_ovl_d=soc;e;pmm;gpt-5-mini;0.0
70;50;low;low;numeric;overloaded;collider;econ_ovl_d=soc;e;pmm;gpt-5-mini;0.0
71;10;low;low;numeric;overloaded;collider;econ_ovl_d=soc;f;pmm;gpt-5-mini;0.0
72;10;low;low;numeric;overloaded;collider;econ_ovl_d=soc;f;pmm;gpt-5-mini;0.0
73;10;low;low;numeric;overloaded;collider;econ_ovl_d=soc;g;pmm;gpt-5-mini;0.0
74;10;low;low;numeric;overloaded;collider;econ_ovl_d=soc;g;pmm;gpt-5-mini;0.0
75;10;low;low;numeric;overloaded;collider;econ_ovl_d=soc;h;pmm;gpt-5-mini;0.0
76;5;low;low;numeric;overloaded;collider;econ_ovl_d=soc;h;pmm;gpt-5-mini;0.0
77;10;low;low;numeric;overloaded;collider;econ_ovl_d=soc;i;pmm;gpt-5-mini;0.0
78;70;low;low;numeric;overloaded;collider;econ_ovl_d=soc;j;pmm;gpt-5-mini;0.0
79;80;low;low;numeric;overloaded;collider;econ_ovl_d=soc;j;pmm;gpt-5-mini;0.0
80;90;low;low;numeric;overloaded;collider;econ_ovl_d=soc;k;pmm;gpt-5-mini;0.0
101;50;low;low;numeric;overloaded;collider;econ_ovl_d=soc;a;mpm;gpt-5-mini;0.0
102;30;low;low;numeric;overloaded;collider;econ_ovl_d=soc;a;mpm;gpt-5-mini;0.0
103;67;low;low;numeric;overloaded;collider;econ_ovl_d=soc;b;mpm;gpt-5-mini;0.0
104;50;low;low;numeric;overloaded;collider;econ_ovl_d=soc;b;mpm;gpt-5-mini;0.0
105;80;low;low;numeric;overloaded;collider;econ_ovl_d=soc;c;mpm;gpt-5-mini;0.0
106;99;low;low;numeric;overloaded;collider;econ_ovl_d=soc;c;mpm;gpt-5-mini;0.0
107;50;low;low;numeric;overloaded;collider;econ_ovl_d=soc;d;mpm;gpt-5-mini;0.0
108;50;low;low;numeric;overloaded;collider;econ_ovl_d=soc;d;mpm;gpt-5-mini;0.0
109;50;low;low;numeric;overloaded;collider;econ_ovl_d=soc;e;mpm;gpt-5-mini;0.0
110;50;low;low;numeric;overloaded;collider;econ_ovl_d=soc;e;mpm;gpt-5-mini;0.0
111;10;low;low;numeric;overloaded;collider;econ_ovl_d=soc;f;mpm;gpt-5-mini;0.0
112;20;low;low;numeric;overloaded;collider;econ_ovl_d=soc;f;mpm;gpt-5-mini;0.0
113;0;low;low;numeric;overloaded;collider;econ_ovl_d=soc;g;mpm;gpt-5-mini;0.0
114;0;low;low;numeric;overloaded;collider;econ_ovl_d=soc;g;mpm;gpt-5-mini;0.0
115;10;low;low;numeric;overloaded;collider;econ_ovl_d=soc;h;mpm;gpt-5-mini;0.0
116;10;low;low;numeric;overloaded;collider;econ_ovl_d=soc;h;mpm;gpt-5-mini;0.0
117;10;low;low;numeric;overloaded;collider;econ_ovl_d=soc;i;mpm;gpt-5-mini;0.0
118;70;low;low;numeric;overloaded;collider;econ_ovl_d=soc;j;mpm;gpt-5-mini;0.0
119;80;low;low;numeric;overloaded;collider;econ_ovl_d=soc;j;mpm;gpt-5-mini;0.0
120;90;low;low;numeric;overloaded;collider;econ_ovl_d=soc;k;mpm;gpt-5-mini;0.0
121;25;low;low;numeric;overloaded;collider;econ_ovl_d=soc;a;mmp;gpt-5-mini;0.0
122;25;low;low;numeric;overloaded;collider;econ_ovl_d=soc;a;mmp;gpt-5-mini;0.0
123;67;low;low;numeric;overloaded;collider;econ_ovl_d=soc;b;mmp;gpt-5-mini;0.0
124;65;low;low;numeric;overloaded;collider;econ_ovl_d=soc;b;mmp;gpt-5-mini;0.0
125;90;low;low;numeric;overloaded;collider;econ_ovl_d=soc;c;mmp;gpt-5-mini;0.0
126;90;low;low;numeric;overloaded;collider;econ_ovl_d=soc;c;mmp;gpt-5-mini;0.0
127;50;low;low;numeric;overloaded;collider;econ_ovl_d=soc;d;mmp;gpt-5-mini;0.0
128;50;low;low;numeric;overloaded;collider;econ_ovl_d=soc;d;mmp;gpt-5-mini;0.0
129;50;low;low;numeric;overloaded;collider;econ_ovl_d=soc;e;mmp;gpt-5-mini;0.0
130;50;low;low;numeric;overloaded;collider;econ_ovl_d=soc;e;mmp;gpt-5-mini;0.0
131;9;low;low;numeric;overloaded;collider;econ_ovl_d=soc;f;mmp;gpt-5-mini;0.0
132;10;low;low;numeric;overloaded;collider;econ_ovl_d=soc;f;mmp;gpt-5-mini;0.0
133;20;low;low;numeric;overloaded;collider;econ_ovl_d=soc;g;mmp;gpt-5-mini;0.0
134;17;low;low;numeric;overloaded;collider;econ_ovl_d=soc;g;mmp;gpt-5-mini;0.0
135;10;low;low;numeric;overloaded;collider;econ_ovl_d=soc;h;mmp;gpt-5-mini;0.0
136;10;low;low;numeric;overloaded;collider;econ_ovl_d=soc;h;mmp;gpt-5-mini;0.0
137;5;low;low;numeric;overloaded;collider;econ_ovl_d=soc;i;mmp;gpt-5-mini;0.0
138;80;low;low;numeric;overloaded;collider;econ_ovl_d=soc;j;mmp;gpt-5-mini;0.0
139;90;low;low;numeric;overloaded;collider;econ_ovl_d=soc;j;mmp;gpt-5-mini;0.0
140;100;low;low;numeric;overloaded;collider;econ_ovl_d=soc;k;mmp;gpt-5-mini;0.0
