id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;85;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;a;ppp;gpt-5-nano;0.0
2;66;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;a;ppp;gpt-5-nano;0.0
3;70;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;b;ppp;gpt-5-nano;0.0
4;70;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;b;ppp;gpt-5-nano;0.0
5;70;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;c;ppp;gpt-5-nano;0.0
6;42;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;c;ppp;gpt-5-nano;0.0
7;70;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;d;ppp;gpt-5-nano;0.0
8;70;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;d;ppp;gpt-5-nano;0.0
9;40;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;e;ppp;gpt-5-nano;0.0
10;40;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;e;ppp;gpt-5-nano;0.0
11;50;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;f;ppp;gpt-5-nano;0.0
12;70;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;f;ppp;gpt-5-nano;0.0
13;40;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;g;ppp;gpt-5-nano;0.0
14;0;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;g;ppp;gpt-5-nano;0.0
15;40;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;h;ppp;gpt-5-nano;0.0
16;60;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;h;ppp;gpt-5-nano;0.0
17;40;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;i;ppp;gpt-5-nano;0.0
18;50;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;j;ppp;gpt-5-nano;0.0
19;70;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;j;ppp;gpt-5-nano;0.0
20;83;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;k;ppp;gpt-5-nano;0.0
61;70;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;a;pmm;gpt-5-nano;0.0
