id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;67;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;a;ppp;gpt-5;0.0
2;67;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;a;ppp;gpt-5;0.0
3;50;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;b;ppp;gpt-5;0.0
4;50;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;b;ppp;gpt-5;0.0
5;50;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;c;ppp;gpt-5;0.0
6;100;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;c;ppp;gpt-5;0.0
7;50;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;d;ppp;gpt-5;0.0
8;50;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;d;ppp;gpt-5;0.0
9;50;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;e;ppp;gpt-5;0.0
10;50;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;e;ppp;gpt-5;0.0
11;50;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;f;ppp;gpt-5;0.0
12;50;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;f;ppp;gpt-5;0.0
13;50;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;g;ppp;gpt-5;0.0
14;50;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;g;ppp;gpt-5;0.0
15;0;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;h;ppp;gpt-5;0.0
16;50;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;h;ppp;gpt-5;0.0
17;0;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;i;ppp;gpt-5;0.0
18;70;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;j;ppp;gpt-5;0.0
19;75;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;j;ppp;gpt-5;0.0
20;100;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;k;ppp;gpt-5;0.0
61;50;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;a;pmm;gpt-5;0.0
62;50;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;a;pmm;gpt-5;0.0
63;50;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;b;pmm;gpt-5;0.0
64;50;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;b;pmm;gpt-5;0.0
65;50;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;c;pmm;gpt-5;0.0
66;50;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;c;pmm;gpt-5;0.0
67;50;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;d;pmm;gpt-5;0.0
68;50;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;d;pmm;gpt-5;0.0
69;50;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;e;pmm;gpt-5;0.0
70;50;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;e;pmm;gpt-5;0.0
71;25;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;f;pmm;gpt-5;0.0
72;50;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;f;pmm;gpt-5;0.0
73;0;minimal;low;numeric;overloaded;collider;econ_ovl_d=soc;g;pmm;gpt-5;0.0
