id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;cntbl_cond;subject;temperature
1;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScov5ysCg9muFsKbssij'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-20250514;0.0
2;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScovAYTPBrURa4eCTJxJ'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-20250514;0.0
3;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScovF64EdtRjJ5ghxXsJ'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-20250514;0.0
4;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScovKdA49FTJ9GD4croX'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-20250514;0.0
5;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScovQ8GcD3FTQyokDXu4'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-20250514;0.0
6;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScovUdtUFghV6mKs1VkY'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-20250514;0.0
7;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScovZ9FkeQV8Nx75paEC'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-20250514;0.0
8;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScovddP52crNj2fzfFiC'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-20250514;0.0
9;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScoviAjDdV2XvVxTKb5S'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-20250514;0.0
10;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScovni5QLvoK4P8hDEAG'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-20250514;0.0
11;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScovsYY3D4DULk5mC8A8'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-20250514;0.0
12;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScovx2uWeRNFubVpn4wL'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-20250514;0.0
13;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScow2Z1rvjEdeM6hC1rm'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-20250514;0.0
14;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScow75dJUQTthYyYDXb4'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-20250514;0.0
15;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScowBbEdV5f1MPuh8AR3'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-20250514;0.0
16;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScowG7bHjLwEuBdK5q6v'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-20250514;0.0
17;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScowLk9ibpNzkZj9sPai'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-20250514;0.0
18;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScowRG1o4NxsGNApYsYc'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-20250514;0.0
19;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScowVnNTm3GFacy9cCyM'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-20250514;0.0
20;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScowaHzFVbzEyict3wiE'};N/A;N/A;CoT;overloaded;collider;ppp;claude-opus-4-20250514;0.0
