id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;cntbl_cond;subject;temperature
1;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScncNoXvY9SjLLwi3rjB'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-20250514;0.0
2;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScncTLPH5huvNWB4PuwC'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-20250514;0.0
3;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScncXuDpzYQsdnMMYqyB'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-20250514;0.0
4;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScnccaWKW9iKHLWcCpZR'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-20250514;0.0
5;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScnchALJDuGQpj6ZAT6v'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-20250514;0.0
6;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScncmmA4wWofQqo3Zk4y'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-20250514;0.0
7;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScncrJG56n4C7ebbKJsh'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-20250514;0.0
8;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScncvrMM9G7SW9zCv9h3'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-20250514;0.0
9;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScnd1QwhCrsGWnBufyKh'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-20250514;0.0
10;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScnd63kPipiy1jDDDZ2r'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-20250514;0.0
11;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScndBDJD1QyB5nnq7heU'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-20250514;0.0
12;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScndG6ywsdB4hSZnyU6C'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-20250514;0.0
13;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScndLdqPDSjjDkmcxrrp'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-20250514;0.0
14;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScndR9hTy89JUPgXPBaP'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-20250514;0.0
15;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScndVh3rU2XpVkfnJVbo'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-20250514;0.0
16;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScndaDACwVfaz8ycpRHe'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-20250514;0.0
17;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScndenVRNeM38RanJD3B'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-20250514;0.0
18;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScndjK6VJgGK5GjCxUnU'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-20250514;0.0
19;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScndoqhWmbr8Z4uatQLf'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-20250514;0.0
20;Error: Claude API error: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CScndtSmaDJ824SY4gsD5'};N/A;N/A;numeric;overloaded;collider;ppp;claude-opus-4-20250514;0.0
