id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;"100
";N/A;N/A;numeric;overloaded;collider;econ_ovl_de=soc;a;ppp;gemini-1.5-pro;0.0
2;"75
";N/A;N/A;numeric;overloaded;collider;econ_ovl_de=soc;a;ppp;gemini-1.5-pro;0.0
3;"75
";N/A;N/A;numeric;overloaded;collider;econ_ovl_de=soc;b;ppp;gemini-1.5-pro;0.0
4;"75
";N/A;N/A;numeric;overloaded;collider;econ_ovl_de=soc;b;ppp;gemini-1.5-pro;0.0
5;"75
";N/A;N/A;numeric;overloaded;collider;econ_ovl_de=soc;c;ppp;gemini-1.5-pro;0.0
6;"50
";N/A;N/A;numeric;overloaded;collider;econ_ovl_de=soc;c;ppp;gemini-1.5-pro;0.0
7;"75
";N/A;N/A;numeric;overloaded;collider;econ_ovl_de=soc;d;ppp;gemini-1.5-pro;0.0
8;"50
";N/A;N/A;numeric;overloaded;collider;econ_ovl_de=soc;d;ppp;gemini-1.5-pro;0.0
9;"50
";N/A;N/A;numeric;overloaded;collider;econ_ovl_de=soc;e;ppp;gemini-1.5-pro;0.0
10;"50
";N/A;N/A;numeric;overloaded;collider;econ_ovl_de=soc;e;ppp;gemini-1.5-pro;0.0
11;"100
";N/A;N/A;numeric;overloaded;collider;econ_ovl_de=soc;f;ppp;gemini-1.5-pro;0.0
12;"75
";N/A;N/A;numeric;overloaded;collider;econ_ovl_de=soc;f;ppp;gemini-1.5-pro;0.0
13;"50
";N/A;N/A;numeric;overloaded;collider;econ_ovl_de=soc;g;ppp;gemini-1.5-pro;0.0
14;"50
";N/A;N/A;numeric;overloaded;collider;econ_ovl_de=soc;g;ppp;gemini-1.5-pro;0.0
15;"50
";N/A;N/A;numeric;overloaded;collider;econ_ovl_de=soc;h;ppp;gemini-1.5-pro;0.0
16;"50
";N/A;N/A;numeric;overloaded;collider;econ_ovl_de=soc;h;ppp;gemini-1.5-pro;0.0
17;"50
";N/A;N/A;numeric;overloaded;collider;econ_ovl_de=soc;i;ppp;gemini-1.5-pro;0.0
18;"75
";N/A;N/A;numeric;overloaded;collider;econ_ovl_de=soc;j;ppp;gemini-1.5-pro;0.0
19;"100
";N/A;N/A;numeric;overloaded;collider;econ_ovl_de=soc;j;ppp;gemini-1.5-pro;0.0
20;"100
";N/A;N/A;numeric;overloaded;collider;econ_ovl_de=soc;k;ppp;gemini-1.5-pro;0.0
