id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;60;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;a;ppp;gpt-5-mini;0.0
2;50;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;a;ppp;gpt-5-mini;0.0
3;60;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;b;ppp;gpt-5-mini;0.0
4;30;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;b;ppp;gpt-5-mini;0.0
5;70;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;c;ppp;gpt-5-mini;0.0
6;20;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;c;ppp;gpt-5-mini;0.0
7;25;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;d;ppp;gpt-5-mini;0.0
8;50;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;d;ppp;gpt-5-mini;0.0
9;50;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;e;ppp;gpt-5-mini;0.0
10;50;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;e;ppp;gpt-5-mini;0.0
11;25;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;f;ppp;gpt-5-mini;0.0
12;30;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;f;ppp;gpt-5-mini;0.0
13;20;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;g;ppp;gpt-5-mini;0.0
14;50;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;g;ppp;gpt-5-mini;0.0
15;10;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;h;ppp;gpt-5-mini;0.0
16;50;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;h;ppp;gpt-5-mini;0.0
17;50;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;i;ppp;gpt-5-mini;0.0
18;50;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;j;ppp;gpt-5-mini;0.0
19;80;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;j;ppp;gpt-5-mini;0.0
20;80;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;k;ppp;gpt-5-mini;0.0
61;40;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;a;pmm;gpt-5-mini;0.0
62;30;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;a;pmm;gpt-5-mini;0.0
63;50;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;b;pmm;gpt-5-mini;0.0
64;40;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;b;pmm;gpt-5-mini;0.0
65;80;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;c;pmm;gpt-5-mini;0.0
66;50;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;c;pmm;gpt-5-mini;0.0
67;50;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;d;pmm;gpt-5-mini;0.0
68;20;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;d;pmm;gpt-5-mini;0.0
69;20;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;e;pmm;gpt-5-mini;0.0
70;50;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;e;pmm;gpt-5-mini;0.0
71;33;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;f;pmm;gpt-5-mini;0.0
72;30;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;f;pmm;gpt-5-mini;0.0
73;20;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;g;pmm;gpt-5-mini;0.0
74;30;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;g;pmm;gpt-5-mini;0.0
75;30;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;h;pmm;gpt-5-mini;0.0
76;50;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;h;pmm;gpt-5-mini;0.0
77;20;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;i;pmm;gpt-5-mini;0.0
78;60;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;j;pmm;gpt-5-mini;0.0
79;70;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;j;pmm;gpt-5-mini;0.0
80;85;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;k;pmm;gpt-5-mini;0.0
101;45;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;a;mpm;gpt-5-mini;0.0
102;15;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;a;mpm;gpt-5-mini;0.0
103;67;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;b;mpm;gpt-5-mini;0.0
104;20;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;b;mpm;gpt-5-mini;0.0
105;70;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;c;mpm;gpt-5-mini;0.0
106;70;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;c;mpm;gpt-5-mini;0.0
107;30;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;d;mpm;gpt-5-mini;0.0
108;30;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;d;mpm;gpt-5-mini;0.0
109;50;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;e;mpm;gpt-5-mini;0.0
110;50;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;e;mpm;gpt-5-mini;0.0
111;20;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;f;mpm;gpt-5-mini;0.0
112;20;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;f;mpm;gpt-5-mini;0.0
113;20;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;g;mpm;gpt-5-mini;0.0
114;20;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;g;mpm;gpt-5-mini;0.0
115;30;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;h;mpm;gpt-5-mini;0.0
116;50;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;h;mpm;gpt-5-mini;0.0
117;10;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;i;mpm;gpt-5-mini;0.0
118;40;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;j;mpm;gpt-5-mini;0.0
