id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;70;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;a;ppp;gpt-5-nano;0.0
2;62;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;a;ppp;gpt-5-nano;0.0
3;70;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;b;ppp;gpt-5-nano;0.0
4;70;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;b;ppp;gpt-5-nano;0.0
5;70;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;c;ppp;gpt-5-nano;0.0
6;62;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;c;ppp;gpt-5-nano;0.0
7;63;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;d;ppp;gpt-5-nano;0.0
8;62;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;d;ppp;gpt-5-nano;0.0
9;0;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;e;ppp;gpt-5-nano;0.0
10;42;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;e;ppp;gpt-5-nano;0.0
11;77;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;f;ppp;gpt-5-nano;0.0
12;40;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;f;ppp;gpt-5-nano;0.0
13;60;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;g;ppp;gpt-5-nano;0.0
14;60;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;g;ppp;gpt-5-nano;0.0
15;52;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;h;ppp;gpt-5-nano;0.0
16;0;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;h;ppp;gpt-5-nano;0.0
17;42;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;i;ppp;gpt-5-nano;0.0
18;65;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;j;ppp;gpt-5-nano;0.0
19;65;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;j;ppp;gpt-5-nano;0.0
20;72;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;k;ppp;gpt-5-nano;0.0
61;76;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;a;pmm;gpt-5-nano;0.0
62;70;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;a;pmm;gpt-5-nano;0.0
63;70;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;b;pmm;gpt-5-nano;0.0
64;60;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;b;pmm;gpt-5-nano;0.0
65;60;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;c;pmm;gpt-5-nano;0.0
66;0;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;c;pmm;gpt-5-nano;0.0
67;73;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;d;pmm;gpt-5-nano;0.0
68;40;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;d;pmm;gpt-5-nano;0.0
69;40;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;e;pmm;gpt-5-nano;0.0
70;0;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;e;pmm;gpt-5-nano;0.0
71;58;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;f;pmm;gpt-5-nano;0.0
72;40;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;f;pmm;gpt-5-nano;0.0
73;60;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;g;pmm;gpt-5-nano;0.0
74;55;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;g;pmm;gpt-5-nano;0.0
75;40;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;h;pmm;gpt-5-nano;0.0
76;40;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;h;pmm;gpt-5-nano;0.0
77;42;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;i;pmm;gpt-5-nano;0.0
78;62;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;j;pmm;gpt-5-nano;0.0
79;60;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;j;pmm;gpt-5-nano;0.0
80;72;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;k;pmm;gpt-5-nano;0.0
101;66;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;a;mpm;gpt-5-nano;0.0
102;0;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;a;mpm;gpt-5-nano;0.0
103;72;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;b;mpm;gpt-5-nano;0.0
104;55;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;b;mpm;gpt-5-nano;0.0
105;78;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;c;mpm;gpt-5-nano;0.0
106;55;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;c;mpm;gpt-5-nano;0.0
107;42;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;d;mpm;gpt-5-nano;0.0
108;60;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;d;mpm;gpt-5-nano;0.0
109;0;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;e;mpm;gpt-5-nano;0.0
110;52;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;e;mpm;gpt-5-nano;0.0
111;60;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;f;mpm;gpt-5-nano;0.0
112;40;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;f;mpm;gpt-5-nano;0.0
113;40;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;g;mpm;gpt-5-nano;0.0
114;40;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;g;mpm;gpt-5-nano;0.0
115;40;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;h;mpm;gpt-5-nano;0.0
116;42;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;h;mpm;gpt-5-nano;0.0
117;45;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;i;mpm;gpt-5-nano;0.0
118;60;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;j;mpm;gpt-5-nano;0.0
119;65;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;j;mpm;gpt-5-nano;0.0
120;72;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;k;mpm;gpt-5-nano;0.0
121;70;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;a;mmp;gpt-5-nano;0.0
122;60;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;a;mmp;gpt-5-nano;0.0
123;70;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;b;mmp;gpt-5-nano;0.0
124;60;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;b;mmp;gpt-5-nano;0.0
125;73;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;c;mmp;gpt-5-nano;0.0
126;40;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;c;mmp;gpt-5-nano;0.0
127;70;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;d;mmp;gpt-5-nano;0.0
128;0;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;d;mmp;gpt-5-nano;0.0
129;60;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;e;mmp;gpt-5-nano;0.0
130;62;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;e;mmp;gpt-5-nano;0.0
131;62;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;f;mmp;gpt-5-nano;0.0
132;60;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;f;mmp;gpt-5-nano;0.0
133;38;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;g;mmp;gpt-5-nano;0.0
134;55;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;g;mmp;gpt-5-nano;0.0
135;40;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;h;mmp;gpt-5-nano;0.0
136;0;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;h;mmp;gpt-5-nano;0.0
137;40;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;i;mmp;gpt-5-nano;0.0
138;70;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;j;mmp;gpt-5-nano;0.0
139;60;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;j;mmp;gpt-5-nano;0.0
140;75;minimal;low;numeric;overloaded;collider;econ_ovl_de=soc;k;mmp;gpt-5-nano;0.0
161;60;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;a;ppp;gpt-5-nano;0.0
162;75;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;a;ppp;gpt-5-nano;0.0
163;85;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;b;ppp;gpt-5-nano;0.0
164;72;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;b;ppp;gpt-5-nano;0.0
165;62;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;c;ppp;gpt-5-nano;0.0
166;65;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;c;ppp;gpt-5-nano;0.0
167;75;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;d;ppp;gpt-5-nano;0.0
168;62;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;d;ppp;gpt-5-nano;0.0
169;57;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;e;ppp;gpt-5-nano;0.0
170;0;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;e;ppp;gpt-5-nano;0.0
171;40;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;f;ppp;gpt-5-nano;0.0
172;62;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;f;ppp;gpt-5-nano;0.0
173;50;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;g;ppp;gpt-5-nano;0.0
174;40;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;g;ppp;gpt-5-nano;0.0
175;37;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;h;ppp;gpt-5-nano;0.0
176;50;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;h;ppp;gpt-5-nano;0.0
177;40;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;i;ppp;gpt-5-nano;0.0
178;42;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;j;ppp;gpt-5-nano;0.0
179;60;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;j;ppp;gpt-5-nano;0.0
180;60;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;k;ppp;gpt-5-nano;0.0
221;60;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;a;pmm;gpt-5-nano;0.0
222;72;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;a;pmm;gpt-5-nano;0.0
223;60;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;b;pmm;gpt-5-nano;0.0
224;70;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;b;pmm;gpt-5-nano;0.0
225;40;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;c;pmm;gpt-5-nano;0.0
226;42;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;c;pmm;gpt-5-nano;0.0
227;70;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;d;pmm;gpt-5-nano;0.0
228;70;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;d;pmm;gpt-5-nano;0.0
229;42;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;e;pmm;gpt-5-nano;0.0
230;50;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;e;pmm;gpt-5-nano;0.0
231;60;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;f;pmm;gpt-5-nano;0.0
232;60;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;f;pmm;gpt-5-nano;0.0
233;0;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;g;pmm;gpt-5-nano;0.0
234;52;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;g;pmm;gpt-5-nano;0.0
235;42;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;h;pmm;gpt-5-nano;0.0
236;62;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;h;pmm;gpt-5-nano;0.0
237;0;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;i;pmm;gpt-5-nano;0.0
238;65;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;j;pmm;gpt-5-nano;0.0
239;60;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;j;pmm;gpt-5-nano;0.0
240;75;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;k;pmm;gpt-5-nano;0.0
261;0;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;a;mpm;gpt-5-nano;0.0
262;70;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;a;mpm;gpt-5-nano;0.0
263;72;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;b;mpm;gpt-5-nano;0.0
264;62;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;b;mpm;gpt-5-nano;0.0
265;60;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;c;mpm;gpt-5-nano;0.0
266;40;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;c;mpm;gpt-5-nano;0.0
267;70;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;d;mpm;gpt-5-nano;0.0
268;72;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;d;mpm;gpt-5-nano;0.0
269;0;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;e;mpm;gpt-5-nano;0.0
270;0;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;e;mpm;gpt-5-nano;0.0
271;0;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;f;mpm;gpt-5-nano;0.0
272;60;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;f;mpm;gpt-5-nano;0.0
273;0;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;g;mpm;gpt-5-nano;0.0
274;60;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;g;mpm;gpt-5-nano;0.0
275;42;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;h;mpm;gpt-5-nano;0.0
276;50;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;h;mpm;gpt-5-nano;0.0
277;0;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;i;mpm;gpt-5-nano;0.0
278;52;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;j;mpm;gpt-5-nano;0.0
279;60;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;j;mpm;gpt-5-nano;0.0
280;72;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;k;mpm;gpt-5-nano;0.0
281;70;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;a;mmp;gpt-5-nano;0.0
282;65;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;a;mmp;gpt-5-nano;0.0
283;70;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;b;mmp;gpt-5-nano;0.0
284;62;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;b;mmp;gpt-5-nano;0.0
285;60;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;c;mmp;gpt-5-nano;0.0
286;62;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;c;mmp;gpt-5-nano;0.0
287;70;minimal;low;numeric;overloaded;collider;soc_ovl_de=econ;d;mmp;gpt-5-nano;0.0
